epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,58.76697087,9.02327919,68.33590794,55.1,1533.975552,2268.782592,78,61,6.033191063,12.58,36.08,0.096079715,,1,64,4,0.001,,4.0528625,3.722482031,4.0528625,3.722482031
2,0,55.98334241,8.395802736,64.549438,54.9,265.849344,2456.84224,81,57,1.045596773,18.97,46.29,0.167387053,,1,64,4,0.001,,3.69296375,3.37526875,3.69296375,3.37526875
3,0,56.37732315,8.970662594,65.55303383,59.2,1053.50912,2484.948992,79,64,4.143496159,26.6,57.04,0.238797784,,1,64,4,0.001,,3.373430313,2.937368359,3.373430313,2.937368359
4,0,56.42362499,9.28119278,65.92357469,58.7,1607.059968,2489.339904,78,64,6.320635178,35.13,66.74,0.328473866,,1,64,4,0.001,,3.043667188,2.510545898,3.043667188,2.510545898
5,0,56.80494809,9.731743574,66.81902671,59.4,287.709696,2460.647424,76,64,1.131574466,39.83,72.3,0.378578007,,1,64,4,0.001,,2.774327813,2.261078516,2.774327813,2.261078516
6,0,56.48191619,8.911385536,65.5693109,59.3,335.07584,2461.392896,79,63,1.317867524,42.99,73.85,0.41878885,,1,64,4,0.001,,2.564540313,2.182924219,2.564540313,2.182924219
7,0,56.461133,10.0228138,66.71777964,59.1,335.07584,2461.650944,77,64,1.317867524,47.5,77.7,0.457997024,,1,64,4,0.001,,2.393745938,1.968781836,2.393745938,1.968781836
8,0,56.51897717,8.988321781,65.6766274,58.5,335.07584,2461.749248,78,63,1.317867524,48.23,78.91,0.475653172,,1,64,4,0.001,,2.265942656,1.930688867,2.265942656,1.930688867
9,0,56.74719,9.528833866,66.43267703,59.6,335.07584,2461.77792,78,64,1.317867524,52.65,81.9,0.523944914,,1,64,4,0.001,,2.139942969,1.729786328,2.139942969,1.729786328
10,0,56.82139444,8.692130327,65.68244338,59.9,335.07584,2466.013184,80,64,1.317867524,55.32,83.51,0.54060322,,1,64,4,0.001,,2.024210625,1.633441895,2.024210625,1.633441895
11,0,56.74316812,9.028095722,65.93042612,59.1,1717.127168,2496.229376,78,64,6.753534155,57.55,85.07,0.573675215,,1,64,4,0.001,,1.946386719,1.537517578,1.946386719,1.537517578
12,0,57.12883425,9.669687986,66.99834609,59.3,335.07584,2456.150016,76,63,1.317867524,57.45,85.02,0.569683373,,1,64,4,0.001,,1.866000938,1.544641113,1.866000938,1.544641113
13,0,56.44902539,8.922599554,65.53052592,59.5,1058.40896,2452.590592,78,63,4.162767438,59.73,86.67,0.593883038,,1,64,4,0.001,,1.798608281,1.440478223,1.798608281,1.440478223
14,0,56.50102758,9.819679976,66.47192121,59.3,1677.019136,2452.611072,77,64,6.59578756,61.66,87.63,0.615275085,,1,64,4,0.001,,1.729369688,1.37957207,1.729369688,1.37957207
15,0,56.69202924,8.653434038,65.51850271,59,287.709696,2452.62336,81,63,1.131574466,61.07,87.51,0.605842769,,1,64,4,0.001,,1.670992188,1.381237891,1.670992188,1.381237891
16,0,57.00214338,10.12846518,67.29982448,59.2,341.482496,2452.676608,78,63,1.343065175,62.05,88.32,0.617462099,,1,64,4,0.001,,1.622573906,1.352759766,1.622573906,1.352759766
17,0,56.93113351,8.553827286,65.66483665,58.7,1688.421888,2483.01568,78,64,6.640635069,62.98,87.98,0.626748025,,1,64,4,0.001,,1.558407344,1.3323875,1.558407344,1.3323875
18,0,56.51999569,9.175596476,65.86558604,59.6,335.07584,2452.852736,80,64,1.317867524,63.51,88.76,0.630086184,,1,64,4,0.001,,1.523139375,1.347733398,1.523139375,1.347733398
19,0,56.20173883,8.659607649,65.01487064,52.6,335.07584,2462.65856,76,63,1.317867524,64.79,89.43,0.643775344,,1,64,4,0.001,,1.482108125,1.269081055,1.482108125,1.269081055
20,0,57.05559492,8.457849741,66.68106747,55.2,335.07584,2462.674944,80,64,1.317867524,64.33,88.5,0.641221583,,1,64,4,0.001,,1.4379625,1.356719629,1.4379625,1.356719629
,,,,1322.235727,,,,,,,,,,,,,,,,,,,
