epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,119.4220164,10.72743368,130.3138871,0,188.73344,1365.827584,76,55,0.742296644,38.02,89.01,0.35180214,,1,128,4,0.001,,1.892364844,2.015655469,1.892364844,2.015655469
2,0,118.5793166,10.80421972,129.4648321,55.9,660.269568,3143.909376,78,69,2.596868282,55,94.34,0.532671154,,1,128,4,0.001,,1.576510938,1.266471094,1.576510938,1.266471094
3,0,119.1456041,11.03090811,130.2645142,56.1,658.958848,3137.421312,77,69,2.591713165,52.91,93.24,0.518290162,,1,128,4,0.001,,1.37590125,1.501027637,1.37590125,1.501027637
4,0,119.0550251,10.7458086,129.9172509,53.8,552.852992,3156.52096,78,69,2.174394322,65.55,97.54,0.655288279,,1,128,4,0.001,,1.231465234,0.964289551,1.231465234,0.964289551
5,0,119.0633307,10.88920116,130.3318768,56,660.269568,3137.29024,78,69,2.596868282,66.42,97.38,0.65515095,,1,128,4,0.001,,1.154273906,0.986170801,1.154273906,0.986170801
6,0,119.1573632,11.1059134,130.3525875,55.5,630.711296,3157.372928,79,66,2.480614342,69.03,97.36,0.687402129,,1,128,4,0.001,,1.068406094,0.931604297,1.068406094,0.931604297
7,0,119.1383958,11.07307315,130.2922812,56,659.024384,3157.27872,79,68,2.591970921,72.93,98.46,0.730271518,,1,128,4,0.001,,1.007329609,0.7682896,1.007329609,0.7682896
8,0,118.9529867,11.05644536,130.2622774,56.1,660.269568,3157.413888,78,68,2.596868282,77.31,98.78,0.769962966,,1,128,4,0.001,,0.960101719,0.653490771,0.960101719,0.653490771
9,0,118.8187661,11.02245355,130.195538,56.1,658.958848,3141.55008,76,68,2.591713165,77.18,98.83,0.768850207,,1,128,4,0.001,,0.931113594,0.647682471,0.931113594,0.647682471
10,0,119.4208238,10.72215009,130.2246459,56.1,659.024384,3158.028288,78,69,2.591970921,77.78,98.79,0.777271092,,1,128,4,0.001,,0.885642109,0.644277295,0.885642109,0.644277295
11,0,119.4860818,11.24984956,130.8215227,56.2,660.269568,3158.048768,78,69,2.596868282,80.12,98.87,0.797557056,,1,128,4,0.001,,0.863781016,0.581223291,0.863781016,0.581223291
12,0,119.916863,10.95191479,130.9610643,55.7,658.958848,3158.061056,77,69,2.591713165,80.72,99.1,0.808476031,,1,128,4,0.001,,0.818911328,0.565058545,0.818911328,0.565058545
13,0,119.2670808,11.17795873,130.5286984,56.5,560.92416,3158.065152,79,69,2.206138569,80.87,98.98,0.807929099,,1,128,4,0.001,,0.800145625,0.568455859,0.800145625,0.568455859
14,0,119.8630228,10.97266197,130.9280081,55.6,660.269568,3158.07744,78,68,2.596868282,82.22,98.9,0.81982398,,1,128,4,0.001,,0.774940703,0.536777979,0.774940703,0.536777979
15,0,119.3230016,10.99482894,130.3988879,56.2,658.958848,3158.175744,81,69,2.591713165,83.68,99.24,0.837602854,,1,128,4,0.001,,0.754806484,0.475140479,0.754806484,0.475140479
16,0,119.5849667,11.09088111,130.7578044,56.4,659.024384,3158.315008,77,69,2.591970921,82.63,99.28,0.824603796,,1,128,4,0.001,,0.741442422,0.504469922,0.741442422,0.504469922
17,0,119.4572001,11.0342989,130.5734234,55.5,660.269568,3158.315008,78,69,2.596868282,82.42,99.1,0.825277984,,1,128,4,0.001,,0.720136953,0.556398779,0.720136953,0.556398779
18,0,119.5502944,10.8861661,130.5172203,56.6,658.958848,3158.347776,78,68,2.591713165,84.68,99.38,0.845980823,,1,128,4,0.001,,0.695952969,0.472018359,0.695952969,0.472018359
19,0,118.8714628,11.25317717,130.205301,56.4,659.024384,3197.2352,79,69,2.591970921,81.78,99.24,0.81810379,,1,128,4,0.001,,0.683054219,0.53769707,0.683054219,0.53769707
20,0,117.9940577,11.07611227,129.1525171,55.7,660.269568,3158.392832,76,69,2.596868282,85.73,99.41,0.85739553,,1,128,4,0.001,,0.657567656,0.425447461,0.657567656,0.425447461
,,,,2606.464139,,,,,,,,,,,,,,,,,,,
