Job_ID,Type,Alloc,Batch,GAS,JCT,Energy,Cost
1,ResNet50,64,64,1,59.8,0.64,3.20
3,ResNet50,64,64,1,59.9,0.64,3.20
4,ResNet50,46,64,1,61.4,0.48,2.38
2,GPT-FineTune,16,32,1,76.0,0.21,1.03
0,BERT-Large,16,64,1,103.5,0.28,1.39
37,ResNet50,48,64,1,60.3,0.49,2.44
42,ResNet50,62,64,1,59.5,0.62,3.10
40,DenseNet121,32,64,1,84.3,0.45,2.27
36,BERT-Large,16,64,1,103.6,0.28,1.39
41,BERT-Large,16,64,1,103.7,0.28,1.39
52,ResNet50,16,64,1,91.7,0.25,1.23
9,ResNet50,32,64,1,163.8,0.66,2.19
14,ResNet50,32,64,1,163.3,0.66,2.19
15,ResNet50,32,64,1,163.8,0.66,2.19
66,GPT-FineTune,16,32,1,76.3,0.21,1.03
17,ResNet50,32,64,1,163.9,0.66,2.19
77,ResNet50,62,64,1,59.6,0.62,3.10
22,ResNet50,33,64,1,162.9,0.67,2.24
73,ResNet50,16,64,1,91.4,0.25,1.23
84,ResNet50,32,64,1,66.4,0.36,1.79
8,GPT-FineTune,8,32,1,208.2,0.21,0.70
11,GPT-FineTune,8,32,1,208.4,0.21,0.70
71,BERT-Large,16,64,1,103.9,0.28,1.39
72,BERT-Large,16,64,1,103.7,0.28,1.39
20,GPT-FineTune,8,32,1,208.7,0.21,0.70
104,ResNet50,32,64,1,66.9,0.36,1.79
6,DenseNet121,32,64,1,230.6,0.92,3.08
10,DenseNet121,32,64,1,230.6,0.92,3.08
100,GPT-FineTune,16,32,1,76.1,0.21,1.03
12,DenseNet121,32,64,1,230.5,0.92,3.08
112,ResNet50,62,64,1,59.5,0.62,3.10
19,DenseNet121,32,64,1,231.0,0.92,3.08
109,GPT-FineTune,16,32,1,76.7,0.21,1.03
5,BERT-Large,16,64,1,279.0,0.56,1.87
7,BERT-Large,16,64,1,279.3,0.56,1.87
144,ResNet50,32,64,1,66.9,0.36,1.79
13,BERT-Large,16,64,1,279.4,0.56,1.87
16,BERT-Large,16,64,1,279.1,0.56,1.87
18,BERT-Large,16,64,1,279.7,0.56,1.87
21,BERT-Large,16,64,1,279.5,0.56,1.87
135,ResNet50,16,64,1,91.2,0.25,1.23
150,GPT-FineTune,16,32,1,76.9,0.21,1.03
132,BERT-Large,16,64,1,104.0,0.28,1.39
160,ResNet50,30,64,1,68.2,0.34,1.72
134,BERT-Large,16,64,1,103.2,0.28,1.39
106,ResNet50,32,64,1,163.5,0.66,2.19
108,ResNet50,32,64,1,163.7,0.66,2.19
149,BERT-Large,16,64,1,103.9,0.28,1.39
152,DenseNet121,16,64,1,99.9,0.27,1.33
111,ResNet50,32,64,1,163.4,0.66,2.19
114,ResNet50,33,64,1,162.5,0.67,2.24
158,BERT-Large,16,64,1,104.0,0.28,1.39
159,BERT-Large,16,64,1,103.8,0.28,1.39
166,BERT-Large,16,64,1,103.7,0.28,1.39
209,ResNet50,46,64,1,61.3,0.48,2.38
193,DenseNet121,16,64,1,99.3,0.27,1.33
192,BERT-Large,16,64,1,103.2,0.28,1.39
151,ResNet50,32,64,1,163.4,0.66,2.19
199,ResNet50,16,64,1,91.2,0.25,1.23
153,ResNet50,32,64,1,163.4,0.66,2.19
203,ResNet50,16,64,1,91.9,0.25,1.23
155,ResNet50,32,64,1,163.4,0.66,2.19
110,DenseNet121,32,64,1,230.4,0.92,3.08
206,DenseNet121,16,64,1,99.8,0.27,1.33
222,DenseNet121,32,64,1,87.0,0.45,2.27
147,GPT-FineTune,8,32,1,209.0,0.21,0.70
228,ResNet50,16,64,1,92.1,0.25,1.23
229,ResNet50,16,64,1,92.2,0.25,1.23
231,GPT-FineTune,16,32,1,102.0,0.21,1.03
230,DenseNet121,16,64,1,107.5,0.27,1.33
161,DenseNet121,32,64,1,230.6,0.92,3.08
232,BERT-Large,16,64,1,128.2,0.28,1.39
233,BERT-Large,14,64,1,125.6,0.24,1.22
235,ResNet50,16,64,1,126.0,0.25,1.23
23,ResNet50,32,64,1,460.6,1.43,3.28
25,ResNet50,32,64,1,460.1,1.43,3.28
195,ResNet50,16,64,1,191.7,0.38,1.28
26,ResNet50,32,64,1,460.9,1.43,3.28
248,ResNet50,32,64,1,104.3,0.36,1.79
247,GPT-FineTune,16,32,1,107.9,0.21,1.03
196,ResNet50,16,64,1,191.8,0.38,1.28
234,DenseNet121,16,64,1,134.3,0.27,1.33
236,ResNet50,16,64,1,131.3,0.25,1.23
27,ResNet50,32,64,1,460.4,1.43,3.28
189,GPT-FineTune,8,32,1,208.5,0.21,0.70
136,BERT-Large,16,64,1,279.6,0.56,1.87
221,ResNet50,32,64,1,163.1,0.66,2.19
28,ResNet50,32,64,1,460.4,1.43,3.28
30,ResNet50,32,64,1,460.0,1.43,3.28
241,BERT-Large,16,64,1,131.4,0.28,1.39
226,ResNet50,32,64,1,163.5,0.66,2.19
227,ResNet50,33,64,1,163.4,0.67,2.24
194,DenseNet121,32,64,1,230.1,0.92,3.08
53,ResNet50,32,64,1,460.2,1.43,3.28
54,ResNet50,32,64,1,460.3,1.43,3.28
55,ResNet50,32,64,1,460.6,1.43,3.28
56,ResNet50,32,64,1,460.5,1.43,3.28
249,BERT-Large,16,64,1,157.8,0.28,1.39
251,BERT-Large,16,64,1,157.4,0.28,1.39
224,GPT-FineTune,8,32,1,208.6,0.21,0.70
253,ResNet50,16,64,1,160.6,0.25,1.23
61,ResNet50,32,64,1,460.3,1.43,3.28
64,ResNet50,32,64,1,460.6,1.43,3.28
252,BERT-Large,16,64,1,170.1,0.28,1.39
185,BERT-Large,16,64,1,279.8,0.56,1.87
190,DenseNet121,8,64,1,291.5,0.29,0.97
254,DenseNet121,16,64,1,190.4,0.27,1.33
267,ResNet50,16,64,1,156.4,0.25,1.23
257,ResNet50,14,64,1,187.0,0.23,1.17
285,GPT-FineTune,16,32,1,124.6,0.21,1.03
258,BERT-Large,16,64,1,185.7,0.28,1.39
272,DenseNet121,16,64,1,161.3,0.27,1.33
240,ResNet50,16,64,1,229.0,0.38,1.28
266,BERT-Large,16,64,1,178.6,0.28,1.39
270,BERT-Large,16,64,1,166.7,0.28,1.39
271,BERT-Large,16,64,1,167.3,0.28,1.39
223,BERT-Large,16,64,1,279.0,0.56,1.87
244,GPT-FineTune,8,32,1,239.4,0.21,0.70
24,GPT-FineTune,4,32,1,597.0,0.23,0.53
225,BERT-Large,8,64,1,286.1,0.29,0.96
69,ResNet50,10,64,1,532.9,0.52,1.18
243,DenseNet121,16,64,1,263.8,0.47,1.58
299,ResNet50,16,64,1,161.0,0.25,1.23
32,GPT-FineTune,4,32,1,598.0,0.23,0.53
295,BERT-Large,16,64,1,172.6,0.28,1.39
33,GPT-FineTune,4,32,1,597.1,0.23,0.53
297,BERT-Large,16,64,1,170.3,0.28,1.39
256,ResNet50,24,64,1,258.2,0.51,1.71
38,GPT-FineTune,4,32,1,597.8,0.23,0.53
44,GPT-FineTune,4,32,1,597.3,0.23,0.53
280,ResNet50,32,64,1,211.2,0.66,2.19
306,BERT-Large,16,64,1,166.0,0.28,1.39
50,GPT-FineTune,4,32,1,597.5,0.23,0.53
286,ResNet50,32,64,1,210.5,0.66,2.19
310,ResNet50,16,64,1,172.2,0.25,1.23
237,BERT-Large,16,64,1,318.3,0.56,1.87
238,BERT-Large,16,64,1,318.2,0.56,1.87
313,ResNet50,16,64,1,170.2,0.25,1.23
239,BERT-Large,16,64,1,319.8,0.56,1.87
311,ResNet50,14,64,1,175.8,0.23,1.17
