Job_ID,Type,Alloc,Batch,GAS,JCT,Energy,Cost
2,GPT-FineTune,4,32,1,231.0,0.12,0.39
11,GPT-FineTune,4,32,1,231.4,0.12,0.39
40,DenseNet121,4,128,1,239.3,0.16,0.80
58,DenseNet121,4,128,1,239.1,0.16,0.80
67,GPT-FineTune,4,32,1,231.0,0.12,0.39
87,GPT-FineTune,4,32,1,231.6,0.12,0.39
88,DenseNet121,4,128,1,239.2,0.16,0.80
107,GPT-FineTune,4,32,1,231.3,0.12,0.39
147,GPT-FineTune,4,32,1,174.0,0.07,0.35
148,GPT-FineTune,4,32,1,198.0,0.07,0.35
123,GPT-FineTune,4,32,1,258.5,0.12,0.39
130,GPT-FineTune,4,32,1,263.1,0.12,0.39
0,BERT-Large,1,64,1,500.5,0.08,0.42
189,GPT-FineTune,4,32,1,210.5,0.07,0.35
43,DenseNet121,4,128,1,434.4,0.22,0.72
7,BERT-Large,1,64,1,500.3,0.08,0.42
191,GPT-FineTune,4,32,1,222.0,0.07,0.35
224,GPT-FineTune,4,32,1,196.6,0.07,0.35
35,BERT-Large,1,64,1,500.7,0.08,0.42
150,GPT-FineTune,4,32,1,328.9,0.12,0.39
98,DenseNet121,4,128,1,434.1,0.22,0.72
247,GPT-FineTune,4,32,1,217.9,0.07,0.35
182,GPT-FineTune,4,32,1,342.3,0.12,0.39
20,GPT-FineTune,4,32,1,597.7,0.23,0.53
259,GPT-FineTune,4,32,1,213.5,0.07,0.35
210,GPT-FineTune,4,32,1,319.8,0.12,0.39
262,GPT-FineTune,4,32,1,233.7,0.07,0.35
32,GPT-FineTune,4,32,1,598.0,0.23,0.53
44,GPT-FineTune,4,32,1,597.3,0.23,0.53
50,GPT-FineTune,4,32,1,597.5,0.23,0.53
231,GPT-FineTune,4,32,1,339.0,0.12,0.39
66,GPT-FineTune,4,32,1,597.3,0.23,0.53
121,BERT-Large,1,64,1,500.4,0.08,0.42
244,GPT-FineTune,4,32,1,323.4,0.12,0.39
285,GPT-FineTune,4,32,1,246.6,0.07,0.35
317,GPT-FineTune,4,32,1,206.9,0.07,0.35
255,GPT-FineTune,4,32,1,336.6,0.12,0.39
85,GPT-FineTune,4,32,1,597.0,0.23,0.53
91,GPT-FineTune,4,32,1,597.3,0.23,0.53
323,GPT-FineTune,4,32,1,226.9,0.07,0.35
103,GPT-FineTune,4,32,1,597.2,0.23,0.53
118,GPT-FineTune,4,32,1,598.0,0.23,0.53
264,GPT-FineTune,4,32,1,385.2,0.12,0.39
416,GPT-FineTune,4,32,1,180.3,0.07,0.35
21,BERT-Large,1,64,1,800.5,0.10,0.33
281,GPT-FineTune,4,32,1,367.2,0.12,0.39
418,GPT-FineTune,4,32,1,191.4,0.07,0.35
300,GPT-FineTune,4,32,1,356.3,0.12,0.39
34,BERT-Large,1,64,1,800.6,0.10,0.33
432,GPT-FineTune,4,32,1,198.4,0.07,0.35
36,BERT-Large,1,64,1,800.6,0.10,0.33
41,BERT-Large,1,64,1,800.7,0.10,0.33
321,GPT-FineTune,4,32,1,348.3,0.12,0.39
51,BERT-Large,1,64,1,800.1,0.10,0.33
63,BERT-Large,1,64,1,800.5,0.10,0.33
6,DenseNet121,4,128,1,892.6,0.35,0.79
12,DenseNet121,4,128,1,892.5,0.35,0.79
474,GPT-FineTune,4,32,1,205.0,0.07,0.35
378,GPT-FineTune,4,32,1,334.9,0.12,0.39
411,GPT-FineTune,4,32,1,308.0,0.12,0.39
490,GPT-FineTune,4,32,1,195.5,0.07,0.35
93,BERT-Large,1,64,1,800.5,0.10,0.33
94,BERT-Large,1,64,1,800.5,0.10,0.33
498,GPT-FineTune,4,32,1,211.2,0.07,0.35
421,GPT-FineTune,4,32,1,321.4,0.12,0.39
60,DenseNet121,4,128,1,892.9,0.35,0.79
116,BERT-Large,1,64,1,800.1,0.10,0.33
129,BERT-Large,1,64,1,788.6,0.08,0.42
131,BERT-Large,1,64,1,796.6,0.08,0.42
9,ResNet50,1,128,1,1000.8,0.17,0.83
14,ResNet50,1,128,1,1000.3,0.17,0.83
17,ResNet50,1,128,1,1000.9,0.17,0.83
22,ResNet50,1,128,1,1000.9,0.17,0.83
525,GPT-FineTune,4,32,1,239.0,0.07,0.35
460,GPT-FineTune,4,32,1,335.0,0.12,0.39
27,ResNet50,1,128,1,1000.4,0.17,0.83
530,GPT-FineTune,4,32,1,248.7,0.07,0.35
97,DenseNet121,4,128,1,892.9,0.35,0.79
485,GPT-FineTune,4,32,1,319.9,0.12,0.39
132,BERT-Large,1,64,1,845.0,0.08,0.42
555,GPT-FineTune,4,32,1,237.0,0.07,0.35
110,DenseNet121,4,128,1,892.4,0.35,0.79
491,GPT-FineTune,4,32,1,334.1,0.12,0.39
512,GPT-FineTune,4,32,1,332.2,0.12,0.39
76,ResNet50,1,128,1,1000.3,0.17,0.83
562,GPT-FineTune,4,32,1,293.5,0.07,0.35
84,ResNet50,1,128,1,1000.4,0.17,0.83
585,GPT-FineTune,4,32,1,276.0,0.07,0.35
527,GPT-FineTune,4,32,1,369.0,0.12,0.39
102,ResNet50,1,128,1,1000.6,0.17,0.83
549,GPT-FineTune,4,32,1,346.9,0.12,0.39
603,GPT-FineTune,4,32,1,277.2,0.07,0.35
108,ResNet50,1,128,1,1000.7,0.17,0.83
111,ResNet50,1,128,1,1000.4,0.17,0.83
113,ResNet50,1,128,1,1000.1,0.17,0.83
557,GPT-FineTune,4,32,1,361.0,0.12,0.39
133,BERT-Large,1,64,1,990.6,0.08,0.42
316,GPT-FineTune,4,32,1,700.4,0.23,0.53
608,GPT-FineTune,4,32,1,330.7,0.07,0.35
327,GPT-FineTune,4,32,1,717.9,0.23,0.53
611,GPT-FineTune,4,32,1,330.6,0.07,0.35
333,GPT-FineTune,4,32,1,719.0,0.23,0.53
572,GPT-FineTune,4,32,1,406.7,0.12,0.39
369,GPT-FineTune,4,32,1,696.9,0.23,0.53
634,GPT-FineTune,4,32,1,316.6,0.07,0.35
594,GPT-FineTune,4,32,1,403.5,0.12,0.39
404,GPT-FineTune,4,32,1,678.8,0.23,0.53
605,GPT-FineTune,4,32,1,410.3,0.12,0.39
606,GPT-FineTune,4,32,1,434.1,0.12,0.39
429,GPT-FineTune,4,32,1,690.6,0.23,0.53
657,GPT-FineTune,4,32,1,346.2,0.07,0.35
13,BERT-Large,1,64,1,1333.4,0.13,0.30
449,GPT-FineTune,4,32,1,670.1,0.23,0.53
454,GPT-FineTune,4,32,1,668.7,0.23,0.53
663,GPT-FineTune,4,32,1,354.8,0.07,0.35
684,GPT-FineTune,4,32,1,330.6,0.07,0.35
613,GPT-FineTune,4,32,1,458.7,0.12,0.39
39,BERT-Large,1,64,1,1333.5,0.13,0.30
459,GPT-FineTune,4,32,1,700.6,0.23,0.53
615,GPT-FineTune,4,32,1,465.2,0.12,0.39
47,BERT-Large,1,64,1,1333.1,0.13,0.30
48,BERT-Large,1,64,1,1333.9,0.13,0.30
645,GPT-FineTune,4,32,1,455.0,0.12,0.39
725,GPT-FineTune,4,32,1,335.0,0.07,0.35
74,BERT-Large,1,64,1,1333.3,0.13,0.30
75,BERT-Large,1,64,1,1333.4,0.13,0.30
756,GPT-FineTune,4,32,1,306.0,0.07,0.35
96,BERT-Large,1,64,1,1333.4,0.13,0.30
758,GPT-FineTune,4,32,1,331.0,0.07,0.35
675,GPT-FineTune,4,32,1,463.4,0.12,0.39
515,GPT-FineTune,4,32,1,721.6,0.23,0.53
101,BERT-Large,1,64,1,1333.9,0.13,0.30
158,BERT-Large,1,64,1,1253.0,0.08,0.42
516,GPT-FineTune,4,32,1,726.2,0.23,0.53
159,BERT-Large,1,64,1,1259.8,0.08,0.42
162,BERT-Large,1,64,1,1254.4,0.08,0.42
163,BERT-Large,1,64,1,1259.0,0.08,0.42
693,GPT-FineTune,4,32,1,445.6,0.12,0.39
164,BERT-Large,1,64,1,1264.4,0.08,0.42
165,BERT-Large,1,64,1,1269.1,0.08,0.42
117,BERT-Large,1,64,1,1333.9,0.13,0.30
8,GPT-FineTune,4,32,1,1530.2,0.39,0.85
166,BERT-Large,1,64,1,1278.7,0.08,0.42
128,BERT-Large,1,64,1,1333.3,0.13,0.30
710,GPT-FineTune,4,32,1,445.7,0.12,0.39
806,GPT-FineTune,4,32,1,328.9,0.07,0.35
169,BERT-Large,1,64,1,1298.5,0.08,0.42
24,GPT-FineTune,4,32,1,1530.0,0.39,0.85
714,GPT-FineTune,4,32,1,465.8,0.12,0.39
822,GPT-FineTune,4,32,1,317.0,0.07,0.35
33,GPT-FineTune,4,32,1,1530.1,0.39,0.85
561,GPT-FineTune,4,32,1,748.9,0.23,0.53
38,GPT-FineTune,4,32,1,1531.8,0.39,0.85
829,GPT-FineTune,4,32,1,336.3,0.07,0.35
770,GPT-FineTune,4,32,1,436.7,0.12,0.39
134,BERT-Large,1,64,1,1409.2,0.10,0.33
173,BERT-Large,1,64,1,1360.0,0.08,0.42
23,ResNet50,1,128,1,1600.6,0.20,0.67
62,GPT-FineTune,4,32,1,1532.0,0.39,0.85
65,GPT-FineTune,4,32,1,1531.5,0.39,0.85
25,ResNet50,1,128,1,1600.1,0.20,0.67
788,GPT-FineTune,4,32,1,421.6,0.12,0.39
28,ResNet50,1,128,1,1600.4,0.20,0.67
589,GPT-FineTune,4,32,1,771.3,0.23,0.53
174,BERT-Large,1,64,1,1381.4,0.08,0.42
136,BERT-Large,1,64,1,1437.6,0.10,0.33
37,ResNet50,1,128,1,1600.3,0.20,0.67
139,BERT-Large,1,64,1,1440.7,0.10,0.33
797,GPT-FineTune,4,32,1,439.4,0.12,0.39
848,GPT-FineTune,4,32,1,381.5,0.07,0.35
140,BERT-Large,1,64,1,1444.4,0.10,0.33
81,GPT-FineTune,4,32,1,1531.9,0.39,0.85
177,BERT-Large,1,64,1,1399.5,0.08,0.42
604,GPT-FineTune,4,32,1,773.9,0.23,0.53
52,ResNet50,1,128,1,1600.7,0.20,0.67
141,BERT-Large,1,64,1,1455.9,0.10,0.33
178,BERT-Large,1,64,1,1410.2,0.08,0.42
865,GPT-FineTune,4,32,1,372.1,0.07,0.35
89,GPT-FineTune,4,32,1,1531.2,0.39,0.85
56,ResNet50,1,128,1,1600.5,0.20,0.67
179,BERT-Large,1,64,1,1418.0,0.08,0.42
95,GPT-FineTune,4,32,1,1531.4,0.39,0.85
185,BERT-Large,1,64,1,1404.8,0.08,0.42
100,GPT-FineTune,4,32,1,1531.1,0.39,0.85
61,ResNet50,1,128,1,1600.3,0.20,0.67
64,ResNet50,1,128,1,1600.6,0.20,0.67
142,BERT-Large,1,64,1,1475.9,0.10,0.33
105,GPT-FineTune,4,32,1,1531.5,0.39,0.85
192,BERT-Large,1,64,1,1412.2,0.08,0.42
895,GPT-FineTune,4,32,1,358.7,0.07,0.35
109,GPT-FineTune,4,32,1,1531.7,0.39,0.85
115,GPT-FineTune,4,32,1,1531.0,0.39,0.85
830,GPT-FineTune,4,32,1,459.5,0.12,0.39
79,ResNet50,1,128,1,1600.9,0.20,0.67
83,ResNet50,1,128,1,1600.1,0.20,0.67
836,GPT-FineTune,4,32,1,477.7,0.12,0.39
146,BERT-Large,1,64,1,1527.4,0.10,0.33
149,BERT-Large,1,64,1,1520.9,0.10,0.33
924,GPT-FineTune,4,32,1,387.8,0.07,0.35
106,ResNet50,1,128,1,1600.5,0.20,0.67
847,GPT-FineTune,4,32,1,494.3,0.12,0.39
952,GPT-FineTune,4,32,1,370.0,0.07,0.35
157,BERT-Large,1,64,1,1549.3,0.10,0.33
119,ResNet50,1,128,1,1600.1,0.20,0.67
857,GPT-FineTune,4,32,1,504.6,0.12,0.39
122,ResNet50,1,128,1,1600.4,0.20,0.67
125,ResNet50,1,128,1,1600.2,0.20,0.67
965,GPT-FineTune,4,32,1,371.3,0.07,0.35
646,GPT-FineTune,4,32,1,840.2,0.23,0.53
659,GPT-FineTune,4,32,1,844.6,0.23,0.53
10,DenseNet121,4,128,1,1844.6,0.47,1.02
902,GPT-FineTune,4,32,1,503.0,0.12,0.39
669,GPT-FineTune,4,32,1,844.4,0.23,0.53
19,DenseNet121,4,128,1,1845.0,0.47,1.02
909,GPT-FineTune,4,32,1,501.7,0.12,0.39
683,GPT-FineTune,4,32,1,823.2,0.23,0.53
980,GPT-FineTune,4,32,1,410.8,0.07,0.35
990,GPT-FineTune,4,32,1,399.1,0.07,0.35
918,GPT-FineTune,4,32,1,518.1,0.12,0.39
697,GPT-FineTune,4,32,1,816.7,0.23,0.53
46,DenseNet121,4,128,1,1844.2,0.47,1.02
993,GPT-FineTune,4,32,1,420.9,0.07,0.35
49,DenseNet121,4,128,1,1844.4,0.47,1.02
723,GPT-FineTune,4,32,1,826.7,0.23,0.53
747,GPT-FineTune,4,32,1,793.9,0.23,0.53
978,GPT-FineTune,4,32,1,494.6,0.12,0.39
757,GPT-FineTune,4,32,1,797.5,0.23,0.53
979,GPT-FineTune,4,32,1,518.9,0.12,0.39
776,GPT-FineTune,4,32,1,794.2,0.23,0.53
90,DenseNet121,4,128,1,1844.5,0.47,1.02
220,BERT-Large,1,64,1,1664.5,0.08,0.42
5,BERT-Large,1,64,1,2000.0,0.13,0.28
982,GPT-FineTune,4,32,1,536.6,0.12,0.39
223,BERT-Large,1,64,1,1668.0,0.08,0.42
225,BERT-Large,1,64,1,1663.1,0.08,0.42
16,BERT-Large,1,64,1,2000.1,0.13,0.28
232,BERT-Large,1,64,1,1659.2,0.08,0.42
18,BERT-Large,1,64,1,2000.7,0.13,0.28
233,BERT-Large,1,64,1,1661.6,0.08,0.42
237,BERT-Large,1,64,1,1662.3,0.08,0.42
991,GPT-FineTune,4,32,1,537.0,0.12,0.39
239,BERT-Large,1,64,1,1672.8,0.08,0.42
29,BERT-Large,1,64,1,2000.4,0.13,0.28
120,DenseNet121,4,128,1,1844.7,0.47,1.02
31,BERT-Large,1,64,1,2000.3,0.13,0.28
242,BERT-Large,1,64,1,1680.4,0.08,0.42
45,BERT-Large,1,64,1,2000.2,0.13,0.28
57,BERT-Large,1,64,1,2000.2,0.13,0.28
59,BERT-Large,1,64,1,2000.1,0.13,0.28
831,GPT-FineTune,4,32,1,827.3,0.23,0.53
832,GPT-FineTune,4,32,1,832.5,0.23,0.53
68,BERT-Large,1,64,1,2000.3,0.13,0.28
71,BERT-Large,1,64,1,2000.9,0.13,0.28
72,BERT-Large,1,64,1,2000.7,0.13,0.28
249,BERT-Large,1,64,1,1737.8,0.08,0.42
80,BERT-Large,1,64,1,2000.7,0.13,0.28
261,BERT-Large,1,64,1,1738.9,0.08,0.42
274,BERT-Large,1,64,1,1728.6,0.08,0.42
277,BERT-Large,1,64,1,1734.6,0.08,0.42
873,GPT-FineTune,4,32,1,868.9,0.23,0.53
287,BERT-Large,1,64,1,1718.0,0.08,0.42
293,BERT-Large,1,64,1,1714.9,0.08,0.42
302,BERT-Large,1,64,1,1714.0,0.08,0.42
915,GPT-FineTune,4,32,1,876.2,0.23,0.53
947,GPT-FineTune,4,32,1,858.3,0.23,0.53
417,BERT-Large,1,64,1,1738.9,0.08,0.42
419,BERT-Large,1,64,1,1735.5,0.08,0.42
422,BERT-Large,1,64,1,1733.0,0.08,0.42
423,BERT-Large,1,64,1,1731.9,0.08,0.42
425,BERT-Large,1,64,1,1746.0,0.08,0.42
431,BERT-Large,1,64,1,1734.1,0.08,0.42
435,BERT-Large,1,64,1,1729.1,0.08,0.42
444,BERT-Large,1,64,1,1720.6,0.08,0.42
998,GPT-FineTune,4,32,1,909.0,0.23,0.53
500,BERT-Large,1,64,1,1663.5,0.08,0.42
501,BERT-Large,1,64,1,1663.5,0.08,0.42
504,BERT-Large,1,64,1,1660.7,0.08,0.42
513,BERT-Large,1,64,1,1646.6,0.08,0.42
245,BERT-Large,1,64,1,2043.3,0.10,0.33
251,BERT-Large,1,64,1,2038.4,0.10,0.33
252,BERT-Large,1,64,1,2040.1,0.10,0.33
258,BERT-Large,1,64,1,2039.7,0.10,0.33
266,BERT-Large,1,64,1,2039.6,0.10,0.33
268,BERT-Large,1,64,1,2031.2,0.10,0.33
270,BERT-Large,1,64,1,2030.7,0.10,0.33
271,BERT-Large,1,64,1,2034.3,0.10,0.33
275,BERT-Large,1,64,1,2036.6,0.10,0.33
276,BERT-Large,1,64,1,2033.5,0.10,0.33
290,BERT-Large,1,64,1,2016.1,0.10,0.33
295,BERT-Large,1,64,1,2019.6,0.10,0.33
297,BERT-Large,1,64,1,2017.3,0.10,0.33
301,BERT-Large,1,64,1,2008.0,0.10,0.33
607,BERT-Large,1,64,1,1595.9,0.08,0.42
632,BERT-Large,1,64,1,1548.6,0.08,0.42
637,BERT-Large,1,64,1,1543.7,0.08,0.42
639,BERT-Large,1,64,1,1547.3,0.08,0.42
648,BERT-Large,1,64,1,1535.1,0.08,0.42
651,BERT-Large,1,64,1,1534.2,0.08,0.42
303,BERT-Large,1,64,1,2037.4,0.10,0.33
306,BERT-Large,1,64,1,2039.0,0.10,0.33
671,BERT-Large,1,64,1,1518.6,0.08,0.42
308,BERT-Large,1,64,1,2053.6,0.10,0.33
309,BERT-Large,1,64,1,2054.4,0.10,0.33
690,BERT-Large,1,64,1,1489.1,0.08,0.42
312,BERT-Large,1,64,1,2062.2,0.10,0.33
319,BERT-Large,1,64,1,2075.2,0.10,0.33
320,BERT-Large,1,64,1,2077.7,0.10,0.33
325,BERT-Large,1,64,1,2074.0,0.10,0.33
328,BERT-Large,1,64,1,2071.6,0.10,0.33
752,BERT-Large,1,64,1,1470.8,0.08,0.42
759,BERT-Large,1,64,1,1486.7,0.08,0.42
349,BERT-Large,1,64,1,2097.2,0.10,0.33
351,BERT-Large,1,64,1,2096.0,0.10,0.33
352,BERT-Large,1,64,1,2094.3,0.10,0.33
353,BERT-Large,1,64,1,2094.2,0.10,0.33
1,ResNet50,1,128,1,2667.8,0.26,0.59
388,BERT-Large,1,64,1,2065.8,0.10,0.33
389,BERT-Large,1,64,1,2065.3,0.10,0.33
393,BERT-Large,1,64,1,2058.5,0.10,0.33
396,BERT-Large,1,64,1,2053.6,0.10,0.33
4,ResNet50,1,128,1,2667.4,0.26,0.59
762,BERT-Large,1,64,1,1500.2,0.08,0.42
202,BERT-Large,1,64,1,2366.5,0.13,0.30
763,BERT-Large,1,64,1,1510.2,0.08,0.42
774,BERT-Large,1,64,1,1492.4,0.08,0.42
775,BERT-Large,1,64,1,1491.3,0.08,0.42
453,BERT-Large,1,64,1,2002.9,0.10,0.33
456,BERT-Large,1,64,1,2000.1,0.10,0.33
457,BERT-Large,1,64,1,2000.1,0.10,0.33
465,BERT-Large,1,64,1,1993.5,0.10,0.33
26,ResNet50,1,128,1,2667.9,0.26,0.59
778,BERT-Large,1,64,1,1506.3,0.08,0.42
30,ResNet50,1,128,1,2667.0,0.26,0.59
204,BERT-Large,1,64,1,2411.8,0.13,0.30
205,BERT-Large,1,64,1,2423.2,0.13,0.30
208,BERT-Large,1,64,1,2424.3,0.13,0.30
55,ResNet50,1,128,1,2667.6,0.26,0.59
543,BERT-Large,1,64,1,1945.7,0.10,0.33
550,BERT-Large,1,64,1,1934.7,0.10,0.33
551,BERT-Large,1,64,1,1933.7,0.10,0.33
553,BERT-Large,1,64,1,1929.0,0.10,0.33
70,ResNet50,1,128,1,2667.0,0.26,0.59
570,BERT-Large,1,64,1,1932.8,0.10,0.33
574,BERT-Large,1,64,1,1926.4,0.10,0.33
576,BERT-Large,1,64,1,1922.9,0.10,0.33
577,BERT-Large,1,64,1,1922.7,0.10,0.33
214,BERT-Large,1,64,1,2463.0,0.13,0.30
215,BERT-Large,1,64,1,2464.8,0.13,0.30
78,ResNet50,1,128,1,2667.3,0.26,0.59
82,ResNet50,1,128,1,2667.2,0.26,0.59
621,BERT-Large,1,64,1,1862.4,0.10,0.33
625,BERT-Large,1,64,1,1857.2,0.10,0.33
627,BERT-Large,1,64,1,1854.6,0.10,0.33
631,BERT-Large,1,64,1,1847.2,0.10,0.33
92,ResNet50,1,128,1,2667.9,0.26,0.59
216,BERT-Large,1,64,1,2496.5,0.13,0.30
219,BERT-Large,1,64,1,2503.1,0.13,0.30
655,BERT-Large,1,64,1,1833.8,0.10,0.33
662,BERT-Large,1,64,1,1826.9,0.10,0.33
667,BERT-Large,1,64,1,1821.4,0.10,0.33
670,BERT-Large,1,64,1,1813.1,0.10,0.33
114,ResNet50,1,128,1,2667.5,0.26,0.59
238,BERT-Large,1,64,1,2497.2,0.13,0.30
241,BERT-Large,1,64,1,2496.4,0.13,0.30
803,BERT-Large,1,64,1,1651.8,0.08,0.42
805,BERT-Large,1,64,1,1649.9,0.08,0.42
810,BERT-Large,1,64,1,1641.3,0.08,0.42
811,BERT-Large,1,64,1,1640.3,0.08,0.42
827,BERT-Large,1,64,1,1633.4,0.08,0.42
834,BERT-Large,1,64,1,1622.3,0.08,0.42
835,BERT-Large,1,64,1,1620.8,0.08,0.42
840,BERT-Large,1,64,1,1616.4,0.08,0.42
862,BERT-Large,1,64,1,1615.5,0.08,0.42
863,BERT-Large,1,64,1,1614.0,0.08,0.42
869,BERT-Large,1,64,1,1607.7,0.08,0.42
870,BERT-Large,1,64,1,1606.1,0.08,0.42
923,BERT-Large,1,64,1,1620.9,0.08,0.42
926,BERT-Large,1,64,1,1624.7,0.08,0.42
932,BERT-Large,1,64,1,1615.7,0.08,0.42
938,BERT-Large,1,64,1,1610.2,0.08,0.42
944,BERT-Large,1,64,1,1612.2,0.08,0.42
949,BERT-Large,1,64,1,1615.3,0.08,0.42
956,BERT-Large,1,64,1,1617.1,0.08,0.42
973,BERT-Large,1,64,1,1604.8,0.08,0.42
838,GPT-FineTune,4,32,1,1794.0,0.39,0.85
124,DenseNet121,4,128,1,2885.8,0.22,0.72
850,GPT-FineTune,4,32,1,1807.7,0.39,0.85
137,DenseNet121,4,128,1,2882.2,0.22,0.72
867,GPT-FineTune,4,32,1,1808.2,0.39,0.85
180,DenseNet121,4,128,1,2848.9,0.16,0.80
876,GPT-FineTune,4,32,1,1797.1,0.39,0.85
143,DenseNet121,4,128,1,2905.0,0.22,0.72
186,DenseNet121,4,128,1,2849.9,0.16,0.80
188,DenseNet121,4,128,1,2875.1,0.16,0.80
