Job_ID,Type,Alloc,Batch,GAS,JCT,Energy,Cost
2,GPT-FineTune,4,32,1,106.0,0.07,0.35
8,GPT-FineTune,4,32,1,106.2,0.07,0.35
11,GPT-FineTune,4,32,1,105.4,0.07,0.35
6,DenseNet121,4,64,1,239.6,0.16,0.80
10,DenseNet121,4,64,1,239.6,0.16,0.80
12,DenseNet121,4,64,1,239.5,0.16,0.80
20,GPT-FineTune,4,32,1,231.7,0.12,0.39
24,GPT-FineTune,4,32,1,231.0,0.12,0.39
32,GPT-FineTune,4,32,1,232.0,0.12,0.39
33,GPT-FineTune,4,32,1,231.1,0.12,0.39
38,GPT-FineTune,4,32,1,231.8,0.12,0.39
44,GPT-FineTune,4,32,1,233.3,0.12,0.39
50,GPT-FineTune,4,32,1,232.5,0.12,0.39
130,GPT-FineTune,4,32,1,141.1,0.07,0.35
19,DenseNet121,4,64,1,435.0,0.22,0.72
137,DenseNet121,4,64,1,273.2,0.16,0.80
40,DenseNet121,4,64,1,434.3,0.22,0.72
13,BERT-Large,1,64,1,500.4,0.08,0.42
147,GPT-FineTune,4,32,1,284.0,0.12,0.39
148,GPT-FineTune,4,32,1,288.0,0.12,0.39
150,GPT-FineTune,4,32,1,293.9,0.12,0.39
152,DenseNet121,4,64,1,350.9,0.16,0.80
71,BERT-Large,1,64,1,500.9,0.08,0.42
72,BERT-Large,1,64,1,500.7,0.08,0.42
74,BERT-Large,1,64,1,500.3,0.08,0.42
75,BERT-Large,1,64,1,500.4,0.08,0.42
80,BERT-Large,1,64,1,500.7,0.08,0.42
143,DenseNet121,4,64,1,472.0,0.22,0.72
65,GPT-FineTune,4,32,1,598.5,0.23,0.53
66,GPT-FineTune,4,32,1,597.3,0.23,0.53
67,GPT-FineTune,4,32,1,598.0,0.23,0.53
134,BERT-Large,1,64,1,534.2,0.08,0.42
136,BERT-Large,1,64,1,530.6,0.08,0.42
89,GPT-FineTune,4,32,1,599.2,0.23,0.53
95,GPT-FineTune,4,32,1,598.4,0.23,0.53
100,GPT-FineTune,4,32,1,597.1,0.23,0.53
103,GPT-FineTune,4,32,1,598.2,0.23,0.53
107,GPT-FineTune,4,32,1,597.3,0.23,0.53
109,GPT-FineTune,4,32,1,597.7,0.23,0.53
115,GPT-FineTune,4,32,1,598.0,0.23,0.53
123,GPT-FineTune,4,32,1,597.5,0.23,0.53
18,BERT-Large,1,64,1,800.7,0.10,0.33
21,BERT-Large,1,64,1,800.5,0.10,0.33
175,DenseNet121,4,64,1,564.1,0.16,0.80
34,BERT-Large,1,64,1,800.6,0.10,0.33
36,BERT-Large,1,64,1,800.6,0.10,0.33
39,BERT-Large,1,64,1,800.5,0.10,0.33
156,DenseNet121,4,64,1,644.7,0.22,0.72
161,DenseNet121,4,64,1,677.6,0.22,0.72
62,GPT-FineTune,4,32,4,851.0,0.22,0.47
93,BERT-Large,1,64,1,800.5,0.10,0.33
81,GPT-FineTune,4,32,4,850.9,0.22,0.47
60,DenseNet121,4,64,1,892.9,0.35,0.79
157,BERT-Large,1,64,1,748.3,0.08,0.42
158,BERT-Large,1,64,1,747.0,0.08,0.42
159,BERT-Large,1,64,1,744.8,0.08,0.42
85,GPT-FineTune,4,32,4,851.0,0.22,0.47
1,ResNet50,1,64,1,1000.8,0.17,0.83
87,GPT-FineTune,4,32,4,851.6,0.22,0.47
91,GPT-FineTune,4,32,4,852.3,0.22,0.47
9,ResNet50,1,64,1,1000.8,0.17,0.83
162,BERT-Large,1,64,1,759.4,0.08,0.42
105,GPT-FineTune,4,32,4,850.5,0.22,0.47
88,DenseNet121,4,64,1,893.2,0.35,0.79
118,GPT-FineTune,4,32,4,851.0,0.22,0.47
97,DenseNet121,4,64,1,893.9,0.35,0.79
98,DenseNet121,4,64,1,894.1,0.35,0.79
139,BERT-Large,1,64,1,833.7,0.10,0.33
140,BERT-Large,1,64,1,833.4,0.10,0.33
141,BERT-Large,1,64,1,832.9,0.10,0.33
142,BERT-Large,1,64,1,830.9,0.10,0.33
201,DenseNet121,4,64,1,757.6,0.16,0.80
146,BERT-Large,1,64,1,856.4,0.10,0.33
149,BERT-Large,1,64,1,848.9,0.10,0.33
43,DenseNet121,4,64,4,1025.4,0.26,0.57
46,DenseNet121,4,64,4,1024.2,0.26,0.57
120,DenseNet121,4,64,1,892.7,0.35,0.79
124,DenseNet121,4,64,1,892.8,0.35,0.79
49,DenseNet121,4,64,4,1025.4,0.26,0.57
0,BERT-Large,1,64,4,1111.5,0.07,0.15
70,ResNet50,1,64,1,1000.0,0.17,0.83
58,DenseNet121,4,64,4,1025.1,0.26,0.57
5,BERT-Large,1,64,4,1111.0,0.07,0.15
7,BERT-Large,1,64,4,1111.3,0.07,0.15
73,ResNet50,1,64,1,1000.4,0.17,0.83
177,BERT-Large,1,64,1,853.5,0.08,0.42
178,BERT-Large,1,64,1,854.2,0.08,0.42
76,ResNet50,1,64,1,1000.3,0.17,0.83
16,BERT-Large,1,64,4,1111.1,0.07,0.15
179,BERT-Large,1,64,1,857.0,0.08,0.42
77,ResNet50,1,64,1,1000.6,0.17,0.83
180,DenseNet121,4,64,1,861.9,0.22,0.72
79,ResNet50,1,64,1,1000.9,0.17,0.83
86,ResNet50,1,64,1,1000.8,0.17,0.83
29,BERT-Large,1,64,4,1111.4,0.07,0.15
92,ResNet50,1,64,1,1000.9,0.17,0.83
31,BERT-Large,1,64,4,1111.3,0.07,0.15
210,GPT-FineTune,4,32,1,843.8,0.12,0.39
35,BERT-Large,1,64,4,1111.7,0.07,0.15
41,BERT-Large,1,64,4,1111.7,0.07,0.15
244,GPT-FineTune,4,32,1,795.4,0.07,0.35
45,BERT-Large,1,64,4,1111.2,0.07,0.15
90,DenseNet121,4,64,4,1025.5,0.26,0.57
47,BERT-Large,1,64,4,1111.1,0.07,0.15
48,BERT-Large,1,64,4,1111.9,0.07,0.15
51,BERT-Large,1,64,4,1111.1,0.07,0.15
57,BERT-Large,1,64,4,1111.2,0.07,0.15
59,BERT-Large,1,64,4,1111.1,0.07,0.15
110,DenseNet121,4,64,4,1024.4,0.26,0.57
63,BERT-Large,1,64,4,1111.5,0.07,0.15
68,BERT-Large,1,64,4,1111.3,0.07,0.15
135,ResNet50,1,64,1,1033.2,0.17,0.83
138,ResNet50,1,64,1,1029.8,0.17,0.83
192,BERT-Large,1,64,1,958.2,0.08,0.42
94,BERT-Large,1,64,4,1111.5,0.07,0.15
96,BERT-Large,1,64,4,1111.4,0.07,0.15
101,BERT-Large,1,64,4,1111.9,0.07,0.15
264,GPT-FineTune,4,32,1,870.2,0.07,0.35
182,GPT-FineTune,4,32,1,1022.3,0.23,0.53
116,BERT-Large,1,64,4,1111.1,0.07,0.15
117,BERT-Large,1,64,4,1111.9,0.07,0.15
121,BERT-Large,1,64,4,1111.4,0.07,0.15
163,BERT-Large,1,64,1,1063.0,0.10,0.33
164,BERT-Large,1,64,1,1062.4,0.10,0.33
165,BERT-Large,1,64,1,1062.1,0.10,0.33
166,BERT-Large,1,64,1,1060.7,0.10,0.33
169,BERT-Large,1,64,1,1064.5,0.10,0.33
206,DenseNet121,4,64,1,1007.8,0.22,0.72
173,BERT-Large,1,64,1,1067.0,0.10,0.33
174,BERT-Large,1,64,1,1065.4,0.10,0.33
189,GPT-FineTune,4,32,1,1065.5,0.23,0.53
191,GPT-FineTune,4,32,1,1071.0,0.23,0.53
262,GPT-FineTune,4,32,1,983.7,0.12,0.39
243,DenseNet121,4,64,1,1107.8,0.22,0.72
160,ResNet50,1,64,1,1244.2,0.17,0.83
223,BERT-Large,1,64,1,1153.0,0.08,0.42
225,BERT-Large,1,64,1,1147.1,0.08,0.42
273,DenseNet121,4,64,1,1089.6,0.16,0.80
128,BERT-Large,1,64,1,1333.3,0.13,0.30
129,BERT-Large,1,64,1,1333.6,0.13,0.30
131,BERT-Large,1,64,1,1333.6,0.13,0.30
132,BERT-Large,1,64,1,1334.0,0.13,0.30
133,BERT-Large,1,64,1,1333.6,0.13,0.30
281,GPT-FineTune,4,32,1,1094.2,0.12,0.39
260,DenseNet121,4,64,1,1157.6,0.22,0.72
186,DenseNet121,4,64,1,1310.9,0.35,0.79
266,BERT-Large,1,64,1,1194.6,0.08,0.42
205,BERT-Large,1,64,1,1304.2,0.10,0.33
176,ResNet50,1,64,1,1353.9,0.17,0.83
270,BERT-Large,1,64,1,1191.7,0.08,0.42
271,BERT-Large,1,64,1,1192.3,0.08,0.42
274,BERT-Large,1,64,1,1185.6,0.08,0.42
276,BERT-Large,1,64,1,1182.5,0.08,0.42
277,BERT-Large,1,64,1,1182.6,0.08,0.42
25,ResNet50,1,64,1,1600.1,0.20,0.67
181,ResNet50,1,64,1,1363.2,0.17,0.83
27,ResNet50,1,64,1,1600.4,0.20,0.67
231,GPT-FineTune,4,32,1,1288.0,0.23,0.53
188,DenseNet121,4,64,1,1360.1,0.35,0.79
30,ResNet50,1,64,1,1600.0,0.20,0.67
190,DenseNet121,4,64,1,1364.5,0.35,0.79
208,BERT-Large,1,64,1,1339.3,0.10,0.33
37,ResNet50,1,64,1,1600.3,0.20,0.67
42,ResNet50,1,64,1,1600.5,0.20,0.67
193,DenseNet121,4,64,1,1371.3,0.35,0.79
194,DenseNet121,4,64,1,1372.1,0.35,0.79
52,ResNet50,1,64,1,1600.7,0.20,0.67
54,ResNet50,1,64,1,1600.3,0.20,0.67
64,ResNet50,1,64,1,1600.6,0.20,0.67
195,ResNet50,1,64,1,1450.7,0.17,0.83
297,BERT-Large,1,64,1,1268.3,0.08,0.42
216,BERT-Large,1,64,1,1429.5,0.10,0.33
283,DenseNet121,4,64,1,1301.3,0.22,0.72
314,DenseNet121,4,64,1,1249.6,0.16,0.80
102,ResNet50,1,64,1,1600.6,0.20,0.67
316,GPT-FineTune,4,32,1,1266.4,0.12,0.39
317,GPT-FineTune,4,32,1,1278.9,0.12,0.39
307,DenseNet121,4,64,1,1327.5,0.22,0.72
224,GPT-FineTune,4,32,4,1510.6,0.22,0.47
218,DenseNet121,4,64,1,1553.4,0.35,0.79
144,ResNet50,1,64,1,1660.9,0.20,0.67
145,ResNet50,1,64,1,1658.1,0.20,0.67
249,BERT-Large,1,64,1,1497.8,0.10,0.33
151,ResNet50,1,64,1,1669.4,0.20,0.67
153,ResNet50,1,64,1,1667.4,0.20,0.67
154,ResNet50,1,64,1,1666.2,0.20,0.67
155,ResNet50,1,64,1,1664.4,0.20,0.67
247,GPT-FineTune,4,32,4,1556.9,0.22,0.47
255,GPT-FineTune,4,32,4,1554.6,0.22,0.47
285,GPT-FineTune,4,32,1,1487.6,0.23,0.53
300,GPT-FineTune,4,32,1,1470.3,0.23,0.53
259,GPT-FineTune,4,32,4,1558.5,0.22,0.47
254,DenseNet121,4,64,1,1596.4,0.35,0.79
226,ResNet50,1,64,1,1645.5,0.17,0.83
319,BERT-Large,1,64,1,1475.2,0.08,0.42
320,BERT-Large,1,64,1,1472.7,0.08,0.42
227,ResNet50,1,64,1,1651.4,0.17,0.83
345,DenseNet121,4,64,1,1448.4,0.16,0.80
235,ResNet50,1,64,1,1648.0,0.17,0.83
236,ResNet50,1,64,1,1652.3,0.17,0.83
222,DenseNet121,4,64,4,1685.0,0.26,0.57
185,BERT-Large,1,64,1,1751.8,0.13,0.30
230,DenseNet121,4,64,4,1691.5,0.26,0.57
214,BERT-Large,1,64,4,1734.0,0.07,0.15
215,BERT-Large,1,64,4,1732.8,0.07,0.15
234,DenseNet121,4,64,4,1714.3,0.26,0.57
219,BERT-Large,1,64,4,1768.1,0.07,0.15
220,BERT-Large,1,64,4,1760.5,0.07,0.15
378,GPT-FineTune,4,32,1,1517.9,0.07,0.35
330,BERT-Large,1,64,1,1577.3,0.08,0.42
232,BERT-Large,1,64,4,1762.2,0.07,0.15
233,BERT-Large,1,64,4,1758.6,0.07,0.15
269,ResNet50,1,64,1,1692.0,0.17,0.83
334,BERT-Large,1,64,1,1580.3,0.08,0.42
167,ResNet50,1,64,1,1865.4,0.20,0.67
168,ResNet50,1,64,1,1865.2,0.20,0.67
170,ResNet50,1,64,1,1862.3,0.20,0.67
308,BERT-Large,1,64,1,1621.6,0.10,0.33
337,BERT-Large,1,64,1,1581.5,0.08,0.42
339,BERT-Large,1,64,1,1580.1,0.08,0.42
171,ResNet50,1,64,1,1867.7,0.20,0.67
172,ResNet50,1,64,1,1867.6,0.20,0.67
279,ResNet50,1,64,1,1680.7,0.17,0.83
309,BERT-Large,1,64,1,1629.4,0.10,0.33
202,BERT-Large,1,64,1,1821.5,0.13,0.30
204,BERT-Large,1,64,1,1819.8,0.13,0.30
280,ResNet50,1,64,1,1699.2,0.17,0.83
284,ResNet50,1,64,1,1694.5,0.17,0.83
278,DenseNet121,4,64,1,1741.0,0.35,0.79
321,GPT-FineTune,4,32,1,1669.3,0.23,0.53
338,DenseNet121,4,64,1,1649.3,0.22,0.72
265,DenseNet121,4,64,4,1787.1,0.26,0.57
251,BERT-Large,1,64,4,1814.4,0.07,0.15
252,BERT-Large,1,64,4,1814.1,0.07,0.15
