Job_ID,Type,Alloc,Batch,GAS,JCT,Energy,Cost
2,GPT-FineTune,4,32,1,106.0,0.07,0.35
8,GPT-FineTune,4,32,1,106.2,0.07,0.35
11,GPT-FineTune,4,32,1,105.4,0.07,0.35
6,DenseNet121,4,64,1,239.6,0.16,0.80
10,DenseNet121,4,64,1,239.6,0.16,0.80
20,GPT-FineTune,4,32,1,231.7,0.12,0.39
24,GPT-FineTune,4,32,1,231.0,0.12,0.39
32,GPT-FineTune,4,32,1,232.0,0.12,0.39
33,GPT-FineTune,4,32,1,231.1,0.12,0.39
38,GPT-FineTune,4,32,1,231.8,0.12,0.39
130,GPT-FineTune,4,32,1,141.1,0.07,0.35
12,DenseNet121,4,64,1,434.5,0.22,0.72
19,DenseNet121,4,64,1,435.0,0.22,0.72
148,GPT-FineTune,4,32,1,222.0,0.07,0.35
0,BERT-Large,1,64,1,500.5,0.08,0.42
5,BERT-Large,1,64,1,500.0,0.08,0.42
7,BERT-Large,1,64,1,500.3,0.08,0.42
147,GPT-FineTune,4,32,1,290.0,0.12,0.39
71,BERT-Large,1,64,1,500.9,0.08,0.42
72,BERT-Large,1,64,1,500.7,0.08,0.42
74,BERT-Large,1,64,1,500.3,0.08,0.42
75,BERT-Large,1,64,1,500.4,0.08,0.42
80,BERT-Large,1,64,1,500.7,0.08,0.42
44,GPT-FineTune,4,32,1,599.3,0.23,0.53
50,GPT-FineTune,4,32,1,598.5,0.23,0.53
150,GPT-FineTune,4,32,1,441.9,0.12,0.39
137,DenseNet121,4,64,1,468.2,0.22,0.72
62,GPT-FineTune,4,32,1,598.0,0.23,0.53
65,GPT-FineTune,4,32,1,598.5,0.23,0.53
152,DenseNet121,4,64,1,456.9,0.16,0.80
66,GPT-FineTune,4,32,1,597.3,0.23,0.53
67,GPT-FineTune,4,32,1,598.0,0.23,0.53
143,DenseNet121,4,64,1,496.0,0.22,0.72
81,GPT-FineTune,4,32,1,597.9,0.23,0.53
85,GPT-FineTune,4,32,1,598.0,0.23,0.53
87,GPT-FineTune,4,32,1,598.6,0.23,0.53
134,BERT-Large,1,64,1,534.2,0.08,0.42
136,BERT-Large,1,64,1,530.6,0.08,0.42
89,GPT-FineTune,4,32,1,599.2,0.23,0.53
91,GPT-FineTune,4,32,1,599.3,0.23,0.53
13,BERT-Large,1,64,1,800.4,0.10,0.33
16,BERT-Large,1,64,1,800.1,0.10,0.33
18,BERT-Large,1,64,1,800.7,0.10,0.33
21,BERT-Large,1,64,1,800.5,0.10,0.33
29,BERT-Large,1,64,1,800.4,0.10,0.33
31,BERT-Large,1,64,1,800.3,0.10,0.33
34,BERT-Large,1,64,1,800.6,0.10,0.33
35,BERT-Large,1,64,1,800.7,0.10,0.33
36,BERT-Large,1,64,1,800.6,0.10,0.33
39,BERT-Large,1,64,1,800.5,0.10,0.33
41,BERT-Large,1,64,1,800.7,0.10,0.33
180,DenseNet121,4,64,1,668.9,0.16,0.80
40,DenseNet121,4,64,1,892.3,0.35,0.79
156,DenseNet121,4,64,1,713.7,0.22,0.72
43,DenseNet121,4,64,1,893.4,0.35,0.79
46,DenseNet121,4,64,1,892.2,0.35,0.79
49,DenseNet121,4,64,1,893.4,0.35,0.79
58,DenseNet121,4,64,1,893.1,0.35,0.79
60,DenseNet121,4,64,1,892.9,0.35,0.79
157,BERT-Large,1,64,1,753.3,0.08,0.42
1,ResNet50,1,64,1,1000.8,0.17,0.83
3,ResNet50,1,64,1,1000.9,0.17,0.83
4,ResNet50,1,64,1,1000.4,0.17,0.83
158,BERT-Large,1,64,1,758.0,0.08,0.42
95,GPT-FineTune,4,32,4,851.4,0.22,0.47
159,BERT-Large,1,64,1,758.8,0.08,0.42
9,ResNet50,1,64,1,1000.8,0.17,0.83
100,GPT-FineTune,4,32,4,850.1,0.22,0.47
103,GPT-FineTune,4,32,4,851.2,0.22,0.47
105,GPT-FineTune,4,32,4,850.5,0.22,0.47
107,GPT-FineTune,4,32,4,850.3,0.22,0.47
109,GPT-FineTune,4,32,4,850.7,0.22,0.47
115,GPT-FineTune,4,32,4,851.0,0.22,0.47
88,DenseNet121,4,64,1,893.2,0.35,0.79
90,DenseNet121,4,64,1,893.5,0.35,0.79
118,GPT-FineTune,4,32,4,851.0,0.22,0.47
123,GPT-FineTune,4,32,4,850.5,0.22,0.47
139,BERT-Large,1,64,1,841.7,0.10,0.33
140,BERT-Large,1,64,1,841.4,0.10,0.33
141,BERT-Large,1,64,1,840.9,0.10,0.33
142,BERT-Large,1,64,1,838.9,0.10,0.33
146,BERT-Large,1,64,1,857.4,0.10,0.33
149,BERT-Large,1,64,1,849.9,0.10,0.33
69,ResNet50,1,64,1,1000.9,0.17,0.83
70,ResNet50,1,64,1,1000.0,0.17,0.83
73,ResNet50,1,64,1,1000.4,0.17,0.83
162,BERT-Large,1,64,1,866.4,0.08,0.42
163,BERT-Large,1,64,1,867.0,0.08,0.42
76,ResNet50,1,64,1,1000.3,0.17,0.83
164,BERT-Large,1,64,1,869.4,0.08,0.42
77,ResNet50,1,64,1,1000.6,0.17,0.83
78,ResNet50,1,64,1,1000.3,0.17,0.83
79,ResNet50,1,64,1,1000.9,0.17,0.83
165,BERT-Large,1,64,1,877.1,0.08,0.42
186,DenseNet121,4,64,1,870.9,0.22,0.72
194,DenseNet121,4,64,1,879.1,0.16,0.80
45,BERT-Large,1,64,4,1111.2,0.07,0.15
97,DenseNet121,4,64,4,1025.9,0.26,0.57
47,BERT-Large,1,64,4,1111.1,0.07,0.15
98,DenseNet121,4,64,4,1026.1,0.26,0.57
48,BERT-Large,1,64,4,1111.9,0.07,0.15
51,BERT-Large,1,64,4,1111.1,0.07,0.15
57,BERT-Large,1,64,4,1111.2,0.07,0.15
59,BERT-Large,1,64,4,1111.1,0.07,0.15
110,DenseNet121,4,64,4,1024.4,0.26,0.57
63,BERT-Large,1,64,4,1111.5,0.07,0.15
68,BERT-Large,1,64,4,1111.3,0.07,0.15
120,DenseNet121,4,64,4,1024.7,0.26,0.57
124,DenseNet121,4,64,4,1024.8,0.26,0.57
135,ResNet50,1,64,1,1033.2,0.17,0.83
138,ResNet50,1,64,1,1029.8,0.17,0.83
93,BERT-Large,1,64,4,1111.5,0.07,0.15
94,BERT-Large,1,64,4,1111.5,0.07,0.15
96,BERT-Large,1,64,4,1111.4,0.07,0.15
101,BERT-Large,1,64,4,1111.9,0.07,0.15
255,GPT-FineTune,4,32,1,887.6,0.07,0.35
182,GPT-FineTune,4,32,1,1026.3,0.23,0.53
116,BERT-Large,1,64,4,1111.1,0.07,0.15
117,BERT-Large,1,64,4,1111.9,0.07,0.15
121,BERT-Large,1,64,4,1111.4,0.07,0.15
128,BERT-Large,1,64,4,1111.3,0.07,0.15
129,BERT-Large,1,64,4,1111.6,0.07,0.15
131,BERT-Large,1,64,4,1111.6,0.07,0.15
132,BERT-Large,1,64,4,1112.0,0.07,0.15
133,BERT-Large,1,64,4,1111.6,0.07,0.15
189,GPT-FineTune,4,32,1,1056.5,0.23,0.53
191,GPT-FineTune,4,32,1,1058.0,0.23,0.53
206,DenseNet121,4,64,1,1076.8,0.22,0.72
173,BERT-Large,1,64,1,1215.0,0.10,0.33
174,BERT-Large,1,64,1,1221.4,0.10,0.33
177,BERT-Large,1,64,1,1220.5,0.10,0.33
178,BERT-Large,1,64,1,1220.2,0.10,0.33
232,BERT-Large,1,64,1,1147.2,0.08,0.42
233,BERT-Large,1,64,1,1145.6,0.08,0.42
272,DenseNet121,4,64,1,1090.3,0.16,0.80
210,GPT-FineTune,4,32,1,1237.8,0.23,0.53
161,DenseNet121,4,64,1,1304.6,0.35,0.79
175,DenseNet121,4,64,1,1320.1,0.35,0.79
254,DenseNet121,4,64,1,1195.4,0.22,0.72
266,BERT-Large,1,64,1,1194.6,0.08,0.42
14,ResNet50,1,64,1,1600.3,0.20,0.67
15,ResNet50,1,64,1,1600.8,0.20,0.67
17,ResNet50,1,64,1,1600.9,0.20,0.67
160,ResNet50,1,64,1,1372.2,0.17,0.83
268,BERT-Large,1,64,1,1193.2,0.08,0.42
22,ResNet50,1,64,1,1600.9,0.20,0.67
188,DenseNet121,4,64,1,1340.1,0.35,0.79
202,BERT-Large,1,64,1,1310.5,0.10,0.33
270,BERT-Large,1,64,1,1194.7,0.08,0.42
271,BERT-Large,1,64,1,1195.3,0.08,0.42
274,BERT-Large,1,64,1,1187.6,0.08,0.42
23,ResNet50,1,64,1,1600.6,0.20,0.67
285,GPT-FineTune,4,32,1,1166.6,0.07,0.35
25,ResNet50,1,64,1,1600.1,0.20,0.67
275,BERT-Large,1,64,1,1189.6,0.08,0.42
26,ResNet50,1,64,1,1600.9,0.20,0.67
276,BERT-Large,1,64,1,1188.5,0.08,0.42
277,BERT-Large,1,64,1,1189.6,0.08,0.42
27,ResNet50,1,64,1,1600.4,0.20,0.67
190,DenseNet121,4,64,1,1353.5,0.35,0.79
28,ResNet50,1,64,1,1600.4,0.20,0.67
244,GPT-FineTune,4,32,1,1263.4,0.23,0.53
30,ResNet50,1,64,1,1600.0,0.20,0.67
193,DenseNet121,4,64,1,1351.3,0.35,0.79
204,BERT-Large,1,64,1,1332.8,0.10,0.33
205,BERT-Large,1,64,1,1340.2,0.10,0.33
37,ResNet50,1,64,1,1600.3,0.20,0.67
208,BERT-Large,1,64,1,1343.3,0.10,0.33
42,ResNet50,1,64,1,1600.5,0.20,0.67
317,GPT-FineTune,4,32,1,1216.9,0.07,0.35
196,ResNet50,1,64,1,1447.8,0.17,0.83
197,ResNet50,1,64,1,1445.4,0.17,0.83
290,BERT-Large,1,64,1,1279.1,0.08,0.42
283,DenseNet121,4,64,1,1370.3,0.22,0.72
327,GPT-FineTune,4,32,1,1310.9,0.07,0.35
201,DenseNet121,4,64,1,1533.6,0.35,0.79
252,BERT-Large,1,64,1,1471.1,0.10,0.33
224,GPT-FineTune,4,32,4,1521.6,0.22,0.47
231,GPT-FineTune,4,32,4,1516.0,0.22,0.47
218,DenseNet121,4,64,1,1546.4,0.35,0.79
144,ResNet50,1,64,1,1661.9,0.20,0.67
145,ResNet50,1,64,1,1659.1,0.20,0.67
258,BERT-Large,1,64,1,1481.7,0.10,0.33
261,BERT-Large,1,64,1,1476.9,0.10,0.33
247,GPT-FineTune,4,32,4,1514.9,0.22,0.47
243,DenseNet121,4,64,1,1557.8,0.35,0.79
281,GPT-FineTune,4,32,1,1491.2,0.23,0.53
227,ResNet50,1,64,1,1650.4,0.17,0.83
228,ResNet50,1,64,1,1650.1,0.17,0.83
229,ResNet50,1,64,1,1650.2,0.17,0.83
166,BERT-Large,1,64,1,1749.7,0.13,0.30
169,BERT-Large,1,64,1,1747.5,0.13,0.30
235,ResNet50,1,64,1,1647.0,0.17,0.83
236,ResNet50,1,64,1,1646.3,0.17,0.83
314,DenseNet121,4,64,1,1510.6,0.22,0.72
179,BERT-Large,1,64,1,1762.0,0.13,0.30
222,DenseNet121,4,64,4,1694.0,0.26,0.57
259,GPT-FineTune,4,32,4,1627.5,0.22,0.47
185,BERT-Large,1,64,1,1752.8,0.13,0.30
192,BERT-Large,1,64,1,1743.2,0.13,0.30
230,DenseNet121,4,64,4,1688.5,0.26,0.57
234,DenseNet121,4,64,4,1691.3,0.26,0.57
151,ResNet50,1,64,1,1816.4,0.20,0.67
153,ResNet50,1,64,1,1814.4,0.20,0.67
154,ResNet50,1,64,1,1813.2,0.20,0.67
155,ResNet50,1,64,1,1811.4,0.20,0.67
262,GPT-FineTune,4,32,4,1645.7,0.22,0.47
333,GPT-FineTune,4,32,1,1518.0,0.12,0.39
264,GPT-FineTune,4,32,4,1663.2,0.22,0.47
336,DenseNet121,4,64,1,1536.5,0.16,0.80
263,ResNet50,1,64,1,1699.7,0.17,0.83
319,BERT-Large,1,64,1,1593.2,0.08,0.42
267,ResNet50,1,64,1,1694.4,0.17,0.83
269,ResNet50,1,64,1,1693.0,0.17,0.83
328,BERT-Large,1,64,1,1588.6,0.08,0.42
331,BERT-Large,1,64,1,1590.2,0.08,0.42
334,BERT-Large,1,64,1,1585.3,0.08,0.42
337,BERT-Large,1,64,1,1586.5,0.08,0.42
237,BERT-Large,1,64,4,1778.3,0.07,0.15
238,BERT-Large,1,64,4,1778.2,0.07,0.15
239,BERT-Large,1,64,4,1777.8,0.07,0.15
241,BERT-Large,1,64,4,1771.4,0.07,0.15
242,BERT-Large,1,64,4,1771.4,0.07,0.15
245,BERT-Large,1,64,4,1768.3,0.07,0.15
300,GPT-FineTune,4,32,1,1665.3,0.23,0.53
249,BERT-Large,1,64,4,1777.8,0.07,0.15
251,BERT-Large,1,64,4,1775.4,0.07,0.15
273,DenseNet121,4,64,1,1757.6,0.35,0.79
260,DenseNet121,4,64,4,1800.6,0.26,0.57
316,GPT-FineTune,4,32,1,1706.4,0.23,0.53
278,DenseNet121,4,64,1,1790.0,0.35,0.79
321,GPT-FineTune,4,32,1,1717.3,0.23,0.53
323,GPT-FineTune,4,32,1,1718.9,0.23,0.53
291,ResNet50,1,64,1,1777.6,0.17,0.83
