Job_ID,Type,Alloc,Batch,GAS,JCT,Energy,Cost
11,GPT-FineTune,4,32,1,105.4,0.07,0.35
24,GPT-FineTune,4,32,1,105.0,0.07,0.35
38,GPT-FineTune,4,32,1,105.8,0.07,0.35
2,GPT-FineTune,4,32,1,231.0,0.12,0.39
87,GPT-FineTune,4,32,1,105.6,0.07,0.35
32,GPT-FineTune,4,32,1,232.0,0.12,0.39
50,GPT-FineTune,4,32,1,231.5,0.12,0.39
62,GPT-FineTune,4,32,1,232.0,0.12,0.39
65,GPT-FineTune,4,32,1,231.5,0.12,0.39
66,GPT-FineTune,4,32,1,231.3,0.12,0.39
147,GPT-FineTune,4,32,1,129.0,0.07,0.35
210,GPT-FineTune,4,32,1,148.8,0.07,0.35
40,DenseNet121,4,128,1,434.3,0.22,0.72
43,DenseNet121,4,128,1,434.4,0.22,0.72
49,DenseNet121,4,128,1,434.4,0.22,0.72
16,BERT-Large,1,64,1,500.1,0.08,0.42
148,GPT-FineTune,4,32,1,281.0,0.12,0.39
21,BERT-Large,1,64,1,500.5,0.08,0.42
150,GPT-FineTune,4,32,1,300.9,0.12,0.39
29,BERT-Large,1,64,1,500.4,0.08,0.42
35,BERT-Large,1,64,1,500.7,0.08,0.42
36,BERT-Large,1,64,1,500.6,0.08,0.42
39,BERT-Large,1,64,1,500.5,0.08,0.42
182,GPT-FineTune,4,32,1,288.3,0.12,0.39
189,GPT-FineTune,4,32,1,274.5,0.12,0.39
191,GPT-FineTune,4,32,1,275.0,0.12,0.39
224,GPT-FineTune,4,32,1,231.6,0.07,0.35
51,BERT-Large,1,64,1,500.1,0.08,0.42
72,BERT-Large,1,64,1,500.7,0.08,0.42
33,GPT-FineTune,4,32,1,597.1,0.23,0.53
44,GPT-FineTune,4,32,1,597.3,0.23,0.53
285,GPT-FineTune,4,32,1,217.6,0.07,0.35
116,BERT-Large,1,64,1,500.1,0.08,0.42
117,BERT-Large,1,64,1,500.9,0.08,0.42
231,GPT-FineTune,4,32,1,373.0,0.12,0.39
244,GPT-FineTune,4,32,1,350.4,0.12,0.39
247,GPT-FineTune,4,32,1,354.9,0.12,0.39
255,GPT-FineTune,4,32,1,352.6,0.12,0.39
103,GPT-FineTune,4,32,1,597.2,0.23,0.53
259,GPT-FineTune,4,32,1,364.5,0.12,0.39
107,GPT-FineTune,4,32,1,597.3,0.23,0.53
115,GPT-FineTune,4,32,1,597.0,0.23,0.53
317,GPT-FineTune,4,32,1,267.9,0.07,0.35
262,GPT-FineTune,4,32,1,380.7,0.12,0.39
264,GPT-FineTune,4,32,1,380.2,0.12,0.39
118,GPT-FineTune,4,32,1,598.0,0.23,0.53
0,BERT-Large,1,64,1,800.5,0.10,0.33
281,GPT-FineTune,4,32,1,342.2,0.12,0.39
123,GPT-FineTune,4,32,1,597.5,0.23,0.53
7,BERT-Large,1,64,1,800.3,0.10,0.33
13,BERT-Large,1,64,1,800.4,0.10,0.33
18,BERT-Large,1,64,1,800.7,0.10,0.33
34,BERT-Large,1,64,1,800.6,0.10,0.33
59,BERT-Large,1,64,1,800.1,0.10,0.33
416,GPT-FineTune,4,32,1,257.3,0.07,0.35
6,DenseNet121,4,128,1,892.6,0.35,0.79
12,DenseNet121,4,128,1,892.5,0.35,0.79
71,BERT-Large,1,64,1,800.9,0.10,0.33
