Job_ID,Type,Alloc,Batch,GAS,JCT,Energy,Cost
11,GPT-FineTune,16,32,1,76.4,0.21,1.03
15,ResNet50,11,128,1,116.8,0.21,1.07
18,BERT-Large,16,64,1,171.7,0.28,1.39
9,ResNet50,16,128,1,191.8,0.38,1.28
6,DenseNet121,16,128,1,236.6,0.47,1.58
19,DenseNet121,11,128,1,230.0,0.22,1.09
20,GPT-FineTune,16,32,1,246.7,0.21,1.03
13,BERT-Large,16,64,1,279.4,0.56,1.87
24,GPT-FineTune,16,32,1,315.0,0.21,1.03
23,ResNet50,11,128,1,338.6,0.21,1.07
22,ResNet50,16,128,1,410.9,0.38,1.28
26,ResNet50,16,128,1,404.9,0.25,1.23
4,ResNet50,16,128,1,473.4,0.74,1.69
21,BERT-Large,16,64,1,456.5,0.56,1.87
27,ResNet50,11,128,1,448.4,0.21,1.07
25,ResNet50,16,128,1,454.1,0.38,1.28
14,ResNet50,12,128,1,503.3,0.59,1.34
29,BERT-Large,16,64,1,496.4,0.28,1.39
32,GPT-FineTune,11,32,1,509.0,0.14,0.71
17,ResNet50,3,128,1,588.9,0.22,0.74
28,ResNet50,16,128,1,582.4,0.38,1.28
35,BERT-Large,16,64,1,588.7,0.28,1.39
1,ResNet50,16,128,4,649.8,0.66,1.44
3,ResNet50,16,128,4,649.9,0.66,1.44
10,DenseNet121,16,128,1,649.6,1.01,2.31
36,BERT-Large,11,64,1,612.6,0.20,1.01
2,GPT-FineTune,16,32,1,684.0,1.07,2.44
33,GPT-FineTune,16,32,1,649.1,0.44,1.46
39,BERT-Large,16,64,1,688.5,0.28,1.39
31,BERT-Large,16,64,1,712.3,0.56,1.87
43,DenseNet121,11,128,1,724.4,0.22,1.09
38,GPT-FineTune,16,32,1,785.8,0.44,1.46
46,DenseNet121,16,128,1,779.2,0.27,1.33
7,BERT-Large,16,64,1,849.3,1.32,3.02
48,BERT-Large,11,64,1,826.9,0.20,1.01
50,GPT-FineTune,16,32,1,850.5,0.21,1.03
30,ResNet50,16,128,1,903.0,0.74,1.69
12,DenseNet121,16,128,4,966.5,0.99,2.15
45,BERT-Large,16,64,1,915.2,0.56,1.87
52,ResNet50,11,128,1,941.7,0.21,1.07
53,ResNet50,16,128,1,940.2,0.25,1.23
47,BERT-Large,16,64,1,967.1,0.56,1.87
49,DenseNet121,16,128,1,1008.4,0.47,1.58
8,GPT-FineTune,16,32,4,1105.2,1.13,2.46
57,BERT-Large,16,64,1,1033.2,0.28,1.39
42,ResNet50,16,128,1,1066.5,0.74,1.68
58,DenseNet121,11,128,1,1048.1,0.22,1.09
16,BERT-Large,6,64,4,1136.1,0.44,0.95
56,ResNet50,16,128,1,1089.5,0.38,1.28
37,ResNet50,3,128,1,1138.3,0.22,0.74
62,GPT-FineTune,16,32,1,1102.0,0.21,1.03
64,ResNet50,11,128,1,1155.6,0.21,1.07
67,GPT-FineTune,16,32,1,1172.0,0.21,1.03
59,BERT-Large,16,64,1,1230.1,0.56,1.87
60,DenseNet121,16,128,1,1223.9,0.47,1.58
34,BERT-Large,12,64,1,1275.6,0.95,2.17
0,BERT-Large,16,64,4,1346.5,1.38,2.99
5,BERT-Large,16,64,4,1346.0,1.38,2.99
70,ResNet50,16,128,1,1256.0,0.25,1.23
44,GPT-FineTune,16,32,1,1302.3,1.07,2.43
69,ResNet50,11,128,1,1259.9,0.21,1.07
66,GPT-FineTune,16,32,1,1291.3,0.44,1.46
54,ResNet50,16,128,1,1343.3,0.74,1.68
76,ResNet50,16,128,1,1335.3,0.25,1.23
78,ResNet50,11,128,1,1358.3,0.21,1.07
81,GPT-FineTune,16,32,1,1402.9,0.21,1.03
79,ResNet50,16,128,1,1455.9,0.38,1.28
71,BERT-Large,16,64,1,1479.9,0.56,1.87
72,BERT-Large,16,64,1,1479.7,0.56,1.87
68,BERT-Large,3,64,1,1499.3,0.15,0.51
82,ResNet50,11,128,1,1469.2,0.21,1.07
40,DenseNet121,16,128,4,1553.3,0.99,2.15
83,ResNet50,16,128,1,1491.1,0.25,1.23
55,ResNet50,16,128,4,1547.6,0.66,1.44
87,GPT-FineTune,11,32,1,1531.6,0.14,0.71
51,BERT-Large,16,64,1,1630.1,1.32,3.02
89,GPT-FineTune,16,32,1,1553.2,0.21,1.03
91,GPT-FineTune,11,32,1,1606.3,0.14,0.71
61,ResNet50,16,128,4,1665.3,0.66,1.44
84,ResNet50,16,128,1,1631.4,0.38,1.28
86,ResNet50,16,128,1,1640.8,0.38,1.28
94,BERT-Large,16,64,1,1653.5,0.28,1.39
85,GPT-FineTune,16,32,1,1671.0,0.44,1.46
73,ResNet50,12,128,1,1713.4,0.59,1.34
95,GPT-FineTune,11,32,1,1682.4,0.14,0.71
77,ResNet50,16,128,1,1716.6,0.74,1.68
99,ResNet50,16,128,1,1740.8,0.25,1.23
102,ResNet50,11,128,1,1789.6,0.21,1.07
63,BERT-Large,16,64,1,1885.5,1.32,3.02
104,ResNet50,16,128,1,1824.9,0.25,1.23
41,BERT-Large,16,64,4,1934.7,1.38,2.99
97,DenseNet121,16,128,1,1858.9,0.47,1.58
98,DenseNet121,16,128,1,1871.1,0.47,1.58
105,GPT-FineTune,11,32,1,1863.5,0.14,0.71
100,GPT-FineTune,16,32,1,1874.1,0.44,1.46
65,GPT-FineTune,6,32,4,1946.5,0.34,0.74
107,GPT-FineTune,16,32,1,1894.3,0.21,1.03
111,ResNet50,11,128,1,1965.4,0.21,1.07
114,ResNet50,16,128,1,1975.5,0.25,1.23
92,ResNet50,3,128,1,2038.9,0.22,0.74
115,GPT-FineTune,11,32,1,2041.0,0.14,0.71
112,ResNet50,16,128,1,2043.5,0.38,1.28
109,GPT-FineTune,16,32,1,2054.7,0.44,1.46
110,DenseNet121,16,128,1,2083.4,0.47,1.58
116,BERT-Large,16,64,1,2073.1,0.28,1.39
80,BERT-Large,16,64,1,2141.7,1.32,3.02
118,GPT-FineTune,11,32,1,2108.0,0.14,0.71
122,ResNet50,16,128,1,2156.4,0.25,1.23
119,ResNet50,16,128,1,2222.1,0.38,1.28
124,DenseNet121,11,128,1,2220.8,0.22,1.09
125,ResNet50,16,128,1,2245.2,0.25,1.23
106,ResNet50,16,128,1,2283.5,0.74,1.68
120,DenseNet121,16,128,1,2270.7,0.47,1.58
103,GPT-FineTune,16,32,1,2362.2,1.07,2.44
127,ResNet50,11,128,1,2334.5,0.21,1.07
121,BERT-Large,16,64,1,2343.4,0.56,1.87
128,BERT-Large,16,64,1,2346.3,0.28,1.39
93,BERT-Large,16,64,1,2400.5,1.32,3.02
88,DenseNet121,16,128,4,2431.2,0.99,2.15
90,DenseNet121,16,128,4,2443.5,0.99,2.15
117,BERT-Large,3,64,1,2405.9,0.15,0.51
126,ResNet50,16,128,1,2406.3,0.38,1.28
108,ResNet50,16,128,4,2470.7,0.66,1.44
101,BERT-Large,12,64,1,2484.9,0.95,2.17
132,BERT-Large,11,64,1,2440.0,0.20,1.01
134,BERT-Large,16,64,1,2443.2,0.28,1.39
74,BERT-Large,16,64,4,2569.3,1.38,2.99
130,GPT-FineTune,16,32,1,2480.1,0.44,1.46
75,BERT-Large,16,64,4,2572.4,1.38,2.99
143,DenseNet121,16,128,1,2535.0,0.27,1.33
142,BERT-Large,11,64,1,2539.9,0.20,1.01
113,ResNet50,6,128,4,2610.1,0.29,0.63
133,BERT-Large,16,64,1,2612.6,0.56,1.87
147,GPT-FineTune,16,32,1,2602.0,0.21,1.03
148,GPT-FineTune,11,32,1,2605.0,0.14,0.71
145,ResNet50,16,128,1,2655.1,0.38,1.28
139,BERT-Large,16,64,1,2673.7,0.56,1.87
151,ResNet50,16,128,1,2688.4,0.25,1.23
123,GPT-FineTune,16,32,1,2755.5,1.07,2.44
152,DenseNet121,11,128,1,2718.9,0.22,1.09
155,ResNet50,16,128,1,2775.4,0.25,1.23
135,ResNet50,16,128,1,2813.2,0.74,1.68
150,GPT-FineTune,16,32,1,2806.9,0.44,1.46
157,BERT-Large,11,64,1,2824.3,0.20,1.01
153,ResNet50,16,128,1,2833.4,0.38,1.28
154,ResNet50,16,128,1,2843.2,0.38,1.28
96,BERT-Large,16,64,4,2952.4,1.38,2.99
158,BERT-Large,16,64,1,2877.0,0.28,1.39
161,DenseNet121,11,128,1,2934.6,0.22,1.09
138,ResNet50,3,128,1,2969.8,0.22,0.74
165,BERT-Large,16,64,1,2971.1,0.28,1.39
160,ResNet50,16,128,1,2987.2,0.38,1.28
