Nodes,Scheduler,Makespan(s),Cost($),Energy(kWh),AvgJCT(s),Overhead(ms)
64,FIFO,34462.0,569.03,187.24,15467.3,0.0032
64,SFJ,32456.0,585.68,191.06,12936.7,0.5930
64,Pollux,41892.0,742.82,241.78,19828.8,0.1952
64,Sia,60993.0,1160.61,376.82,29365.8,0.2198
64,Lucid,32142.0,567.59,185.24,12748.3,0.2163
64,Ours (mixed),26077.0,491.82,159.64,12390.2,0.1561
64,Ours_Cost,26780.0,505.22,164.01,12569.4,0.1561
64,Ours_Time,26151.0,492.90,160.05,12394.1,0.1585
128,FIFO,18952.0,570.46,190.29,7695.4,0.0029
128,SFJ,16942.0,563.16,187.59,6644.0,0.5175
128,Pollux,26267.0,856.15,284.13,11627.7,0.1793
128,Sia,38133.0,1400.31,462.75,18108.5,0.2102
128,Lucid,16850.0,558.02,186.57,6566.9,0.1934
128,Ours (mixed),13753.0,487.05,161.50,6229.2,0.1382
128,Ours_Cost,13567.0,470.84,156.48,6063.3,0.1383
128,Ours_Time,14166.0,500.67,166.03,6375.7,0.1334
256,FIFO,10340.0,572.50,191.94,3836.4,0.0025
256,SFJ,10781.0,576.20,193.62,3505.2,0.3412
256,Pollux,15564.0,914.32,305.21,6285.7,0.1939
256,Sia,21256.0,1510.14,501.61,9566.8,0.1913
256,Lucid,9897.0,567.42,191.03,3477.5,0.1455
256,Ours (mixed),8218.0,490.49,163.55,3133.8,0.0936
256,Ours_Cost,8184.0,481.63,160.83,3065.4,0.0925
256,Ours_Time,7882.0,499.04,166.14,3178.6,0.1018
512,FIFO,6594.0,575.96,194.09,2060.1,0.0021
512,SFJ,7090.0,566.43,193.31,1982.4,0.1521
512,Pollux,10378.0,1026.84,345.35,3365.3,0.1169
512,Sia,11383.0,1563.87,522.57,4679.1,0.1680
512,Lucid,7073.0,569.06,194.63,2012.1,0.0677
512,Ours (mixed),5103.0,478.06,159.92,1639.2,0.0455
512,Ours_Cost,4666.0,450.25,151.93,1633.5,0.0405
512,Ours_Time,5196.0,489.18,163.76,1640.5,0.0445
1024,FIFO,5688.0,566.86,195.06,1432.1,0.0010
1024,SFJ,5688.0,570.29,195.49,1436.0,0.0099
1024,Pollux,7591.0,1158.81,393.05,1793.1,0.0672
1024,Sia,6514.0,1627.76,547.99,2214.8,0.1267
1024,Lucid,5723.0,574.08,198.71,1453.6,0.0076
1024,Ours (mixed),4087.0,471.91,151.85,1123.7,0.0139
1024,Ours_Cost,3837.0,382.37,140.30,1351.6,0.0186
1024,Ours_Time,4137.0,515.40,164.28,1057.8,0.0123
2048,FIFO,5483.0,567.98,197.13,1478.1,0.0009
2048,SFJ,5483.0,566.45,196.44,1481.2,0.0011
2048,Pollux,5445.0,1337.40,457.61,909.5,0.0282
2048,Sia,4056.0,1667.06,569.00,950.7,0.0632
2048,Lucid,5405.0,585.03,204.28,1406.3,0.0012
2048,Ours (mixed),3725.0,479.34,127.78,953.1,0.0197
2048,Ours_Cost,3730.0,329.54,120.74,1296.3,0.0207
2048,Ours_Time,3643.0,583.72,148.94,785.0,0.0183
4096,FIFO,5483.0,567.98,197.13,1478.1,0.0008
4096,SFJ,5483.0,566.45,196.44,1481.2,0.0011
4096,Pollux,3502.0,1716.94,562.04,502.9,0.0258
4096,Sia,2827.0,1714.44,603.12,423.1,0.0024
4096,Lucid,5117.0,598.79,204.67,1341.8,0.0012
4096,Ours (mixed),3725.0,489.26,118.85,904.4,0.0208
4096,Ours_Cost,3730.0,311.55,128.62,1357.7,0.0212
4096,Ours_Time,3070.0,617.56,130.85,624.4,0.0239
