ts,cluster,queue_len,slots_total,slots_used,free,U_t,E_t,p_fair,lam_time,lam_cost,lam_fair
2025-12-06 22:23:05,clusterA,0,4,0,4,0.0,0.0,1.0,0.0,0.0,1.0
2025-12-06 22:23:05,clusterB,0,4,0,4,0.0,0.0,1.0,0.0,0.0,1.0
2025-12-06 22:23:10,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-06 22:23:10,clusterB,0,4,0,4,0.0,0.04,1.0,0.0,0.04,1.0
2025-12-06 22:23:15,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-06 22:23:15,clusterB,0,4,0,4,0.0,0.07,1.0,0.0,0.07,1.0
2025-12-06 22:23:20,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-06 22:23:20,clusterB,0,4,0,4,0.0,0.11,1.0,0.0,0.11,1.0
2025-12-06 22:23:25,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-06 22:23:25,clusterB,0,4,0,4,0.0,0.15,1.0,0.0,0.15,1.0
2025-12-06 22:23:30,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-06 22:23:30,clusterB,0,4,0,4,0.0,0.19,1.0,0.0,0.19,1.0
2025-12-06 22:23:35,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-06 22:23:35,clusterB,0,4,0,4,0.0,0.22,1.0,0.0,0.22,1.0
2025-12-06 22:23:40,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-06 22:23:40,clusterB,0,4,0,4,0.0,0.26,1.0,0.0,0.26,1.0
2025-12-06 22:23:45,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-06 22:23:45,clusterB,0,4,0,4,0.0,0.3,1.0,0.0,0.3,1.0
2025-12-06 22:23:50,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-06 22:23:50,clusterB,0,4,0,4,0.0,0.34,1.0,0.0,0.34,1.0
2025-12-06 22:23:55,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-06 22:23:55,clusterB,0,4,0,4,0.0,0.37,1.0,0.0,0.37,1.0
2025-12-06 22:24:00,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-06 22:24:00,clusterB,0,4,0,4,0.0,0.41,1.0,0.0,0.41,1.0
2025-12-06 22:24:05,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-06 22:24:05,clusterB,0,4,0,4,0.0,0.45,1.0,0.0,0.45,1.0
2025-12-06 22:24:10,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-06 22:24:10,clusterB,0,4,0,4,0.0,0.48,1.0,0.0,0.48,1.0
2025-12-06 22:24:15,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-06 22:24:15,clusterB,0,4,0,4,0.0,0.52,1.0,0.0,0.52,1.0
2025-12-06 22:24:20,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-06 22:24:20,clusterB,0,4,0,4,0.0,0.56,1.0,0.0,0.56,1.0
2025-12-06 22:24:25,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-06 22:24:25,clusterB,0,4,0,4,0.0,0.59,1.0,0.0,0.59,1.0
2025-12-06 22:24:30,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-06 22:24:30,clusterB,0,4,0,4,0.0,0.63,1.0,0.0,0.63,1.0
2025-12-06 22:24:35,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-06 22:24:35,clusterB,0,4,0,4,0.0,0.67,1.0,0.0,0.67,1.0
2025-12-06 22:24:40,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-06 22:24:40,clusterB,0,4,0,4,0.0,0.71,1.0,0.0,0.71,1.0
2025-12-06 22:24:45,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-06 22:24:45,clusterB,0,4,0,4,0.0,0.74,1.0,0.0,0.74,1.0
2025-12-06 22:24:50,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-06 22:24:50,clusterB,0,4,0,4,0.0,0.78,1.0,0.0,0.78,1.0
2025-12-06 22:24:55,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-06 22:24:55,clusterB,0,4,0,4,0.0,0.82,1.0,0.0,0.82,1.0
2025-12-06 22:25:00,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-06 22:25:00,clusterB,0,4,0,4,0.0,0.85,1.0,0.0,0.85,1.0
2025-12-06 22:25:05,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-06 22:25:05,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-06 22:25:10,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-06 22:25:10,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-06 22:25:15,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-06 22:25:15,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-06 22:25:20,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-06 22:25:20,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-06 22:25:25,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-06 22:25:25,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-06 22:25:30,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-06 22:25:30,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-06 22:25:35,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-06 22:25:35,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-06 22:25:40,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-06 22:25:40,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-06 22:25:45,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-06 22:25:45,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-06 22:25:50,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-06 22:25:50,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-06 22:25:55,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-06 22:25:55,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-06 22:26:00,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-06 22:26:00,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-06 22:26:05,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-06 22:26:05,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-06 22:26:10,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-06 22:26:10,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-06 22:26:15,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-06 22:26:15,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-06 22:26:20,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-06 22:26:20,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-06 22:26:25,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-06 22:26:25,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-06 22:26:30,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-06 22:26:30,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-06 22:26:35,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-06 22:26:35,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-06 22:26:40,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-06 22:26:40,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-06 22:26:45,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-06 22:26:45,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-06 22:26:50,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-06 22:26:50,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-06 22:26:55,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-06 22:26:55,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-06 22:27:00,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-06 22:27:00,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-06 22:27:05,clusterA,0,4,2,2,0.0,0.02,1.0,0.0,0.02,1.0
