ts,event,job_id,cluster,world_size,note,metadata_json
2025-12-06 22:27:02,submitted,job-09ec277e4573,-,2,,"{""model"": ""EfficientNetV2-S"", ""dataset"": ""MNIST"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""user_request"": ""I need this training to finish as fast as possible. Prioritize performance and speed over everything else.""}"
2025-12-06 22:27:03,submitted,job-ebb960026aea,-,2,,"{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""user_request"": ""Maximize GPU utilization for this run — I’m fine if it uses more energy temporarily.""}"
2025-12-06 22:27:03,started,job-09ec277e4573,clusterA,2,"started_on=clusterA, g=2, nodes=['node_a', 'node_b'], queued_sec=0.9417068958282471","{""model"": ""EfficientNetV2-S"", ""dataset"": ""MNIST"", ""nodes"": [""node_a"", ""node_b""], ""queued_sec"": 0.9417068958282471, ""started_ts"": 1765027623.4664001}"
2025-12-06 22:27:03,started,job-ebb960026aea,clusterB,2,"started_on=clusterB, g=2, nodes=['node_e', 'node_f'], queued_sec=0.4790189266204834","{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""nodes"": [""node_e"", ""node_f""], ""queued_sec"": 0.4790189266204834, ""started_ts"": 1765027623.5127828}"
2025-12-06 22:32:46,submitted,job-fcf4203ac8cd,-,4,,"{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""epochs"": 20, ""batch_size_per_gpu"": 128, ""user_request"": ""Maximize GPU utilization for this run — I’m fine if it uses more energy temporarily.""}"
2025-12-06 22:36:23,submitted,job-9928fbb1c30e,-,1,,"{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""user_request"": ""Focus on efficiency. Use GPUs effectively but avoid unnecessary power consumption.""}"
2025-12-06 22:37:49,submitted,job-b00588987229,-,1,,"{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""user_request"": ""Maximize GPU utilization for this run — I’m fine if it uses more energy temporarily.""}"
2025-12-06 22:39:22,submitted,job-7bb461bd27f8,-,4,,"{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""user_request"": ""Please minimize queue waiting time. Start as soon as a slot is available.""}"
2025-12-06 22:48:51,submitted,job-20cb5be1051a,-,1,,"{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""user_request"": ""Please keep the cost reasonable while still maintaining decent speed.""}"
2025-12-06 22:50:24,submitted,job-d77945481dbe,-,4,,"{""model"": ""DenseNet-121"", ""dataset"": ""TinyImageNet"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""user_request"": ""Prefer reliability and consistency. I’d rather not have the job preempted or rescheduled.""}"
2025-12-06 22:51:19,submitted,job-0388d1f3e82a,-,2,,"{""model"": ""ResNet-50"", ""dataset"": ""CIFAR-10"", ""epochs"": 20, ""batch_size_per_gpu"": 128, ""user_request"": ""Please minimize queue waiting time. Start as soon as a slot is available.""}"
2025-12-06 23:02:04,submitted,job-c2ebe57193cb,-,1,,"{""model"": ""DeepSpeech2"", ""dataset"": ""ARCTIC"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""user_request"": ""Please keep the cost reasonable while still maintaining decent speed.""}"
2025-12-06 23:08:39,submitted,job-6b9986ff4e84,-,1,,"{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""user_request"": ""Focus on efficiency. Use GPUs effectively but avoid unnecessary power consumption.""}"
2025-12-06 23:11:36,submitted,job-fe9f5fa3c45c,-,2,,"{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""user_request"": ""Please minimize queue waiting time. Start as soon as a slot is available.""}"
2025-12-06 23:12:18,submitted,job-76f9c184b775,-,2,,"{""model"": ""EfficientNetV2-S"", ""dataset"": ""MNIST"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""user_request"": ""Please keep the cost reasonable while still maintaining decent speed.""}"
2025-12-06 23:24:35,submitted,job-87555fe0ef59,-,4,,"{""model"": ""DeepSpeech2"", ""dataset"": ""ARCTIC"", ""epochs"": 20, ""batch_size_per_gpu"": 16, ""user_request"": ""Try to share resources fairly with other users, but don’t delay my job too much.""}"
2025-12-06 23:26:14,submitted,job-2a9fdfdf0caf,-,4,,"{""model"": ""DenseNet-121"", ""dataset"": ""TinyImageNet"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""user_request"": ""Maximize GPU utilization for this run — I’m fine if it uses more energy temporarily.""}"
2025-12-06 23:34:26,submitted,job-97b691b05ef0,-,1,,"{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""user_request"": ""Try to share resources fairly with other users, but don’t delay my job too much.""}"
2025-12-06 23:40:39,submitted,job-76f8c584fbde,-,1,,"{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""user_request"": ""Please keep the cost reasonable while still maintaining decent speed.""}"
2025-12-06 23:50:36,finished,job-ebb960026aea,clusterB,2,exit=0,"{""end_ts"": 1765032636.2463677, ""jct_sec"": 5012.733584880829, ""queued_sec"": 0.4790189266204834}"
2025-12-06 23:50:36,started,job-fcf4203ac8cd,clusterB,4,"started_on=clusterB, g=4, nodes=['node_e', 'node_f', 'node_g', 'node_h'], queued_sec=4670.54964017868","{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""nodes"": [""node_e"", ""node_f"", ""node_g"", ""node_h""], ""queued_sec"": 4670.54964017868, ""started_ts"": 1765032636.836807}"
2025-12-06 23:50:36,started,job-9928fbb1c30e,clusterA,1,"started_on=clusterA, g=1, nodes=['node_c'], queued_sec=4453.635426282883","{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""nodes"": [""node_c""], ""queued_sec"": 4453.635426282883, ""started_ts"": 1765032636.920647}"
2025-12-06 23:50:37,started,job-b00588987229,clusterA,1,"started_on=clusterA, g=1, nodes=['node_d'], queued_sec=4367.8072192668915","{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""nodes"": [""node_d""], ""queued_sec"": 4367.8072192668915, ""started_ts"": 1765032637.0377848}"
2025-12-07 00:02:17,submitted,job-db8d2146c24f,-,2,,"{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""user_request"": ""Please minimize queue waiting time. Start as soon as a slot is available.""}"
2025-12-07 00:03:06,submitted,job-ad05f06fba47,-,1,,"{""model"": ""EfficientNetV2-S"", ""dataset"": ""MNIST"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""user_request"": ""Maximize GPU utilization for this run — I’m fine if it uses more energy temporarily.""}"
2025-12-07 00:03:42,finished,job-fcf4203ac8cd,clusterB,4,exit=0,"{""end_ts"": 1765033422.290637, ""jct_sec"": 785.4538300037384, ""queued_sec"": 4670.54964017868}"
2025-12-07 00:03:42,started,job-7bb461bd27f8,clusterB,4,"started_on=clusterB, g=4, nodes=['node_e', 'node_f', 'node_g', 'node_h'], queued_sec=5060.417506933212","{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""nodes"": [""node_e"", ""node_f"", ""node_g"", ""node_h""], ""queued_sec"": 5060.417506933212, ""started_ts"": 1765033422.5841868}"
2025-12-07 00:15:43,submitted,job-84ec0b87abab,-,4,,"{""model"": ""DeepSpeech2"", ""dataset"": ""ARCTIC"", ""epochs"": 20, ""batch_size_per_gpu"": 8, ""user_request"": ""Prefer reliability and consistency. I’d rather not have the job preempted or rescheduled.""}"
2025-12-07 00:16:43,finished,job-7bb461bd27f8,clusterB,4,exit=0,"{""end_ts"": 1765034203.1956928, ""jct_sec"": 780.61150598526, ""queued_sec"": 5060.417506933212}"
