job_id,cluster,model,dataset,world_size,submitted_ts,started_ts,end_ts,queued_sec,jct_sec,status
job-09ec277e4573,clusterA,EfficientNetV2-S,MNIST,2,1765027622.5246933,1765027623.4664001,,0.9417068958282471,,running
job-ebb960026aea,clusterB,DistilBERT,SST-2,2,1765027623.033764,1765027623.5127828,,0.4790189266204834,,running
job-ebb960026aea,clusterB,DistilBERT,SST-2,2,1765027623.033764,1765027623.5127828,1765032636.2463677,0.4790189266204834,5012.733584880829,completed
job-fcf4203ac8cd,clusterB,ResNet-18,CIFAR-100,4,1765027966.2871668,1765032636.836807,,4670.54964017868,,running
job-9928fbb1c30e,clusterA,DistilBERT,SST-2,1,1765028183.2852206,1765032636.920647,,4453.635426282883,,running
job-b00588987229,clusterA,DistilBERT,SST-2,1,1765028269.2305655,1765032637.0377848,,4367.8072192668915,,running
job-fcf4203ac8cd,clusterB,ResNet-18,CIFAR-100,4,1765027966.2871668,1765032636.836807,1765033422.290637,4670.54964017868,785.4538300037384,completed
job-7bb461bd27f8,clusterB,ResNet-18,CIFAR-100,4,1765028362.1666799,1765033422.5841868,,5060.417506933212,,running
job-7bb461bd27f8,clusterB,ResNet-18,CIFAR-100,4,1765028362.1666799,1765033422.5841868,1765034203.1956928,5060.417506933212,780.61150598526,completed
job-20cb5be1051a,clusterB,ResNet-18,CIFAR-100,1,1765028931.9630058,1765034204.0847437,,5272.121737957001,,running
job-20cb5be1051a,clusterB,ResNet-18,CIFAR-100,1,1765028931.9630058,1765034204.0847437,1765035449.4138768,5272.121737957001,1245.3291330337524,completed
job-d77945481dbe,clusterB,DenseNet-121,TinyImageNet,4,1765029024.9193337,1765035450.385582,,6425.4662482738495,,running
job-d77945481dbe,clusterB,DenseNet-121,TinyImageNet,4,1765029024.9193337,1765035450.385582,1765037936.7434444,6425.4662482738495,2486.357862472534,completed
job-0388d1f3e82a,clusterB,ResNet-50,CIFAR-10,2,1765029079.7304122,1765037937.1185787,,8857.388166427612,,running
job-c2ebe57193cb,clusterB,DeepSpeech2,ARCTIC,1,1765029724.9394147,1765037937.1648722,,8212.225457429886,,running
job-6b9986ff4e84,clusterB,DistilBERT,SST-2,1,1765030119.1609137,1765037937.2104363,,7818.049522638321,,running
job-c2ebe57193cb,clusterB,DeepSpeech2,ARCTIC,1,1765029724.9394147,1765037937.1648722,1765038231.3613777,8212.225457429886,294.1965055465698,completed
job-0388d1f3e82a,clusterB,ResNet-50,CIFAR-10,2,1765029079.7304122,1765037937.1185787,1765039903.6077366,8857.388166427612,1966.4891579151154,completed
job-fe9f5fa3c45c,clusterB,DistilBERT,SST-2,2,1765030296.2835956,1765039904.402564,,9608.118968486786,,running
job-6b9986ff4e84,clusterB,DistilBERT,SST-2,1,1765030119.1609137,1765037937.2104363,1765041185.0122302,7818.049522638321,3247.8017938137054,completed
job-76f9c184b775,clusterB,EfficientNetV2-S,MNIST,2,1765030338.9499445,1765041185.74368,,10846.79373550415,,running
job-76f9c184b775,clusterB,EfficientNetV2-S,MNIST,2,1765030338.9499445,1765041185.74368,1765044507.602862,10846.79373550415,3321.859181880951,completed
job-fe9f5fa3c45c,clusterB,DistilBERT,SST-2,2,1765030296.2835956,1765039904.402564,1765045268.6781094,9608.118968486786,5364.275545358658,completed
job-87555fe0ef59,clusterB,DeepSpeech2,ARCTIC,4,1765031075.949798,1765045269.3041213,,14193.354323148727,,running
job-87555fe0ef59,clusterB,DeepSpeech2,ARCTIC,4,1765031075.949798,1765045269.3041213,1765045478.9675367,14193.354323148727,209.66341543197632,completed
job-2a9fdfdf0caf,clusterB,DenseNet-121,TinyImageNet,4,1765031174.3647847,1765045479.0906577,,14304.72587299347,,running
job-2a9fdfdf0caf,clusterB,DenseNet-121,TinyImageNet,4,1765031174.3647847,1765045479.0906577,1765048026.356822,14304.72587299347,2547.266164302826,completed
job-97b691b05ef0,clusterB,DistilBERT,SST-2,1,1765031666.8534575,1765048027.2085264,,16360.355068922043,,running
job-76f8c584fbde,clusterB,DistilBERT,SST-2,1,1765032039.947802,1765048027.3913672,,15987.443565130234,,running
job-db8d2146c24f,clusterB,DistilBERT,SST-2,2,1765033337.4026499,1765048027.543073,,14690.140423059464,,running
job-76f8c584fbde,clusterB,DistilBERT,SST-2,1,1765032039.947802,1765048027.3913672,1765052369.2297828,15987.443565130234,4341.838415622711,completed
job-ad05f06fba47,clusterB,EfficientNetV2-S,MNIST,1,1765033386.4440582,1765052369.9096186,,18983.46556043625,,running
