epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,513.8135099411011,20.770111083984375,546.9305422306061,13.1,1836.110336,2259.484672,0.0,41.0,11.047424267068866,11.22,30.57,0.08799678832292557,,0.25,64,4,0.001,,4.642251875,4.16286953125,4.6424471875,4.19084921875
2,0,516.2795784473419,13.213070631027222,554.4707992076874,10.1,8549.08416,2619.33056,0.0,43.0,51.43773658839533,18.53,41.77,0.1604999452829361,,0.25,64,4,0.001,,4.08303125,3.681815625,4.0732971875,3.70834296875
3,0,511.62135100364685,27.797404289245605,552.9266822338104,8.8,241.957376,2618.048512,0.0,41.0,1.455798017586404,23.5,49.65,0.21838489174842834,,0.25,64,4,0.001,,3.7023890625,3.3627953125,3.7005146875,3.3680890625
4,0,617.0713858604431,28.476285934448242,649.6389317512512,8.7,241.957376,2619.957248,0.0,40.0,1.455798017586404,30.01,57.27,0.279877245426178,,0.25,64,4,0.001,,3.408660625,3.007220703125,3.40556625,2.995731640625
5,0,545.2254865169525,12.41880989074707,573.1845571994781,10.6,8242.960896,2617.32352,0.0,43.0,49.59586820547702,33.92,61.72,0.3231353461742401,,0.25,64,4,0.001,,3.1930225,2.803731640625,3.186606875,2.777275
6,0,432.97349739074707,27.48190999031067,469.7065181732178,11.4,8270.652928,2622.058496,0.0,44.0,49.76248435066343,36.75,64.68,0.35880547761917114,,0.25,64,4,0.001,,3.0313196875,2.6656662109375,3.0307990625,2.62476484375
7,0,454.0220642089844,23.933921575546265,487.39479875564575,9.7,241.957376,2621.546496,0.0,45.0,1.455798017586404,40.4,68.27,0.3920597434043884,,0.25,64,4,0.001,,2.88404375,2.5036228515625,2.8755115625,2.48571875
8,0,536.1703593730927,25.10901165008545,567.9999604225159,8.8,5890.893824,2619.14624,0.0,42.0,35.444059166814526,41.13,69.19,0.4052497148513794,,0.25,64,4,0.001,,2.76433125,2.4552443359375,2.7644315625,2.46314921875
9,0,482.1356599330902,24.94075846672058,515.0751733779907,10.1,213.142528,2620.215296,0.0,46.0,1.2824261647049544,43.77,71.03,0.43217015266418457,,0.25,64,4,0.001,,2.641603125,2.3524453125,2.615095625,2.35125859375
10,0,564.4845526218414,19.6905357837677,592.803581237793,10.3,213.142528,2618.945536,0.0,44.0,1.2824261647049544,44.9,71.98,0.44069865345954895,,0.25,64,4,0.001,,2.56525296875,2.3039908203125,2.58981328125,2.3232470703125
11,0,458.2394907474518,19.548569202423096,485.91129899024963,11.1,241.957376,2618.003456,0.0,42.0,1.455798017586404,47.84,74.34,0.47169220447540283,,0.25,64,4,0.001,,2.47916421875,2.1412587890625,2.476419375,2.165531640625
12,0,418.23892164230347,7.959422826766968,447.76600909233093,9.7,241.957376,2622.521344,0.0,45.0,1.455798017586404,47.12,73.03,0.4696420431137085,,0.25,64,4,0.001,,2.396269375,2.232066796875,2.3849103125,2.2275291015625
13,0,438.9126443862915,23.446476459503174,472.11193776130676,7.4,188.509184,2622.509056,0.0,42.0,1.134213392874746,49.84,76.3,0.4914831519126892,,0.25,64,4,0.001,,2.33288859375,2.054349609375,2.33797265625,2.0372662109375
14,0,422.83787512779236,19.35534167289734,453.87147092819214,9.0,7350.281216,2620.870656,0.0,44.0,44.224834141677015,50.14,76.39,0.5016078352928162,,0.25,64,4,0.001,,2.26255,2.05926640625,2.2642996875,2.0356546875
15,0,464.25978684425354,21.651817083358765,496.84150648117065,8.2,241.957376,2622.386176,0.0,43.0,1.455798017586404,50.64,76.11,0.5029730200767517,,0.25,64,4,0.001,,2.1916659375,2.0419078125,2.20009078125,2.0244205078125
16,0,418.27483439445496,27.243077039718628,456.3464515209198,8.3,241.957376,2623.156224,0.0,44.0,1.455798017586404,52.84,78.18,0.5224987268447876,,0.25,64,4,0.001,,2.136546875,1.9402978515625,2.121983125,1.9271091796875
17,0,434.31878662109375,20.917590856552124,466.29313945770264,8.6,241.957376,2623.16032,0.0,42.0,1.455798017586404,52.51,78.11,0.5211983919143677,,0.25,64,4,0.001,,2.0814784375,1.9559775390625,2.0777628125,1.9551232421875
18,0,498.9621136188507,21.69857931137085,533.2528140544891,8.9,188.537856,2623.565824,0.0,42.0,1.1343859052463476,53.28,78.39,0.5294398665428162,,0.25,64,4,0.001,,2.02839640625,1.93731640625,2.03051,1.94909765625
19,0,410.2379148006439,10.013613224029541,441.30797290802,10.3,241.957376,2621.82912,0.0,47.0,1.455798017586404,53.7,78.45,0.5321481823921204,,0.25,64,4,0.001,,1.977714375,1.9210291015625,1.97900171875,1.8984287109375
20,0,504.9892945289612,7.401817083358765,542.8897805213928,8.5,2531.862016,2623.041536,0.0,42.0,15.23359099288263,54.75,79.37,0.5463268756866455,,0.25,64,4,0.001,,1.93881296875,1.88372265625,1.93432609375,1.88861875
