ts,cluster,queue_len,slots_total,slots_used,free,U_t,E_t,p_fair,lam_time,lam_cost,lam_fair
2025-12-03 15:03:48,clusterA,0,4,0,4,0.0,0.0,1.0,0.0,0.0,1.0
2025-12-03 15:03:48,clusterB,0,4,0,4,0.0,0.0,1.0,0.0,0.0,1.0
2025-12-03 15:03:53,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:03:53,clusterB,0,4,0,4,0.0,0.0,1.0,0.0,0.0,1.0
2025-12-03 15:03:58,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:03:58,clusterB,0,4,0,4,0.0,0.0,1.0,0.0,0.0,1.0
2025-12-03 15:04:03,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:04:03,clusterB,0,4,0,4,0.0,0.0,1.0,0.0,0.0,1.0
2025-12-03 15:04:08,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:04:08,clusterB,0,4,0,4,0.0,0.0,1.0,0.0,0.0,1.0
2025-12-03 15:04:13,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:04:13,clusterB,0,4,0,4,0.0,0.01,1.0,0.0,0.01,1.0
2025-12-03 15:04:18,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:04:18,clusterB,0,4,0,4,0.0,0.03,1.0,0.0,0.03,1.0
2025-12-03 15:04:23,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:04:23,clusterB,0,4,0,4,0.0,0.05,1.0,0.0,0.05,1.0
2025-12-03 15:04:28,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:04:28,clusterB,0,4,0,4,0.0,0.09,1.0,0.0,0.09,1.0
2025-12-03 15:04:33,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:04:33,clusterB,0,4,0,4,0.0,0.12,1.0,0.0,0.12,1.0
2025-12-03 15:04:38,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:04:38,clusterB,0,4,0,4,0.0,0.16,1.0,0.0,0.16,1.0
2025-12-03 15:04:43,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:04:43,clusterB,0,4,0,4,0.0,0.2,1.0,0.0,0.2,1.0
2025-12-03 15:04:48,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:04:48,clusterB,0,4,0,4,0.0,0.23,1.0,0.0,0.23,1.0
2025-12-03 15:04:53,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:04:53,clusterB,0,4,0,4,0.0,0.27,1.0,0.0,0.27,1.0
2025-12-03 15:04:58,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:04:58,clusterB,0,4,0,4,0.0,0.31,1.0,0.0,0.31,1.0
2025-12-03 15:05:03,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:05:03,clusterB,0,4,0,4,0.0,0.35,1.0,0.0,0.35,1.0
2025-12-03 15:05:08,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:05:08,clusterB,0,4,0,4,0.0,0.38,1.0,0.0,0.38,1.0
2025-12-03 15:05:13,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:05:13,clusterB,0,4,0,4,0.0,0.42,1.0,0.0,0.42,1.0
2025-12-03 15:05:18,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:05:18,clusterB,0,4,0,4,0.0,0.46,1.0,0.0,0.46,1.0
2025-12-03 15:05:23,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:05:23,clusterB,0,4,0,4,0.0,0.5,1.0,0.0,0.5,1.0
2025-12-03 15:05:28,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:05:28,clusterB,0,4,0,4,0.0,0.53,1.0,0.0,0.53,1.0
2025-12-03 15:05:33,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:05:33,clusterB,0,4,0,4,0.0,0.57,1.0,0.0,0.57,1.0
2025-12-03 15:05:38,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:05:38,clusterB,0,4,0,4,0.0,0.61,1.0,0.0,0.61,1.0
2025-12-03 15:05:43,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:05:43,clusterB,0,4,0,4,0.0,0.64,1.0,0.0,0.64,1.0
2025-12-03 15:05:48,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:05:48,clusterB,0,4,0,4,0.0,0.68,1.0,0.0,0.68,1.0
2025-12-03 15:05:53,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:05:53,clusterB,0,4,0,4,0.0,0.72,1.0,0.0,0.72,1.0
2025-12-03 15:05:58,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:05:58,clusterB,0,4,0,4,0.0,0.76,1.0,0.0,0.76,1.0
2025-12-03 15:06:03,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:06:03,clusterB,0,4,0,4,0.0,0.79,1.0,0.0,0.79,1.0
2025-12-03 15:06:08,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:06:08,clusterB,0,4,0,4,0.0,0.83,1.0,0.0,0.83,1.0
2025-12-03 15:06:13,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:06:13,clusterB,0,4,0,4,0.0,0.86,1.0,0.0,0.86,1.0
2025-12-03 15:06:18,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:06:18,clusterB,0,4,0,4,0.0,0.87,1.0,0.0,0.87,1.0
2025-12-03 15:06:23,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:06:23,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-03 15:06:28,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:06:28,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-03 15:06:33,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:06:33,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-03 15:06:38,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:06:38,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-03 15:06:43,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:06:43,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-03 15:06:48,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:06:48,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-03 15:06:53,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:06:53,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-03 15:06:58,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:06:58,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-03 15:07:03,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:07:03,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-03 15:07:08,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:07:08,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-03 15:07:13,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:07:13,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-03 15:07:18,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:07:18,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-03 15:07:23,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:07:23,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-03 15:07:28,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:07:28,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-03 15:07:33,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:07:33,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-03 15:07:38,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:07:38,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-03 15:07:43,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:07:43,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-03 15:07:48,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:07:48,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-03 15:07:53,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:07:53,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-03 15:07:58,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:07:58,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-03 15:08:03,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:08:03,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-03 15:08:08,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:08:08,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-03 15:08:13,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:08:13,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-03 15:08:18,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:08:18,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-03 15:08:23,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:08:23,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-03 15:08:28,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:08:28,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-03 15:08:33,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:08:33,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-03 15:08:38,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:08:38,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-03 15:08:43,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:08:43,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-03 15:08:48,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:08:48,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-03 15:08:53,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:08:53,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-03 15:08:58,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:08:58,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-03 15:09:03,clusterA,0,4,0,4,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:09:03,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-03 15:09:08,clusterA,0,4,4,0,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:09:08,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-03 15:09:13,clusterA,0,4,4,0,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:09:13,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-03 15:09:18,clusterA,0,4,4,0,0.0,0.02,1.0,0.0,0.02,1.0
2025-12-03 15:09:18,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-03 15:09:23,clusterA,0,4,4,0,0.0,0.03,1.0,0.0,0.03,1.0
2025-12-03 15:09:23,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-03 15:09:29,clusterA,0,4,4,0,0.0,0.04,1.0,0.0,0.04,1.0
2025-12-03 15:09:29,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-03 15:09:34,clusterA,0,4,4,0,0.0,0.04,1.0,0.0,0.04,1.0
2025-12-03 15:09:34,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-03 15:09:39,clusterA,0,4,4,0,0.0,0.05,1.0,0.0,0.05,1.0
2025-12-03 15:09:39,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-03 15:09:44,clusterA,0,4,4,0,0.0,0.05,1.0,0.0,0.05,1.0
2025-12-03 15:09:44,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-03 15:09:49,clusterA,0,4,4,0,0.0,0.06,1.0,0.0,0.06,1.0
2025-12-03 15:09:49,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-03 15:09:54,clusterA,0,4,4,0,0.0,0.06,1.0,0.0,0.06,1.0
2025-12-03 15:09:54,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-03 15:09:59,clusterA,0,4,4,0,0.0,0.07,1.0,0.0,0.07,1.0
2025-12-03 15:09:59,clusterB,0,4,0,4,0.0,0.89,1.0,0.0,0.89,1.0
2025-12-03 15:10:04,clusterA,0,4,4,0,0.04,0.08,2.0,0.0,0.08,1.0
2025-12-03 15:10:04,clusterB,0,4,0,4,0.0,0.89,0.0,0.10999999999999999,0.89,0.0
2025-12-03 15:10:09,clusterA,0,4,4,0,0.09,0.09,2.0,0.0,0.09,1.0
2025-12-03 15:10:09,clusterB,0,4,0,4,0.0,0.89,0.0,0.10999999999999999,0.89,0.0
2025-12-03 15:10:14,clusterA,0,4,4,0,0.13,0.1,2.0,0.0,0.1,1.0
2025-12-03 15:10:14,clusterB,0,4,0,4,0.0,0.89,0.0,0.10999999999999999,0.89,0.0
2025-12-03 15:10:19,clusterA,0,4,4,0,0.13,0.11,2.0,0.0,0.11,1.0
2025-12-03 15:10:19,clusterB,0,4,0,4,0.0,0.89,0.0,0.10999999999999999,0.89,0.0
2025-12-03 15:10:24,clusterA,0,4,4,0,0.15,0.11,2.0,0.0,0.11,1.0
2025-12-03 15:10:24,clusterB,0,4,0,4,0.0,0.89,0.0,0.10999999999999999,0.89,0.0
2025-12-03 15:10:29,clusterA,0,4,4,0,0.15,0.11,2.0,0.0,0.11,1.0
2025-12-03 15:10:29,clusterB,0,4,0,4,0.0,0.89,0.0,0.10999999999999999,0.89,0.0
2025-12-03 15:10:34,clusterA,0,4,4,0,0.15,0.11,2.0,0.0,0.11,1.0
2025-12-03 15:10:34,clusterB,0,4,0,4,0.0,0.89,0.0,0.10999999999999999,0.89,0.0
2025-12-03 15:10:39,clusterA,0,4,4,0,0.15,0.11,2.0,0.0,0.11,1.0
2025-12-03 15:10:39,clusterB,0,4,0,4,0.0,0.89,0.0,0.10999999999999999,0.89,0.0
2025-12-03 15:10:44,clusterA,0,4,4,0,0.15,0.11,2.0,0.0,0.11,1.0
2025-12-03 15:10:44,clusterB,0,4,0,4,0.0,0.89,0.0,0.10999999999999999,0.89,0.0
2025-12-03 15:10:49,clusterA,0,4,4,0,0.17,0.12,2.0,0.0,0.12,1.0
2025-12-03 15:10:49,clusterB,0,4,0,4,0.0,0.89,0.0,0.10999999999999999,0.89,0.0
2025-12-03 15:10:54,clusterA,0,4,4,0,0.17,0.12,2.0,0.0,0.12,1.0
2025-12-03 15:10:54,clusterB,0,4,0,4,0.0,0.89,0.0,0.10999999999999999,0.89,0.0
2025-12-03 15:10:59,clusterA,0,4,4,0,0.17,0.11,2.0,0.0,0.11,1.0
2025-12-03 15:10:59,clusterB,0,4,0,4,0.0,0.89,0.0,0.10999999999999999,0.89,0.0
2025-12-03 15:11:04,clusterA,0,4,4,0,0.19,0.11,2.0,0.0,0.11,1.0
2025-12-03 15:11:04,clusterB,0,4,0,4,0.0,0.89,0.0,0.10999999999999999,0.89,0.0
2025-12-03 15:11:09,clusterA,0,4,4,0,0.2,0.11,2.0,0.0,0.11,1.0
2025-12-03 15:11:09,clusterB,0,4,0,4,0.0,0.89,0.0,0.10999999999999999,0.89,0.0
2025-12-03 15:11:14,clusterA,0,4,4,0,0.16,0.11,2.0,0.0,0.11,1.0
2025-12-03 15:11:14,clusterB,0,4,0,4,0.0,0.89,0.0,0.10999999999999999,0.89,0.0
