ts,event,job_id,cluster,world_size,note,metadata_json
2025-12-03 15:09:08,submitted,job-cca051eb4c95,-,4,,"{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""epochs"": 20, ""batch_size_per_gpu"": 128, ""user_request"": ""Maximize GPU utilization for this run — I’m fine if it uses more energy temporarily.""}"
2025-12-03 15:09:08,started,job-cca051eb4c95,clusterA,4,"started_on=clusterA, g=4, nodes=['node_a', 'node_b', 'node_c', 'node_d'], queued_sec=0.6813709735870361","{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""nodes"": [""node_a"", ""node_b"", ""node_c"", ""node_d""], ""queued_sec"": 0.6813709735870361, ""started_ts"": 1764742148.963759}"
2025-12-03 15:12:25,submitted,job-3d19505feb14,-,2,,"{""model"": ""ResNet-50"", ""dataset"": ""CIFAR-10"", ""epochs"": 20, ""batch_size_per_gpu"": 128, ""user_request"": ""Please minimize queue waiting time. Start as soon as a slot is available.""}"
2025-12-03 15:12:26,started,job-3d19505feb14,clusterB,2,"started_on=clusterB, g=2, nodes=['node_e', 'node_f'], queued_sec=0.9278807640075684","{""model"": ""ResNet-50"", ""dataset"": ""CIFAR-10"", ""nodes"": [""node_e"", ""node_f""], ""queued_sec"": 0.9278807640075684, ""started_ts"": 1764742346.1207354}"
2025-12-03 15:17:26,submitted,job-47bbc132a703,-,2,,"{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""user_request"": ""This job is for testing only — minimal cost and stable runtime are more important than raw speed.""}"
2025-12-03 15:17:27,started,job-47bbc132a703,clusterB,2,"started_on=clusterB, g=2, nodes=['node_g', 'node_h'], queued_sec=1.2603321075439453","{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""nodes"": [""node_g"", ""node_h""], ""queued_sec"": 1.2603321075439453, ""started_ts"": 1764742647.8923047}"
2025-12-03 15:21:15,submitted,job-0d264c71b455,-,1,,"{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""user_request"": ""Please keep the cost reasonable while still maintaining decent speed.""}"
2025-12-03 15:21:16,submitted,job-ed299a3bc0cd,-,4,,"{""model"": ""DenseNet-121"", ""dataset"": ""TinyImageNet"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""user_request"": ""Maximize GPU utilization for this run — I’m fine if it uses more energy temporarily.""}"
2025-12-03 15:26:59,submitted,job-ad02c3e9c1bf,-,4,,"{""model"": ""ResNet-50"", ""dataset"": ""CIFAR-10"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""user_request"": ""Focus on efficiency. Use GPUs effectively but avoid unnecessary power consumption.""}"
2025-12-03 15:30:36,submitted,job-718bff77f61f,-,2,,"{""model"": ""EfficientNetV2-S"", ""dataset"": ""MNIST"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""user_request"": ""I need this training to finish as fast as possible. Prioritize performance and speed over everything else.""}"
2025-12-03 15:32:02,submitted,job-3274279874de,-,1,,"{""model"": ""EfficientNetV2-S"", ""dataset"": ""MNIST"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""user_request"": ""This job is for testing only — minimal cost and stable runtime are more important than raw speed.""}"
2025-12-03 15:33:35,submitted,job-f90b4168ecd9,-,4,,"{""model"": ""DenseNet-121"", ""dataset"": ""TinyImageNet"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""user_request"": ""Focus on efficiency. Use GPUs effectively but avoid unnecessary power consumption.""}"
2025-12-03 15:43:04,submitted,job-92f41b814b64,-,2,,"{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 16, ""user_request"": ""Balance between speed and cost. I don’t need the fastest result, just good efficiency overall.""}"
2025-12-03 15:44:37,submitted,job-2063793ee62c,-,1,,"{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 16, ""user_request"": ""Please minimize queue waiting time. Start as soon as a slot is available.""}"
2025-12-03 15:45:32,submitted,job-5c62ecc22b1d,-,1,,"{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 16, ""user_request"": ""Balance between speed and cost. I don’t need the fastest result, just good efficiency overall.""}"
2025-12-03 15:53:28,finished,job-3d19505feb14,clusterB,2,exit=0,"{""end_ts"": 1764744808.6496809, ""jct_sec"": 2462.5289454460144, ""queued_sec"": 0.9278807640075684}"
2025-12-03 15:53:29,started,job-0d264c71b455,clusterB,1,"started_on=clusterB, g=1, nodes=['node_e'], queued_sec=1934.2276911735535","{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""nodes"": [""node_e""], ""queued_sec"": 1934.2276911735535, ""started_ts"": 1764744809.6290033}"
2025-12-03 15:56:17,submitted,job-546609e6313b,-,2,,"{""model"": ""EfficientNetV2-S"", ""dataset"": ""MNIST"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""user_request"": ""Please keep the cost reasonable while still maintaining decent speed.""}"
2025-12-03 16:02:51,submitted,job-b1cac1e427cf,-,4,,"{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""user_request"": ""Please minimize queue waiting time. Start as soon as a slot is available.""}"
2025-12-03 16:05:49,submitted,job-ab2147b274cb,-,4,,"{""model"": ""DenseNet-121"", ""dataset"": ""TinyImageNet"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""user_request"": ""Prefer reliability and consistency. I’d rather not have the job preempted or rescheduled.""}"
2025-12-03 16:06:31,submitted,job-ef4dca67b787,-,1,,"{""model"": ""EfficientNetV2-S"", ""dataset"": ""MNIST"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""user_request"": ""Maximize GPU utilization for this run — I’m fine if it uses more energy temporarily.""}"
2025-12-03 16:18:48,submitted,job-7f1735354784,-,4,,"{""model"": ""DeepSpeech2"", ""dataset"": ""ARCTIC"", ""epochs"": 20, ""batch_size_per_gpu"": 8, ""user_request"": ""Prefer reliability and consistency. I’d rather not have the job preempted or rescheduled.""}"
2025-12-03 16:19:12,finished,job-cca051eb4c95,clusterA,4,exit=0,"{""end_ts"": 1764746352.5066538, ""jct_sec"": 4203.5428948402405, ""queued_sec"": 0.6813709735870361}"
2025-12-03 16:19:12,started,job-ed299a3bc0cd,clusterA,4,"started_on=clusterA, g=4, nodes=['node_a', 'node_b', 'node_c', 'node_d'], queued_sec=3476.890037536621","{""model"": ""DenseNet-121"", ""dataset"": ""TinyImageNet"", ""nodes"": [""node_a"", ""node_b"", ""node_c"", ""node_d""], ""queued_sec"": 3476.890037536621, ""started_ts"": 1764746352.9141383}"
2025-12-03 16:20:27,submitted,job-e487d1403ac6,-,4,,"{""model"": ""DenseNet-121"", ""dataset"": ""TinyImageNet"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""user_request"": ""Prefer reliability and consistency. I’d rather not have the job preempted or rescheduled.""}"
2025-12-03 16:28:39,submitted,job-c86a1f18eec0,-,1,,"{""model"": ""EfficientNetV2-S"", ""dataset"": ""MNIST"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""user_request"": ""Please minimize queue waiting time. Start as soon as a slot is available.""}"
2025-12-03 16:34:52,submitted,job-fb70532da7ec,-,1,,"{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""user_request"": ""Try to share resources fairly with other users, but don’t delay my job too much.""}"
2025-12-03 16:35:36,finished,job-0d264c71b455,clusterB,1,exit=0,"{""end_ts"": 1764747336.8249602, ""jct_sec"": 2527.1959569454193, ""queued_sec"": 1934.2276911735535}"
2025-12-03 16:56:30,submitted,job-86c1605b8fbc,-,1,,"{""model"": ""ResNet-50"", ""dataset"": ""CIFAR-10"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""user_request"": ""This job is for testing only — minimal cost and stable runtime are more important than raw speed.""}"
2025-12-03 16:57:19,submitted,job-555a3e74b31d,-,1,,"{""model"": ""DeepSpeech2"", ""dataset"": ""ARCTIC"", ""epochs"": 20, ""batch_size_per_gpu"": 8, ""user_request"": ""This job is for testing only — minimal cost and stable runtime are more important than raw speed.""}"
2025-12-03 17:04:10,finished,job-47bbc132a703,clusterB,2,exit=0,"{""end_ts"": 1764749050.369746, ""jct_sec"": 6402.477441310883, ""queued_sec"": 1.2603321075439453}"
2025-12-03 17:04:11,started,job-ad02c3e9c1bf,clusterB,4,"started_on=clusterB, g=4, nodes=['node_e', 'node_f', 'node_g', 'node_h'], queued_sec=5831.828102350235","{""model"": ""ResNet-50"", ""dataset"": ""CIFAR-10"", ""nodes"": [""node_e"", ""node_f"", ""node_g"", ""node_h""], ""queued_sec"": 5831.828102350235, ""started_ts"": 1764749051.0856924}"
2025-12-03 17:09:56,submitted,job-936ff02dcb4f,-,1,,"{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""user_request"": ""Try to share resources fairly with other users, but don’t delay my job too much.""}"
2025-12-03 17:11:08,submitted,job-5cebe71d082d,-,2,,"{""model"": ""DeepSpeech2"", ""dataset"": ""ARCTIC"", ""epochs"": 20, ""batch_size_per_gpu"": 8, ""user_request"": ""I need this training to finish as fast as possible. Prioritize performance and speed over everything else.""}"
2025-12-03 17:14:02,submitted,job-8f9c296f2395,-,2,,"{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""user_request"": ""This job is for testing only — minimal cost and stable runtime are more important than raw speed.""}"
2025-12-03 17:18:54,submitted,job-aba7e88ff6ce,-,2,,"{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 16, ""user_request"": ""Please minimize queue waiting time. Start as soon as a slot is available.""}"
2025-12-03 17:20:26,submitted,job-56409ad6e883,-,2,,"{""model"": ""DeepSpeech2"", ""dataset"": ""ARCTIC"", ""epochs"": 20, ""batch_size_per_gpu"": 16, ""user_request"": ""Try to share resources fairly with other users, but don’t delay my job too much.""}"
2025-12-03 17:30:23,submitted,job-2ce7b8b8a168,-,2,,"{""model"": ""DeepSpeech2"", ""dataset"": ""ARCTIC"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""user_request"": ""This job is for testing only — minimal cost and stable runtime are more important than raw speed.""}"
2025-12-03 17:31:25,submitted,job-861eaf6d7d64,-,1,,"{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""user_request"": ""This job is for testing only — minimal cost and stable runtime are more important than raw speed.""}"
2025-12-03 17:36:23,submitted,job-069071711300,-,2,,"{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""user_request"": ""Please keep the cost reasonable while still maintaining decent speed.""}"
2025-12-03 17:38:40,finished,job-ad02c3e9c1bf,clusterB,4,exit=0,"{""end_ts"": 1764751120.5294867, ""jct_sec"": 2069.4437942504883, ""queued_sec"": 5831.828102350235}"
2025-12-03 17:38:41,started,job-718bff77f61f,clusterB,2,"started_on=clusterB, g=2, nodes=['node_e', 'node_f'], queued_sec=7684.905202388763","{""model"": ""EfficientNetV2-S"", ""dataset"": ""MNIST"", ""nodes"": [""node_e"", ""node_f""], ""queued_sec"": 7684.905202388763, ""started_ts"": 1764751121.0874426}"
2025-12-03 17:38:41,started,job-3274279874de,clusterB,1,"started_on=clusterB, g=1, nodes=['node_g'], queued_sec=7599.11057305336","{""model"": ""EfficientNetV2-S"", ""dataset"": ""MNIST"", ""nodes"": [""node_g""], ""queued_sec"": 7599.11057305336, ""started_ts"": 1764751121.2089508}"
2025-12-03 17:59:33,submitted,job-8bb3b0c1a00a,-,1,,"{""model"": ""DeepSpeech2"", ""dataset"": ""ARCTIC"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""user_request"": ""This job is for testing only — minimal cost and stable runtime are more important than raw speed.""}"
2025-12-03 17:59:41,submitted,job-1d949f334279,-,1,,"{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""epochs"": 20, ""batch_size_per_gpu"": 128, ""user_request"": ""Prefer reliability and consistency. I’d rather not have the job preempted or rescheduled.""}"
