job_id,cluster,model,dataset,world_size,submitted_ts,started_ts,end_ts,queued_sec,jct_sec,status
job-cca051eb4c95,clusterA,ResNet-18,CIFAR-100,4,1764742148.282388,1764742148.963759,,0.6813709735870361,,running
job-3d19505feb14,clusterB,ResNet-50,CIFAR-10,2,1764742345.1928546,1764742346.1207354,,0.9278807640075684,,running
job-47bbc132a703,clusterB,DistilBERT,SST-2,2,1764742646.6319726,1764742647.8923047,,1.2603321075439453,,running
job-3d19505feb14,clusterB,ResNet-50,CIFAR-10,2,1764742345.1928546,1764742346.1207354,1764744808.6496809,0.9278807640075684,2462.5289454460144,completed
job-0d264c71b455,clusterB,ResNet-18,CIFAR-100,1,1764742875.401312,1764744809.6290033,,1934.2276911735535,,running
job-cca051eb4c95,clusterA,ResNet-18,CIFAR-100,4,1764742148.282388,1764742148.963759,1764746352.5066538,0.6813709735870361,4203.5428948402405,completed
job-ed299a3bc0cd,clusterA,DenseNet-121,TinyImageNet,4,1764742876.0241008,1764746352.9141383,,3476.890037536621,,running
job-0d264c71b455,clusterB,ResNet-18,CIFAR-100,1,1764742875.401312,1764744809.6290033,1764747336.8249602,1934.2276911735535,2527.1959569454193,completed
job-47bbc132a703,clusterB,DistilBERT,SST-2,2,1764742646.6319726,1764742647.8923047,1764749050.369746,1.2603321075439453,6402.477441310883,completed
job-ad02c3e9c1bf,clusterB,ResNet-50,CIFAR-10,4,1764743219.25759,1764749051.0856924,,5831.828102350235,,running
job-ad02c3e9c1bf,clusterB,ResNet-50,CIFAR-10,4,1764743219.25759,1764749051.0856924,1764751120.5294867,5831.828102350235,2069.4437942504883,completed
job-718bff77f61f,clusterB,EfficientNetV2-S,MNIST,2,1764743436.1822402,1764751121.0874426,,7684.905202388763,,running
job-3274279874de,clusterB,EfficientNetV2-S,MNIST,1,1764743522.0983777,1764751121.2089508,,7599.11057305336,,running
job-718bff77f61f,clusterB,EfficientNetV2-S,MNIST,2,1764743436.1822402,1764751121.0874426,1764754223.5319905,7684.905202388763,3102.444547891617,completed
job-3274279874de,clusterB,EfficientNetV2-S,MNIST,1,1764743522.0983777,1764751121.2089508,1764756287.230668,7599.11057305336,5166.021717309952,completed
job-f90b4168ecd9,clusterB,DenseNet-121,TinyImageNet,4,1764743615.0791745,1764756288.1363623,,12673.057187795639,,running
job-ed299a3bc0cd,clusterA,DenseNet-121,TinyImageNet,4,1764742876.0241008,1764746352.9141383,1764756694.1707242,3476.890037536621,10341.25658583641,completed
job-92f41b814b64,clusterA,DistilBERT,SST-2,2,1764744184.872681,1764756694.7890697,,12509.916388750076,,running
job-2063793ee62c,clusterA,DistilBERT,SST-2,1,1764744277.8034902,1764756694.8644109,,12417.060920715332,,running
job-5c62ecc22b1d,clusterA,DistilBERT,SST-2,1,1764744332.5448687,1764756694.9239507,,12362.379081964493,,running
job-f90b4168ecd9,clusterB,DenseNet-121,TinyImageNet,4,1764743615.0791745,1764756288.1363623,1764758737.9566984,12673.057187795639,2449.8203361034393,completed
job-546609e6313b,clusterB,EfficientNetV2-S,MNIST,2,1764744977.7004867,1764758738.7516649,,13761.051178216934,,running
job-546609e6313b,clusterB,EfficientNetV2-S,MNIST,2,1764744977.7004867,1764758738.7516649,1764761850.9121833,13761.051178216934,3112.1605184078217,completed
job-b1cac1e427cf,clusterB,ResNet-18,CIFAR-100,4,1764745371.8975317,1764761851.852598,,16479.95506620407,,running
job-b1cac1e427cf,clusterB,ResNet-18,CIFAR-100,4,1764745371.8975317,1764761851.852598,1764762576.717506,16479.95506620407,724.8649079799652,completed
job-ab2147b274cb,clusterB,DenseNet-121,TinyImageNet,4,1764745549.004384,1764762578.0237827,,17029.01939868927,,running
job-ab2147b274cb,clusterB,DenseNet-121,TinyImageNet,4,1764745549.004384,1764762578.0237827,1764765004.0184395,17029.01939868927,2425.9946568012238,completed
job-ef4dca67b787,clusterB,EfficientNetV2-S,MNIST,1,1764745591.6984072,1764765004.6107752,,19412.91236805916,,running
job-ef4dca67b787,clusterB,EfficientNetV2-S,MNIST,1,1764745591.6984072,1764765004.6107752,1764770159.084748,19412.91236805916,5154.473972797394,completed
job-7f1735354784,clusterB,DeepSpeech2,ARCTIC,4,1764746328.780415,1764770159.4849322,,23830.704517126083,,running
job-7f1735354784,clusterB,DeepSpeech2,ARCTIC,4,1764746328.780415,1764770159.4849322,1764770349.4024882,23830.704517126083,189.91755604743958,completed
job-e487d1403ac6,clusterB,DenseNet-121,TinyImageNet,4,1764746427.2132227,1764770349.5948203,,23922.38159751892,,running
job-e487d1403ac6,clusterB,DenseNet-121,TinyImageNet,4,1764746427.2132227,1764770349.5948203,1764772761.693666,23922.38159751892,2412.098845720291,completed
job-c86a1f18eec0,clusterB,EfficientNetV2-S,MNIST,1,1764746919.656938,1764772762.4145887,,25842.757650613785,,running
job-fb70532da7ec,clusterB,ResNet-18,CIFAR-100,1,1764747292.7381814,1764772762.44971,,25469.711528539658,,running
job-86c1605b8fbc,clusterB,ResNet-50,CIFAR-10,1,1764748590.1651373,1764772762.4808002,,24172.31566286087,,running
job-555a3e74b31d,clusterB,DeepSpeech2,ARCTIC,1,1764748639.1731114,1764772762.5057192,,24123.332607746124,,running
job-555a3e74b31d,clusterB,DeepSpeech2,ARCTIC,1,1764748639.1731114,1764772762.5057192,1764773033.4193323,24123.332607746124,270.9136130809784,completed
job-936ff02dcb4f,clusterB,DistilBERT,SST-2,1,1764749396.0875392,1764773033.480971,,23637.39343190193,,running
job-fb70532da7ec,clusterB,ResNet-18,CIFAR-100,1,1764747292.7381814,1764772762.44971,1764774088.430184,25469.711528539658,1325.9804739952087,completed
job-86c1605b8fbc,clusterB,ResNet-50,CIFAR-10,1,1764748590.1651373,1764772762.4808002,1764775745.804912,24172.31566286087,2983.3241119384766,completed
job-5cebe71d082d,clusterB,DeepSpeech2,ARCTIC,2,1764749468.5929995,1764775746.5800128,,26277.987013339996,,running
job-5cebe71d082d,clusterB,DeepSpeech2,ARCTIC,2,1764749468.5929995,1764775746.5800128,1764776065.4410477,26277.987013339996,318.8610348701477,completed
job-8f9c296f2395,clusterB,DistilBERT,SST-2,2,1764749642.0740309,1764776066.4829733,,26424.408942461014,,running
job-92f41b814b64,clusterA,DistilBERT,SST-2,2,1764744184.872681,1764756694.7890697,1764776092.9751756,12509.916388750076,19398.186105966568,completed
job-aba7e88ff6ce,clusterA,DistilBERT,SST-2,2,1764749934.3333652,1764776093.8115807,,26159.47821545601,,running
job-936ff02dcb4f,clusterB,DistilBERT,SST-2,1,1764749396.0875392,1764773033.480971,1764776211.4566288,23637.39343190193,3177.9756577014923,completed
job-c86a1f18eec0,clusterB,EfficientNetV2-S,MNIST,1,1764746919.656938,1764772762.4145887,1764778166.886513,25842.757650613785,5404.471924304962,completed
job-56409ad6e883,clusterB,DeepSpeech2,ARCTIC,2,1764750026.3679764,1764778167.8993924,,28141.53141593933,,running
job-56409ad6e883,clusterB,DeepSpeech2,ARCTIC,2,1764750026.3679764,1764778167.8993924,1764778487.2986534,28141.53141593933,319.3992609977722,completed
job-2ce7b8b8a168,clusterB,DeepSpeech2,ARCTIC,2,1764750623.5875351,1764778488.0008676,,27864.41333246231,,running
job-2ce7b8b8a168,clusterB,DeepSpeech2,ARCTIC,2,1764750623.5875351,1764778488.0008676,1764778807.6567104,27864.41333246231,319.6558427810669,completed
job-861eaf6d7d64,clusterB,DistilBERT,SST-2,1,1764750685.7046797,1764778808.051095,,28122.346415281296,,running
job-861eaf6d7d64,clusterB,DistilBERT,SST-2,1,1764750685.7046797,1764778808.051095,1764781995.7040532,28122.346415281296,3187.6529581546783,completed
job-069071711300,clusterB,DistilBERT,SST-2,2,1764750983.4094095,1764781995.9778557,,31012.568446159363,,running
job-8f9c296f2395,clusterB,DistilBERT,SST-2,2,1764749642.0740309,1764776066.4829733,1764782446.492572,26424.408942461014,6380.009598731995,completed
job-8bb3b0c1a00a,clusterB,DeepSpeech2,ARCTIC,1,1764752373.1034377,1764782447.0454643,,30073.942026615143,,running
job-1d949f334279,clusterB,ResNet-18,CIFAR-100,1,1764752381.4648705,1764782447.1124291,,30065.647558689117,,running
job-8bb3b0c1a00a,clusterB,DeepSpeech2,ARCTIC,1,1764752373.1034377,1764782447.0454643,1764782731.936006,30073.942026615143,284.8905417919159,completed
job-1d949f334279,clusterB,ResNet-18,CIFAR-100,1,1764752381.4648705,1764782447.1124291,1764783763.3849452,30065.647558689117,1316.2725160121918,completed
job-069071711300,clusterB,DistilBERT,SST-2,2,1764750983.4094095,1764781995.9778557,1764788351.7736788,31012.568446159363,6355.795823097229,completed
job-7e8d4a716b67,clusterB,DeepSpeech2,ARCTIC,4,1764752871.085018,1764788352.1753354,,35481.09031748772,,running
job-7e8d4a716b67,clusterB,DeepSpeech2,ARCTIC,4,1764752871.085018,1764788352.1753354,1764788542.0228107,35481.09031748772,189.84747529029846,completed
job-c70b78a0005d,clusterB,DistilBERT,SST-2,2,1764753929.7059033,1764788542.8409233,,34613.135020017624,,running
job-c70b78a0005d,clusterB,DistilBERT,SST-2,2,1764753929.7059033,1764788542.8409233,1764793576.8435507,34613.135020017624,5034.002627372742,completed
