ts,event,job_id,queue_len_after,note
2025-12-03 15:09:08,enqueue,job-cca051eb4c95,1,"g=4, batch=128"
2025-12-03 15:09:08,dequeue_start,job-cca051eb4c95,0,"g=4, cluster=clusterA"
2025-12-03 15:12:25,enqueue,job-3d19505feb14,1,"g=2, batch=128"
2025-12-03 15:12:26,dequeue_start,job-3d19505feb14,0,"g=2, cluster=clusterB"
2025-12-03 15:17:26,enqueue,job-47bbc132a703,1,"g=2, batch=64"
2025-12-03 15:17:27,dequeue_start,job-47bbc132a703,0,"g=2, cluster=clusterB"
2025-12-03 15:21:15,enqueue,job-0d264c71b455,1,"g=1, batch=32"
2025-12-03 15:21:16,enqueue,job-ed299a3bc0cd,2,"g=4, batch=64"
2025-12-03 15:26:59,enqueue,job-ad02c3e9c1bf,3,"g=4, batch=32"
2025-12-03 15:30:36,enqueue,job-718bff77f61f,4,"g=2, batch=64"
2025-12-03 15:32:02,enqueue,job-3274279874de,5,"g=1, batch=64"
2025-12-03 15:33:35,enqueue,job-f90b4168ecd9,6,"g=4, batch=32"
2025-12-03 15:43:04,enqueue,job-92f41b814b64,7,"g=2, batch=16"
2025-12-03 15:44:37,enqueue,job-2063793ee62c,8,"g=1, batch=16"
2025-12-03 15:45:32,enqueue,job-5c62ecc22b1d,9,"g=1, batch=16"
2025-12-03 15:53:29,dequeue_start,job-0d264c71b455,8,"g=1, cluster=clusterB"
2025-12-03 15:56:17,enqueue,job-546609e6313b,9,"g=2, batch=64"
2025-12-03 16:02:51,enqueue,job-b1cac1e427cf,10,"g=4, batch=32"
2025-12-03 16:05:49,enqueue,job-ab2147b274cb,11,"g=4, batch=32"
2025-12-03 16:06:31,enqueue,job-ef4dca67b787,12,"g=1, batch=64"
2025-12-03 16:18:48,enqueue,job-7f1735354784,13,"g=4, batch=8"
2025-12-03 16:19:12,dequeue_start,job-ed299a3bc0cd,12,"g=4, cluster=clusterA"
2025-12-03 16:20:27,enqueue,job-e487d1403ac6,13,"g=4, batch=32"
2025-12-03 16:28:39,enqueue,job-c86a1f18eec0,14,"g=1, batch=64"
2025-12-03 16:34:52,enqueue,job-fb70532da7ec,15,"g=1, batch=64"
2025-12-03 16:56:30,enqueue,job-86c1605b8fbc,16,"g=1, batch=64"
2025-12-03 16:57:19,enqueue,job-555a3e74b31d,17,"g=1, batch=8"
2025-12-03 17:04:11,dequeue_start,job-ad02c3e9c1bf,16,"g=4, cluster=clusterB"
