epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,57.982184410095215,5.305660724639893,63.33630895614624,66.7,89.876992,1196.72832,50.0,54.0,0.3534900306471735,13.46,38.18,0.10381832718849182,,1.0,32,4,0.001,,4.08097875,3.685630078125,4.08097875,3.685630078125
2,0,59.12582755088806,5.2075114250183105,64.36032104492188,13.7,295.053824,2116.145152,46.0,67.0,1.1604592339753175,19.55,46.82,0.1679963618516922,,1.0,32,4,0.001,,3.683271875,3.33988203125,3.683271875,3.33988203125
3,0,58.25848913192749,5.235357046127319,63.52993822097778,14.5,295.053824,2125.2096,46.0,67.0,1.1604592339753175,27.21,57.32,0.2475322186946869,,1.0,32,4,0.001,,3.3640128125,2.9305529296875,3.3640128125,2.9305529296875
4,0,58.951340675354004,5.245147466659546,64.2419159412384,14.2,453.117952,2160.566272,49.0,67.0,1.7821321694796426,31.55,62.48,0.29458871483802795,,1.0,32,4,0.001,,3.1174209375,2.6991533203125,3.1174209375,2.6991533203125
5,0,58.58778142929077,5.276195764541626,63.90140175819397,14.8,247.634944,2159.439872,50.0,67.0,0.9739587629264572,35.97,67.21,0.3386836647987366,,1.0,32,4,0.001,,2.9159940625,2.4848556640625,2.9159940625,2.4848556640625
6,0,60.05505108833313,5.224960803985596,65.31678438186646,14.3,295.053824,2159.579136,47.0,67.0,1.1604592339753175,40.33,72.5,0.3849736452102661,,1.0,32,4,0.001,,2.7227346875,2.25980234375,2.7227346875,2.25980234375
7,0,59.79606914520264,5.217484951019287,65.05070662498474,14.6,295.053312,2168.659968,52.0,68.0,1.1604572202575496,44.92,75.28,0.4335249662399292,,1.0,32,4,0.001,,2.5708125,2.114358203125,2.5708125,2.114358203125
8,0,59.33386850357056,5.264833927154541,64.63782501220703,14.5,295.053824,2172.993536,50.0,68.0,1.1604592339753175,47.26,77.35,0.46546030044555664,,1.0,32,4,0.001,,2.42537203125,1.998984765625,2.42537203125,1.998984765625
9,0,59.80527472496033,5.2036895751953125,65.045818567276,14.4,891.634688,2160.173056,51.0,68.0,3.506837135662072,47.93,77.69,0.4684330224990845,,1.0,32,4,0.001,,2.321425625,1.995658203125,2.321425625,1.995658203125
10,0,60.13924169540405,5.253821611404419,65.43140721321106,14.8,295.053824,2160.238592,54.0,68.0,1.1604592339753175,51.09,80.64,0.506202757358551,,1.0,32,4,0.001,,2.21288875,1.920505859375,2.21288875,1.920505859375
11,0,60.388341426849365,5.270063400268555,65.69496941566467,14.6,659.689472,2160.427008,49.0,67.0,2.594586740006805,53.09,81.19,0.5227564573287964,,1.0,32,4,0.001,,2.1329953125,1.81576640625,2.1329953125,1.81576640625
12,0,59.64215064048767,5.247746706008911,64.93893384933472,15.7,265.031168,2160.369664,49.0,63.0,1.042378851517151,54.99,82.45,0.543525755405426,,1.0,32,4,0.001,,2.04815140625,1.7020955078125,2.04815140625,1.7020955078125
13,0,60.27931046485901,5.249463081359863,65.56685853004456,14.4,247.634944,2160.443392,54.0,67.0,0.9739587629264572,56.13,83.53,0.5578653812408447,,1.0,32,4,0.001,,1.96802265625,1.76127734375,1.96802265625,1.76127734375
14,0,60.58881449699402,5.288997650146484,65.91580486297607,14.6,295.053824,2160.443392,48.0,67.0,1.1604592339753175,57.56,84.63,0.5730013251304626,,1.0,32,4,0.001,,1.9063628125,1.5794806640625,1.9063628125,1.5794806640625
15,0,60.89058208465576,5.226539611816406,66.1565511226654,14.1,295.053824,2169.48736,49.0,67.0,1.1604592339753175,58.55,85.18,0.5822992324829102,,1.0,32,4,0.001,,1.84678984375,1.53586220703125,1.84678984375,1.53586220703125
16,0,60.65190863609314,5.253338813781738,65.9440426826477,14.3,834.96704,2169.491456,52.0,67.0,3.2839608668587807,58.52,84.92,0.5836442112922668,,1.0,32,4,0.001,,1.79230546875,1.57349931640625,1.79230546875,1.57349931640625
17,0,59.885595083236694,5.240675926208496,65.16413712501526,14.5,247.634944,2169.491456,46.0,67.0,0.9739587629264572,59.06,85.1,0.5827750563621521,,1.0,32,4,0.001,,1.738010625,1.5578958984375,1.738010625,1.5578958984375
18,0,60.74915146827698,5.245821714401245,66.02466893196106,14.1,295.053824,2173.698048,47.0,67.0,1.1604592339753175,60.62,86.15,0.6034871339797974,,1.0,32,4,0.001,,1.6845903125,1.55404609375,1.6845903125,1.55404609375
19,0,61.01045083999634,5.227849721908569,66.2756142616272,14.6,937.793024,2169.499648,50.0,67.0,3.688379833567032,61.98,87.15,0.6156787276268005,,1.0,32,4,0.001,,1.64878046875,1.4645353515625,1.64878046875,1.4645353515625
20,0,59.75681114196777,5.233838796615601,65.02701902389526,14.3,775.298048,2169.52832,50.0,67.0,3.049280184501655,61.05,86.25,0.6085905432701111,,1.0,32,4,0.001,,1.6003809375,1.48209443359375,1.6003809375,1.48209443359375
