epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,244.71591901779175,10.927374839782715,255.67207527160645,0.0,164.337152,1173.118976,40.0,54.0,0.6463450055933025,97.34,99.96,0.9732372164726257,,1.0,32,4,0.001,,0.3813122721354167,0.0841337646484375,0.3813122721354167,0.0841337646484375
2,0,244.17709469795227,10.692183256149292,254.91345024108887,2.9,3637.202944,2192.310272,42.0,72.0,14.305273814065226,97.19,99.85,0.9704394340515137,,1.0,32,4,0.001,,0.0789632080078125,0.10151239013671876,0.0789632080078125,0.10151239013671876
3,0,246.4961919784546,10.606810331344604,257.1469671726227,2.6,476.004864,2138.836992,44.0,72.0,1.8721473674103786,98.88,99.98,0.9886108040809631,,1.0,32,4,0.001,,0.06790717366536458,0.039095343017578124,0.06790717366536458,0.039095343017578124
4,0,246.65489983558655,10.719756126403809,257.4439649581909,2.9,4572.798464,2139.725824,41.0,72.0,17.9850107709736,98.92,100.0,0.9892537593841553,,1.0,32,4,0.001,,0.0564502685546875,0.03452040710449219,0.0564502685546875,0.03452040710449219
5,0,245.534770488739,10.672715663909912,256.2437479496002,2.7,5156.722688,2134.929408,44.0,71.0,20.28160956944459,98.41,99.96,0.9840362071990967,,1.0,32,4,0.001,,0.04714137369791667,0.04800439453125,0.04714137369791667,0.04800439453125
6,0,246.24354791641235,10.66891598701477,256.96459674835205,2.9,4291.35872,2135.105536,41.0,70.0,16.87809629243951,99.16,99.99,0.9914736151695251,,1.0,32,4,0.001,,0.042184883626302086,0.025711721801757813,0.042184883626302086,0.025711721801757813
7,0,244.97649025917053,10.641651630401611,255.65042757987976,2.6,476.004864,2137.141248,45.0,71.0,1.8721473674103786,99.12,100.0,0.9911535382270813,,1.0,32,4,0.001,,0.03679754638671875,0.028266815185546874,0.03679754638671875,0.028266815185546874
8,0,245.92500519752502,10.670293092727661,256.6510171890259,2.8,476.005376,2135.01952,48.0,72.0,1.872149381128146,99.32,100.0,0.9931098818778992,,1.0,32,4,0.001,,0.031206862386067707,0.022538720703125,0.031206862386067707,0.022538720703125
9,0,251.4336018562317,10.72132420539856,262.2058696746826,2.7,557.014528,2135.212032,40.0,72.0,2.190761820040004,99.2,100.0,0.9919862151145935,,1.0,32,4,0.001,,0.027453328450520835,0.024969786071777345,0.027453328450520835,0.024969786071777345
10,0,246.52658033370972,10.690160512924194,257.24986958503723,2.6,476.005376,2137.2928,42.0,72.0,1.872149381128146,99.45,100.0,0.9944801330566406,,1.0,32,4,0.001,,0.024848109944661457,0.018236448669433594,0.024848109944661457,0.018236448669433594
11,0,249.48815369606018,10.657867431640625,260.18832325935364,2.7,557.014528,2135.240704,48.0,71.0,2.190761820040004,99.18,100.0,0.9917551875114441,,1.0,32,4,0.001,,0.023208380126953126,0.025371942138671874,0.023208380126953126,0.025371942138671874
12,0,244.22002005577087,10.665492534637451,254.92968034744263,3.1,476.005376,2136.989696,42.0,72.0,1.872149381128146,99.55,100.0,0.9954476356506348,,1.0,32,4,0.001,,0.021659442138671874,0.014336526489257812,0.021659442138671874,0.014336526489257812
13,0,244.58899188041687,10.655872821807861,255.277188539505,2.7,476.004864,2137.952256,44.0,71.0,1.8721473674103786,99.39,100.0,0.9938552975654602,,1.0,32,4,0.001,,0.01867835489908854,0.01912836608886719,0.01867835489908854,0.01912836608886719
14,0,247.3595597743988,10.713889598846436,258.1178345680237,2.7,456.736768,2138.038272,42.0,71.0,1.7963651266612368,99.41,100.0,0.9939990043640137,,1.0,32,4,0.001,,0.01775637410481771,0.021193922424316405,0.01775637410481771,0.021193922424316405
15,0,242.07973170280457,10.727351427078247,252.8527979850769,3.0,4553.313792,2139.623424,47.0,71.0,17.90837672760875,99.53,99.99,0.9952385425567627,,1.0,32,4,0.001,,0.01595717061360677,0.015109507751464843,0.01595717061360677,0.015109507751464843
16,0,240.36117601394653,10.689528942108154,251.10270428657532,2.9,5000.477184,2136.092672,43.0,71.0,19.66708935945088,99.46,100.0,0.9945670366287231,,1.0,32,4,0.001,,0.016415960693359374,0.018799085998535157,0.016415960693359374,0.018799085998535157
17,0,245.59701895713806,10.73045539855957,256.37025785446167,3.0,557.014528,2138.07104,46.0,71.0,2.190761820040004,99.51,100.0,0.9950546622276306,,1.0,32,4,0.001,,0.013517607625325521,0.014567893981933594,0.013517607625325521,0.014567893981933594
18,0,245.5718162059784,10.672914981842041,256.28811025619507,2.7,5107.953152,2138.05056,44.0,71.0,20.089796910924726,99.42,100.0,0.994132399559021,,1.0,32,4,0.001,,0.011721007283528645,0.022075648498535157,0.011721007283528645,0.022075648498535157
19,0,245.6418056488037,10.681112051010132,256.3758854866028,3.5,456.736256,2139.56608,44.0,67.0,1.7963631129434692,99.47,100.0,0.994667112827301,,1.0,32,4,0.001,,0.012104556274414063,0.019784002685546875,0.012104556274414063,0.019784002685546875
20,0,241.81881523132324,10.711371898651123,252.59556031227112,2.9,4358.480384,2136.100864,48.0,71.0,17.142088650622224,99.48,100.0,0.9947288036346436,,1.0,32,4,0.001,,0.010244031778971353,0.018889935302734376,0.010244031778971353,0.018889935302734376
