epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,249.02058506011963,0.35659122467041016,249.43945145606995,4.6,1095.629824,1988.5056,41.0,56.0,4.3091586783825315,89.6788990825688,0.0,0.8967803120613098,,0.5,32,4,2e-05,,0.2294104508326033,0.2622031640569004,0.22993611250055682,0.257032411907791
2,0,251.34902453422546,0.3546009063720703,251.7334008216858,8.4,1350.728192,2007.171072,42.0,56.0,5.3124714052077,90.48165137614679,0.0,0.9046629071235657,,0.5,32,4,2e-05,,0.12285477860658658,0.2567941158189686,0.12616373166241016,0.25794120228618655
3,0,251.80199265480042,0.362515926361084,252.19588208198547,8.4,1095.625216,2007.740416,44.0,58.0,4.309140554922622,90.71100917431193,0.0,0.9070336818695068,,0.5,32,4,2e-05,,0.08533577776767287,0.2543635237107583,0.08618940550619543,0.23710420591021897
4,0,251.01405668258667,0.38541316986083984,251.4404273033142,8.4,1371.765248,2031.2064,43.0,57.0,5.395211040843996,90.8256880733945,0.0,0.9080634117126465,,0.5,32,4,2e-05,,0.06218134009738452,0.33345808676623423,0.06057397233283653,0.31799106422914275
5,0,249.66263580322266,0.34360694885253906,250.04641151428223,8.4,1374.4768,2011.779072,46.0,56.0,5.405875690141353,89.90825688073394,0.0,0.8990485668182373,,0.5,32,4,2e-05,,0.046750357744732664,0.31798857942633674,0.04818478538013378,0.29879907730522504
6,0,249.73427319526672,0.36420202255249023,250.12814593315125,8.8,1378.205184,2009.45664,42.0,57.0,5.42053958292522,89.79357798165138,0.0,0.8979055881500244,,0.5,32,4,2e-05,,0.035803640075854876,0.35788901792753725,0.03593107421642996,0.3322690911249283
7,0,251.4053831100464,0.3975210189819336,251.84042811393738,8.3,1371.659776,2012.086272,42.0,57.0,5.394796214983864,89.56422018348624,0.0,0.8952839970588684,,0.5,32,4,2e-05,,0.03035567441842121,0.3805999755859375,0.030283018536881198,0.3689636440452086
8,0,249.1058521270752,0.35193490982055664,249.49043011665344,8.4,1095.622144,2012.155904,46.0,57.0,4.309128472616016,90.48165137614679,0.0,0.9045150279998779,,0.5,32,4,2e-05,,0.02437076541132756,0.3612982723691048,0.023371114253346426,0.35176782870511397
9,0,251.28283143043518,0.3400306701660156,251.67375874519348,8.5,1374.371328,2011.979776,41.0,56.0,5.405460864281222,90.71100917431193,0.0,0.9070454239845276,,0.5,32,4,2e-05,,0.022249719192424907,0.3663803240574828,0.022619180486173493,0.3611464194201548
10,0,249.27337050437927,0.3557431697845459,249.65734124183655,8.4,1372.962304,2023.100416,42.0,56.0,5.39991911298471,89.56422018348624,0.0,0.8954330086708069,,0.5,32,4,2e-05,,0.017277515821852402,0.47037457107403957,0.01820150865769028,0.45475709547690296
