epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,1,116.8177080154419,2.8693649768829346,119.79768896102905,12.3,200.540672,1807.13472,43.0,63.0,0.788734988942273,10.3,29.0,0.07738076150417328,,0.25,32,4,0.001,,4.65238,4.36157265625,4.6592375,4.273986328125
2,1,117.4680335521698,2.709007978439331,120.23289108276367,11.6,202.95424,1931.390976,44.0,63.0,0.798227654498871,19.15,43.49,0.16984494030475616,,0.25,32,4,0.001,,4.07706625,3.6261578125,4.093544375,3.591131640625
3,1,117.61498641967773,2.695387125015259,120.3972806930542,12.3,202.95424,1931.665408,45.0,64.0,0.798227654498871,26.19,52.76,0.2377375215291977,,0.25,32,4,0.001,,3.698389375,3.232072265625,3.68588125,3.2121986328125
4,1,120.07012867927551,2.6224207878112793,122.75609850883484,11.9,4346.491392,1934.176256,45.0,64.0,17.094935435375447,30.49,58.06,0.28807973861694336,,0.25,32,4,0.001,,3.41277,2.994118359375,3.4032984375,2.988866796875
5,1,116.35789370536804,2.7075388431549072,119.12743854522705,12.2,202.95424,1933.0048,49.0,65.0,0.798227654498871,33.8,62.6,0.31894975900650024,,0.25,32,4,0.001,,3.1911890625,2.769738671875,3.1715478125,2.7612529296875
6,1,121.13965058326721,2.7910001277923584,123.9916410446167,11.9,202.95424,1934.45888,45.0,64.0,0.798227654498871,38.43,66.21,0.3722801208496094,,0.25,32,4,0.001,,3.0345915625,2.6011392578125,3.0482115625,2.5764103515625
7,1,117.59021759033203,2.6683084964752197,120.31093001365662,12.0,614.126592,1933.312,45.0,65.0,2.4153859958655954,40.59,68.2,0.39487630128860474,,0.25,32,4,0.001,,2.891534375,2.4823228515625,2.8915728125,2.4767978515625
8,1,118.40148568153381,2.7091336250305176,121.17146015167236,12.1,3967.401984,1934.761984,46.0,65.0,15.603960676763826,43.86,70.63,0.4324483275413513,,0.25,32,4,0.001,,2.7775321875,2.356665625,2.7787090625,2.356950390625
9,1,119.60466861724854,2.69632887840271,122.43516707420349,11.8,202.95424,1933.606912,46.0,63.0,0.798227654498871,45.43,72.62,0.44775906205177307,,0.25,32,4,0.001,,2.6681590625,2.257428515625,2.6611528125,2.237167578125
10,1,118.89954018592834,2.66679310798645,121.62180042266846,11.6,3306.294784,1934.798848,44.0,63.0,13.00379795225846,47.95,73.82,0.473580539226532,,0.25,32,4,0.001,,2.5768184375,2.182430859375,2.57241125,2.17623125
11,1,119.55543351173401,2.7009310722351074,122.32601070404053,12.4,174.246912,1933.881344,45.0,64.0,0.685320512985741,48.33,74.77,0.4784946143627167,,0.25,32,4,0.001,,2.4960971875,2.137233984375,2.49603125,2.1189935546875
12,1,119.0735833644867,2.7007524967193604,121.83413338661194,12.0,2119.180288,1934.831616,45.0,65.0,8.3348261694384,48.5,74.88,0.47728872299194336,,0.25,32,4,0.001,,2.4279353125,2.14610703125,2.4197078125,2.1074302734375
13,1,116.31264734268188,2.7172625064849854,119.09107160568237,12.3,202.95424,1934.15168,44.0,63.0,0.798227654498871,50.87,76.78,0.502898633480072,,0.25,32,4,0.001,,2.35126765625,2.03317265625,2.3328678125,2.0212015625
14,1,118.95471143722534,2.6801109313964844,121.6849594116211,12.0,3922.288128,1934.815232,46.0,64.0,15.426525963104826,51.11,76.65,0.5102715492248535,,0.25,32,4,0.001,,2.28959953125,2.01106171875,2.3076634375,1.9994318359375
15,1,119.2123794555664,2.6454238891601562,121.9218578338623,11.9,202.95424,1934.41792,48.0,63.0,0.798227654498871,52.93,77.84,0.5235177874565125,,0.25,32,4,0.001,,2.2311540625,1.955607421875,2.235503125,1.96409296875
16,1,119.05556845664978,2.7263083457946777,121.83713006973267,11.9,202.95424,1934.811136,46.0,63.0,0.798227654498871,53.82,78.45,0.5369776487350464,,0.25,32,4,0.001,,2.17374984375,1.9118732421875,2.1759509375,1.8998767578125
17,1,118.93537664413452,2.739158868789673,121.75688433647156,12.1,202.95424,1934.680064,46.0,64.0,0.798227654498871,53.77,78.77,0.5327702164649963,,0.25,32,4,0.001,,2.1237965625,1.9024408203125,2.12386328125,1.8920103515625
18,1,119.5230188369751,2.639620065689087,122.25516295433044,11.8,3301.707776,1934.82752,48.0,64.0,12.98575705477828,54.56,79.37,0.5413912534713745,,0.25,32,4,0.001,,2.0676346875,1.87293984375,2.06700203125,1.8703677734375
19,1,118.6332745552063,2.649794340133667,121.33835983276367,11.2,188.443648,1934.999552,43.0,64.0,0.7411568792465281,54.76,79.88,0.5434967875480652,,0.25,32,4,0.001,,2.02735625,1.85506640625,2.0340190625,1.84803125
20,1,118.6436288356781,2.746350049972534,121.45481848716736,11.9,2986.004992,1934.999552,45.0,63.0,11.744084583234528,56.16,79.62,0.5586680173873901,,0.25,32,4,0.001,,1.9772596875,1.8250904296875,1.9952115625,1.8415109375
