epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,62.518160581588745,5.2460103034973145,67.82794141769409,11.3,911.85664,1964.519424,51.0,61.0,3.5863709326123048,13.44,37.56,0.10414551198482513,,1.0,32,4,0.001,,4.0759684375,3.670679296875,4.0759684375,3.670679296875
2,0,61.68254470825195,5.176070690155029,66.89608430862427,11.5,655.72608,2151.235584,45.0,64.0,2.578998550767597,21.44,48.48,0.18611183762550354,,1.0,32,4,0.001,,3.65785375,3.2540908203125,3.65785375,3.2540908203125
3,0,62.723806381225586,5.136049032211304,67.90718865394592,11.6,275.785216,2151.448576,48.0,65.0,1.0846749795084079,28.99,59.24,0.264751672744751,,1.0,32,4,0.001,,3.32212375,2.864041796875,3.32212375,2.864041796875
4,0,60.41912055015564,5.14202094078064,65.59536361694336,11.6,749.606912,2151.538688,45.0,64.0,2.948235854357621,33.33,64.69,0.3114684224128723,,1.0,32,4,0.001,,3.0801503125,2.61178203125,3.0801503125,2.61178203125
5,0,57.84890031814575,5.119875431060791,63.01327896118164,9.9,295.053824,2151.739392,48.0,65.0,1.1604592339753175,36.6,68.79,0.3517933189868927,,1.0,32,4,0.001,,2.8733265625,2.4450958984375,2.8733265625,2.4450958984375
6,0,58.15145945549011,5.09206485748291,63.27625608444214,9.2,912.692736,2151.81312,50.0,65.0,3.5896593337268405,39.78,71.12,0.3882926404476166,,1.0,32,4,0.001,,2.680610625,2.3460392578125,2.680610625,2.3460392578125
7,0,58.311774253845215,5.152439832687378,63.498937368392944,9.0,783.734272,2151.890944,47.0,66.0,3.0824602121588605,43.84,75.27,0.42166614532470703,,1.0,32,4,0.001,,2.527045625,2.1387673828125,2.527045625,2.1387673828125
8,0,59.316420555114746,5.138894319534302,64.50163912773132,9.2,942.856704,2152.022016,45.0,65.0,3.708295502288873,46.93,77.08,0.46104055643081665,,1.0,32,4,0.001,,2.39818828125,2.0044126953125,2.39818828125,2.0044126953125
9,0,57.30548906326294,5.1236045360565186,62.46498441696167,9.2,946.198528,2152.062976,47.0,65.0,3.72143903815818,50.59,79.55,0.5009819269180298,,1.0,32,4,0.001,,2.2910184375,1.850303125,2.2910184375,1.850303125
10,0,60.45032358169556,5.160245656967163,65.65485310554504,9.1,706.812416,2171.392,47.0,65.0,2.779923282185976,51.46,81.15,0.5090624094009399,,1.0,32,4,0.001,,2.1849284375,1.7865548828125,2.1849284375,1.7865548828125
11,0,58.749309062957764,5.1949121952056885,63.97893404960632,8.8,937.924096,2152.210432,46.0,65.0,3.6888953453155446,53.16,81.59,0.525384783744812,,1.0,32,4,0.001,,2.089241875,1.7881361328125,2.089241875,1.7881361328125
12,0,57.27276802062988,5.050797939300537,62.370548725128174,9.4,295.053824,2152.398848,45.0,65.0,1.1604592339753175,54.63,83.07,0.5393494367599487,,1.0,32,4,0.001,,2.00558328125,1.6554158203125,2.00558328125,1.6554158203125
13,0,59.03249931335449,5.175586938858032,64.25396656990051,9.4,295.053824,2152.402944,47.0,65.0,1.1604592339753175,55.23,83.38,0.5470471382141113,,1.0,32,4,0.001,,1.9514659375,1.6665658203125,1.9514659375,1.6665658203125
14,0,58.964823484420776,5.1188929080963135,64.12060880661011,9.5,247.634944,2152.40704,47.0,65.0,0.9739587629264572,58.04,84.8,0.5774728059768677,,1.0,32,4,0.001,,1.88627578125,1.53254638671875,1.88627578125,1.53254638671875
15,0,59.400883197784424,5.139657497406006,64.58537602424622,9.3,247.596544,2152.40704,47.0,66.0,0.973807734093885,58.72,85.26,0.5849271416664124,,1.0,32,4,0.001,,1.8268828125,1.51059462890625,1.8268828125,1.51059462890625
16,0,59.17563605308533,5.12576961517334,64.34921455383301,9.3,295.053824,2152.411136,48.0,67.0,1.1604592339753175,59.53,86.05,0.5920087099075317,,1.0,32,4,0.001,,1.7639790625,1.47651171875,1.7639790625,1.47651171875
17,0,59.00844359397888,5.116295099258423,64.15777611732483,9.3,295.053824,2169.192448,48.0,67.0,1.1604592339753175,57.4,83.33,0.5740322470664978,,1.0,32,4,0.001,,1.7122128125,1.6857048828125,1.7122128125,1.6857048828125
18,0,60.253955125808716,5.122196674346924,65.41160082817078,9.0,295.053824,2169.192448,46.0,66.0,1.1604592339753175,60.4,85.96,0.6002339720726013,,1.0,32,4,0.001,,1.67057828125,1.46946630859375,1.67057828125,1.46946630859375
19,0,59.65056133270264,5.146051406860352,64.83204650878906,9.3,295.053824,2169.196544,50.0,66.0,1.1604592339753175,61.44,87.3,0.6120845079421997,,1.0,32,4,0.001,,1.6263346875,1.40713486328125,1.6263346875,1.40713486328125
20,0,57.11784911155701,5.145589590072632,62.31013870239258,9.3,947.42784,2169.20064,50.0,66.0,3.7262739745182545,61.63,87.06,0.6144999265670776,,1.0,32,4,0.001,,1.58554140625,1.397182421875,1.58554140625,1.397182421875
