epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,258.9223732948303,10.752326488494873,269.71612215042114,8.3,383.950848,2023.596032,47.0,65.0,1.510095008815251,98.46,99.93,0.9844824075698853,,1.0,32,4,0.001,,0.3763872395833333,0.052810223388671876,0.3763872395833333,0.052810223388671876
2,0,263.79632449150085,10.539538621902466,274.3709878921509,8.4,5069.856768,2136.354816,45.0,64.0,19.939962212988835,98.55,99.98,0.9853960275650024,,1.0,32,4,0.001,,0.082097998046875,0.04794326477050781,0.082097998046875,0.04794326477050781
3,0,246.46412873268127,10.498642206192017,256.9989573955536,8.3,476.005376,2136.506368,47.0,65.0,1.872149381128146,98.97,99.98,0.9896607995033264,,1.0,32,4,0.001,,0.07222425944010416,0.030140237426757813,0.07222425944010416,0.030140237426757813
4,0,245.14963150024414,10.53699016571045,255.72894644737244,8.5,392.97536,2138.54208,45.0,65.0,1.545588798187461,99.18,100.0,0.9917654395103455,,1.0,32,4,0.001,,0.056534305826822916,0.028862619018554688,0.056534305826822916,0.028862619018554688
5,0,239.222491979599,10.508233308792114,249.76185488700867,8.2,2376.566272,2140.594176,45.0,65.0,9.347136187249333,99.3,99.99,0.9930323958396912,,1.0,32,4,0.001,,0.04780801188151042,0.0271900390625,0.04780801188151042,0.0271900390625
6,0,245.251699924469,10.487448692321777,255.7697684764862,8.6,4310.319616,2140.684288,44.0,65.0,16.95267030252807,99.18,100.0,0.9917662143707275,,1.0,32,4,0.001,,0.041926615397135415,0.02722920837402344,0.041926615397135415,0.02722920837402344
7,0,249.004789352417,10.636200428009033,259.6849455833435,8.5,5089.462272,2139.36128,46.0,64.0,20.017071493746844,99.33,100.0,0.9932934045791626,,1.0,32,4,0.001,,0.03574764811197917,0.02202859649658203,0.03574764811197917,0.02202859649658203
8,0,246.438862323761,10.565189123153687,257.05802488327026,8.7,4429.5168,2150.367232,46.0,64.0,17.421477894856228,99.15,100.0,0.9914389848709106,,1.0,32,4,0.001,,0.030484946695963543,0.022253781127929688,0.030484946695963543,0.022253781127929688
9,0,247.60074949264526,10.548080444335938,258.1908483505249,8.5,476.005376,2139.848704,50.0,65.0,1.872149381128146,99.42,99.99,0.9942128658294678,,1.0,32,4,0.001,,0.028083780924479166,0.018378178405761718,0.028083780924479166,0.018378178405761718
10,0,246.6785750389099,10.599523305892944,257.3205635547638,8.4,476.005376,2139.8528,46.0,64.0,1.872149381128146,99.43,100.0,0.9942532777786255,,1.0,32,4,0.001,,0.02629114990234375,0.017219390869140625,0.02629114990234375,0.017219390869140625
11,0,246.52857494354248,10.662566900253296,257.23603415489197,8.3,450.294784,2139.856896,46.0,65.0,1.771028529708942,99.41,100.0,0.9940431714057922,,1.0,32,4,0.001,,0.022967513020833333,0.01775258331298828,0.022967513020833333,0.01775258331298828
12,0,250.93298268318176,10.583669900894165,261.5602934360504,2.7,4501.525504,2139.856896,42.0,65.0,17.70469118913095,99.19,99.99,0.991928219795227,,1.0,32,4,0.001,,0.01951607666015625,0.02753291931152344,0.01951607666015625,0.02753291931152344
13,0,241.63668036460876,10.498649597167969,252.18659019470215,2.7,476.005376,2137.120768,41.0,67.0,1.872149381128146,99.6,100.0,0.9959856271743774,,1.0,32,4,0.001,,0.01797000732421875,0.013475630187988282,0.01797000732421875,0.013475630187988282
14,0,237.4903450012207,10.64223051071167,248.18916821479797,2.9,392.97536,2137.6,43.0,67.0,1.545588798187461,99.24,100.0,0.9924153089523315,,1.0,32,4,0.001,,0.018584537760416665,0.024150437927246093,0.018584537760416665,0.024150437927246093
15,0,249.54986000061035,10.512648820877075,260.1078293323517,2.8,393.591296,2139.049984,43.0,66.0,1.5480113006619172,99.47,100.0,0.9946373105049133,,1.0,32,4,0.001,,0.016213344319661458,0.017873583984375,0.016213344319661458,0.017873583984375
16,0,244.0751838684082,10.527800798416138,254.65389394760132,2.6,476.005376,2137.083904,41.0,66.0,1.872149381128146,99.35,100.0,0.9936290383338928,,1.0,32,4,0.001,,0.014875178019205728,0.019715422058105468,0.014875178019205728,0.019715422058105468
17,0,242.02349042892456,10.55944299697876,252.62503266334534,2.8,476.005376,2139.05408,42.0,67.0,1.872149381128146,99.47,99.99,0.9946703910827637,,1.0,32,4,0.001,,0.014656633504231771,0.019677633666992187,0.014656633504231771,0.019677633666992187
18,0,238.09294509887695,10.533130168914795,248.66814279556274,2.7,476.005376,2139.07456,43.0,67.0,1.872149381128146,99.48,100.0,0.9948068857192993,,1.0,32,4,0.001,,0.013389117431640625,0.017616160583496094,0.013389117431640625,0.017616160583496094
19,0,241.1667399406433,10.484518051147461,251.6936902999878,2.8,500.938752,2139.07456,43.0,67.0,1.9702134089760908,99.44,100.0,0.9943647980690002,,1.0,32,4,0.001,,0.011465723673502605,0.01720635986328125,0.011465723673502605,0.01720635986328125
20,0,239.14361476898193,10.508433818817139,249.69419360160828,2.8,4648.087552,2139.07456,46.0,67.0,18.281125954985512,99.47,100.0,0.9947052597999573,,1.0,32,4,0.001,,0.011256983439127604,0.017508740234375,0.011256983439127604,0.017508740234375
