epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,2,116.82637619972229,2.826035499572754,119.79752564430237,12.4,200.540672,1805.59872,43.0,61.0,0.788734988942273,10.3,29.0,0.07738076150417328,,0.25,32,4,0.001,,4.65238,4.36157265625,4.649104375,4.4044859375
2,2,117.4617748260498,2.6720194816589355,120.2331874370575,11.8,202.95424,1930.407936,44.0,60.0,0.798227654498871,19.15,43.49,0.16984494030475616,,0.25,32,4,0.001,,4.07706625,3.6261578125,4.0835671875,3.59835
3,2,117.60806822776794,2.6912972927093506,120.39744138717651,12.3,202.95424,1930.752,45.0,61.0,0.798227654498871,26.19,52.76,0.2377375215291977,,0.25,32,4,0.001,,3.698389375,3.232072265625,3.70229625,3.23125234375
4,2,120.0796685218811,2.622145414352417,122.77962970733643,11.9,4260.377088,1932.414976,45.0,61.0,16.75624421660257,30.49,58.06,0.28807973861694336,,0.25,32,4,0.001,,3.41277,2.994118359375,3.3998603125,2.9985232421875
5,2,116.36343336105347,2.6865689754486084,119.12737822532654,12.1,202.95424,1931.354112,49.0,62.0,0.798227654498871,33.8,62.6,0.31894975900650024,,0.25,32,4,0.001,,3.1911890625,2.769738671875,3.1990065625,2.777809765625
6,2,121.1428279876709,2.6680891513824463,123.99196076393127,12.0,202.95424,1932.77952,45.0,61.0,0.798227654498871,38.43,66.21,0.3722801208496094,,0.25,32,4,0.001,,3.0345915625,2.6011392578125,3.0138875,2.6209201171875
7,2,117.56700325012207,2.6614933013916016,120.31111550331116,12.2,4195.926528,1932.066816,45.0,61.0,16.50275742401357,40.59,68.2,0.39487630128860474,,0.25,32,4,0.001,,2.891534375,2.4823228515625,2.9010790625,2.5369716796875
8,2,118.39865851402283,2.6868953704833984,121.1714916229248,12.1,4335.936,1933.635584,46.0,61.0,17.05342062987803,43.86,70.63,0.4324483275413513,,0.25,32,4,0.001,,2.7775321875,2.356665625,2.776845625,2.4109970703125
9,2,119.60097670555115,2.7063405513763428,122.43528747558594,11.7,202.95424,1932.541952,46.0,61.0,0.798227654498871,45.43,72.62,0.44775906205177307,,0.25,32,4,0.001,,2.6681590625,2.257428515625,2.6905815625,2.298495703125
10,2,118.89318919181824,2.635690927505493,121.62198948860168,11.7,174.580736,1933.688832,44.0,61.0,0.6866334569702345,47.95,73.82,0.473580539226532,,0.25,32,4,0.001,,2.5768184375,2.182430859375,2.5670540625,2.218113671875
11,2,119.56085848808289,2.6918680667877197,122.32607698440552,11.6,188.443648,1932.812288,44.0,60.0,0.7411568792465281,48.33,74.77,0.4784946143627167,,0.25,32,4,0.001,,2.4960971875,2.137233984375,2.49135625,2.1737806640625
12,2,119.06597208976746,2.663642644882202,121.83431100845337,12.0,202.95424,1942.257664,45.0,60.0,0.798227654498871,48.5,74.88,0.47728872299194336,,0.25,32,4,0.001,,2.4279353125,2.14610703125,2.439695625,2.195355859375
13,2,116.31845927238464,2.6850810050964355,119.09135031700134,12.4,202.95424,1933.078528,44.0,61.0,0.798227654498871,50.87,76.78,0.502898633480072,,0.25,32,4,0.001,,2.35126765625,2.03317265625,2.36066046875,2.0770615234375
14,2,118.9404969215393,2.6510696411132812,121.68525171279907,12.0,4247.8208,1933.713408,44.0,60.0,16.706859802069268,51.11,76.65,0.5102715492248535,,0.25,32,4,0.001,,2.28959953125,2.01106171875,2.26464703125,2.0759384765625
15,2,119.21127343177795,2.6482491493225098,121.92200541496277,12.0,3268.215296,1933.344768,48.0,60.0,12.854029707008898,52.93,77.84,0.5235177874565125,,0.25,32,4,0.001,,2.2311540625,1.955607421875,2.23548125,2.0171556640625
16,2,119.05604815483093,2.688542127609253,121.83732557296753,11.1,188.443648,1933.697024,43.0,59.0,0.7411568792465281,53.82,78.45,0.5369776487350464,,0.25,32,4,0.001,,2.17374984375,1.9118732421875,2.16896796875,1.992378125
17,2,118.93346428871155,2.756913900375366,121.75700068473816,12.2,4263.586816,1933.459456,46.0,61.0,16.76886821328783,53.77,78.77,0.5327702164649963,,0.25,32,4,0.001,,2.1237965625,1.9024408203125,2.1291325,1.94674296875
18,2,119.52106213569641,2.645481824874878,122.25532245635986,11.9,174.58176,1933.709312,47.0,60.0,0.6866374844057697,54.56,79.37,0.5413912534713745,,0.25,32,4,0.001,,2.0676346875,1.87293984375,2.0571509375,1.9479251953125
19,2,118.61609625816345,2.6191747188568115,121.33910250663757,11.7,202.95424,1933.615104,43.0,61.0,0.798227654498871,54.76,79.88,0.5434967875480652,,0.25,32,4,0.001,,2.02735625,1.85506640625,2.012000625,1.9013591796875
20,2,118.64904165267944,2.721987724304199,121.45500016212463,11.9,2096.759296,1933.705216,45.0,60.0,8.246643454676208,56.16,79.62,0.5586680173873901,,0.25,32,4,0.001,,1.9772596875,1.8250904296875,1.960583125,1.8542185546875
