ts,event,job_id,queue_len_after,note
2025-11-16 03:37:39,enqueue,job-98202802b4c6,1,"g=2, batch=64"
2025-11-16 03:37:39,dequeue_start,job-98202802b4c6,0,"g=2, cluster=clusterA"
2025-11-16 03:40:56,enqueue,job-316b11d29a0f,1,"g=2, batch=128"
2025-11-16 03:40:57,dequeue_start,job-316b11d29a0f,0,"g=2, cluster=clusterB"
2025-11-16 03:45:57,enqueue,job-938ebc6aaec8,1,"g=2, batch=64"
2025-11-16 03:45:58,dequeue_start,job-938ebc6aaec8,0,"g=2, cluster=clusterA"
2025-11-16 03:49:46,enqueue,job-5d330f53eae3,1,"g=1, batch=32"
2025-11-16 03:49:46,enqueue,job-16ef103017c5,2,"g=2, batch=64"
2025-11-16 03:49:46,dequeue_start,job-5d330f53eae3,1,"g=1, cluster=clusterB"
2025-11-16 03:55:29,enqueue,job-94a18449106f,2,"g=4, batch=32"
2025-11-16 03:59:06,enqueue,job-5b8961f0d74d,3,"g=2, batch=64"
2025-11-16 04:00:32,enqueue,job-74b0a5fd98ce,4,"g=1, batch=64"
2025-11-16 04:02:05,enqueue,job-b5ede0372f9a,5,"g=1, batch=128"
2025-11-16 04:03:46,dequeue_start,job-16ef103017c5,4,"g=2, cluster=clusterB"
2025-11-16 04:11:35,enqueue,job-614e3b650edd,5,"g=2, batch=16"
2025-11-16 04:13:08,enqueue,job-f294906848fd,6,"g=1, batch=16"
2025-11-16 04:14:02,enqueue,job-d8d3877756cc,7,"g=1, batch=16"
2025-11-16 04:24:47,enqueue,job-51deb50f3a91,8,"g=2, batch=256"
2025-11-16 04:31:21,enqueue,job-3cefdaf69d8e,9,"g=4, batch=32"
2025-11-16 04:34:18,enqueue,job-4a4f6e9966d1,10,"g=2, batch=32"
2025-11-16 04:35:01,enqueue,job-1dfe3da38118,11,"g=1, batch=128"
2025-11-16 04:47:18,enqueue,job-01f4dfe1d054,12,"g=4, batch=8"
2025-11-16 04:48:21,dequeue_start,job-94a18449106f,11,"g=4, cluster=clusterA"
2025-11-16 04:48:21,dequeue_start,job-5b8961f0d74d,10,"g=2, cluster=clusterB"
2025-11-16 04:48:22,dequeue_start,job-74b0a5fd98ce,9,"g=1, cluster=clusterB"
2025-11-16 04:48:22,dequeue_start,job-b5ede0372f9a,8,"g=1, cluster=clusterB"
2025-11-16 04:48:56,enqueue,job-53b1cbef3adb,9,"g=1, batch=32"
2025-11-16 04:57:09,enqueue,job-c040b63345b8,10,"g=1, batch=64"
2025-11-16 04:58:19,dequeue_start,job-614e3b650edd,9,"g=2, cluster=clusterB"
2025-11-16 04:58:19,dequeue_start,job-f294906848fd,8,"g=1, cluster=clusterB"
2025-11-16 05:03:22,enqueue,job-9df025ec9ecd,9,"g=1, batch=64"
2025-11-16 05:06:04,dequeue_start,job-d8d3877756cc,8,"g=1, cluster=clusterB"
2025-11-16 05:19:30,dequeue_start,job-51deb50f3a91,7,"g=2, cluster=clusterA"
2025-11-16 05:19:41,dequeue_start,job-3cefdaf69d8e,6,"g=4, cluster=clusterA"
2025-11-16 05:24:59,enqueue,job-ca2cb78bf985,7,"g=1, batch=64"
2025-11-16 05:25:48,enqueue,job-b98ad5fc0c1a,8,"g=1, batch=8"
2025-11-16 05:36:02,dequeue_start,job-4a4f6e9966d1,7,"g=2, cluster=clusterA"
2025-11-16 05:36:02,dequeue_start,job-1dfe3da38118,6,"g=1, cluster=clusterA"
2025-11-16 05:38:25,enqueue,job-a91e00864f32,7,"g=1, batch=32"
2025-11-16 05:39:38,enqueue,job-277a49cfdb0d,8,"g=2, batch=8"
2025-11-16 05:42:31,enqueue,job-5f822b583946,9,"g=2, batch=32"
2025-11-16 05:47:23,enqueue,job-20eb9a7e068c,10,"g=2, batch=16"
2025-11-16 05:48:55,enqueue,job-a167a39a5dee,11,"g=2, batch=16"
2025-11-16 05:58:52,enqueue,job-a989c8b3f3cb,12,"g=2, batch=32"
2025-11-16 05:59:54,enqueue,job-5adafa9ccb54,13,"g=1, batch=64"
2025-11-16 06:04:52,enqueue,job-71edc16723dc,14,"g=2, batch=64"
2025-11-16 06:28:02,enqueue,job-0353dfff1a17,15,"g=1, batch=32"
2025-11-16 06:28:10,enqueue,job-863718ab7985,16,"g=2, batch=32"
