ts,cluster,queue_len,slots_total,slots_used,free,U_t,E_t,p_fair,lam_time,lam_cost,lam_fair
2025-11-16 18:05:52,clusterA,0,4,0,4,0.0,0.0,0.0,1.0,0.0,0.0
2025-11-16 18:05:52,clusterB,0,4,0,4,0.0,0.0,0.0,1.0,0.0,0.0
2025-11-16 18:05:57,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-16 18:05:57,clusterB,0,4,0,4,0.0,0.0,0.0,1.0,0.0,0.0
2025-11-16 18:06:02,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-16 18:06:02,clusterB,0,4,0,4,0.0,0.01,0.0,0.99,0.01,0.0
2025-11-16 18:06:08,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-16 18:06:08,clusterB,0,4,0,4,0.0,0.04,0.0,0.96,0.04,0.0
2025-11-16 18:06:13,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-16 18:06:13,clusterB,0,4,0,4,0.0,0.07,0.0,0.9299999999999999,0.07,0.0
2025-11-16 18:06:18,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-16 18:06:18,clusterB,0,4,0,4,0.0,0.11,0.0,0.89,0.11,0.0
2025-11-16 18:06:23,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-16 18:06:23,clusterB,0,4,0,4,0.0,0.15,0.0,0.85,0.15,0.0
2025-11-16 18:06:28,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-16 18:06:28,clusterB,0,4,0,4,0.0,0.18,0.0,0.8200000000000001,0.18,0.0
2025-11-16 18:06:33,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-16 18:06:33,clusterB,0,4,0,4,0.0,0.22,0.0,0.78,0.22,0.0
2025-11-16 18:06:38,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-16 18:06:38,clusterB,0,4,0,4,0.0,0.26,0.0,0.74,0.26,0.0
2025-11-16 18:06:43,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-16 18:06:43,clusterB,0,4,0,4,0.0,0.29,0.0,0.71,0.29,0.0
2025-11-16 18:06:48,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-16 18:06:48,clusterB,0,4,0,4,0.0,0.33,0.0,0.6699999999999999,0.33,0.0
2025-11-16 18:06:53,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-16 18:06:53,clusterB,0,4,0,4,0.0,0.37,0.0,0.63,0.37,0.0
2025-11-16 18:06:58,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
