epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,1,117.45459842681885,4.959535360336304,122.5540657043457,20.0,3833.316864,2518.212608,0.0,49.0,23.064124696871115,93.51,99.97,0.9366912245750427,,0.5,64,4,0.001,,0.5300970377604166,0.441209423828125,0.5304888997395834,0.4187857421875
2,1,122.37091040611267,4.84211277961731,127.39684557914734,21.3,6457.581056,2707.29216,0.0,51.0,38.85367685475444,98.04,100.0,0.9801824688911438,,0.5,64,4,0.001,,0.07782913411458334,0.06739296264648438,0.07629202473958334,0.06663779296875
3,1,121.44657945632935,4.9583213329315186,126.49756479263306,21.2,507.787264,2708.320256,0.0,56.0,3.055231067999448,98.9,99.99,0.9889824390411377,,0.5,64,4,0.001,,0.05571875813802083,0.03434569702148438,0.056712801106770835,0.037104315185546875
4,1,123.24280190467834,4.808818340301514,128.28071856498718,20.5,6712.558592,2708.365312,0.0,53.0,40.38781397251631,99.21,100.0,0.9920575022697449,,0.5,64,4,0.001,,0.039123763020833334,0.02419471130371094,0.037423787434895835,0.02429065704345703
5,1,121.87910985946655,4.9279139041900635,127.14328718185425,20.6,507.787264,2708.557824,0.0,54.0,3.055231067999448,98.73,99.98,0.9873015880584717,,0.5,64,4,0.001,,0.03820243326822917,0.038644793701171874,0.03937626139322917,0.040858587646484375
6,1,122.5191764831543,5.172346353530884,127.76693725585938,21.0,6479.10656,2708.983808,0.0,54.0,38.983190517734265,99.25,100.0,0.9923892021179199,,0.5,64,4,0.001,,0.03400457763671875,0.025045994567871092,0.034012809244791664,0.02377601623535156
7,1,120.82113575935364,4.875184535980225,125.7450168132782,10.7,6640.38912,2708.93056,0.0,55.0,39.95358801088306,99.0,100.0,0.989921510219574,,0.5,64,4,0.001,,0.030636812337239583,0.030808935546875,0.030671877034505208,0.02970472412109375
8,1,118.43042373657227,4.78408408164978,123.347158908844,12.9,507.787264,2709.38112,0.0,59.0,3.055231067999448,99.26,100.0,0.9925681948661804,,0.5,64,4,0.001,,0.030756783040364583,0.022625439453125,0.03244023640950521,0.022530587768554686
9,1,117.54030179977417,4.829754114151001,122.43887782096863,11.3,6457.581056,2710.458368,0.0,55.0,38.85367685475444,99.19,100.0,0.9918241500854492,,0.5,64,4,0.001,,0.029900815836588542,0.02461417236328125,0.02925859375,0.022789958190917968
10,1,117.22108936309814,4.862353086471558,122.14384412765503,10.8,4593.248256,2710.953984,0.0,55.0,27.63644496362453,99.3,99.99,0.9928982257843018,,0.5,64,4,0.001,,0.0255623046875,0.021424134826660158,0.025040592447916666,0.017686770629882814
11,1,116.22121381759644,4.938975095748901,121.21954250335693,11.0,8373.300224,2710.802432,0.0,56.0,50.38008788273102,99.3,99.99,0.9929178953170776,,0.5,64,4,0.001,,0.026198079427083333,0.023297193908691408,0.025308805338541667,0.02377729187011719
12,1,116.71413087844849,4.9404380321502686,121.71822357177734,10.7,4043.689984,2710.847488,0.0,54.0,24.329888014826203,99.31,99.99,0.9930930733680725,,0.5,64,4,0.001,,0.028382332356770835,0.02327209930419922,0.028297660319010418,0.021835165405273436
13,1,113.73327779769897,4.842264175415039,118.64414501190186,13.6,507.787264,2710.679552,0.0,55.0,3.055231067999448,99.26,100.0,0.9924491047859192,,0.5,64,4,0.001,,0.020908528645833334,0.024109860229492186,0.02223670857747396,0.021594497680664064
14,1,117.30347442626953,4.801270008087158,122.18992114067078,10.6,507.787264,2710.07744,0.0,57.0,3.055231067999448,99.38,99.99,0.9937350749969482,,0.5,64,4,0.001,,0.021131390380859375,0.021075921630859376,0.02060521240234375,0.02008772430419922
15,1,117.9606831073761,4.873667478561401,122.89770174026489,9.5,507.787264,2710.28224,0.0,59.0,3.055231067999448,99.41,100.0,0.9941246509552002,,0.5,64,4,0.001,,0.02214876708984375,0.01866131286621094,0.022703871663411458,0.020304888916015625
16,1,117.98218560218811,4.949934482574463,122.99412894248962,10.8,427.600384,2710.60992,0.0,57.0,2.572766334457128,99.3,100.0,0.9930312633514404,,0.5,64,4,0.001,,0.02789165445963542,0.018996511840820313,0.02803159993489583,0.017450196838378906
17,1,117.50705671310425,4.86611533164978,122.51608395576477,10.9,10092.564992,2710.601728,0.0,55.0,60.72448110743084,99.25,99.99,0.9924406409263611,,0.5,64,4,0.001,,0.017617215983072917,0.02203276062011719,0.016560321044921875,0.018570542907714843
18,1,118.13893795013428,5.003711700439453,123.22846484184265,10.3,507.787264,2710.601728,0.0,58.0,3.055231067999448,99.25,100.0,0.9924358129501343,,0.5,64,4,0.001,,0.016585777791341145,0.02212084045410156,0.015117000325520833,0.020941862487792968
19,1,116.3992714881897,4.84570574760437,121.30070638656616,10.5,3722.425344,2710.44608,0.0,56.0,22.396917696811972,99.32,99.99,0.993131160736084,,0.5,64,4,0.001,,0.01655059814453125,0.023505709838867187,0.01768538614908854,0.0225060302734375
20,1,115.30221319198608,4.8805670738220215,120.2420244216919,10.5,8284.487168,2709.917696,0.0,56.0,49.84572156996116,99.4,100.0,0.9940212965011597,,0.5,64,4,0.001,,0.01543294677734375,0.021016725158691407,0.016407479858398438,0.0219396484375
