ts,event,job_id,cluster,world_size,note,metadata_json
2025-11-13 17:08:20,submitted,job-50f9e9e35a7b,-,2,,"{""model"": ""DenseNet-121"", ""dataset"": ""TinyImageNet"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""user_request"": ""Maximize GPU utilization for this run — I’m fine if it uses more energy temporarily.""}"
2025-11-13 17:08:20,started,job-50f9e9e35a7b,clusterA,2,"started_on=clusterA, g=2, nodes=['node_a', 'node_b'], queued_ms=510","{""model"": ""DenseNet-121"", ""dataset"": ""TinyImageNet"", ""nodes"": [""node_a"", ""node_b""], ""queued_ms"": 510, ""started_ts"": 1763021300.9298756}"
2025-11-13 17:12:42,submitted,job-fcfd6dcd4015,-,2,,"{""model"": ""ResNet-50"", ""dataset"": ""CIFAR-10"", ""epochs"": 20, ""batch_size_per_gpu"": 128, ""user_request"": ""Please minimize queue waiting time. Start as soon as a slot is available.""}"
2025-11-13 17:12:43,started,job-fcfd6dcd4015,clusterB,2,"started_on=clusterB, g=2, nodes=['node_e', 'node_f'], queued_ms=352","{""model"": ""ResNet-50"", ""dataset"": ""CIFAR-10"", ""nodes"": [""node_e"", ""node_f""], ""queued_ms"": 352, ""started_ts"": 1763021563.2559912}"
2025-11-13 17:12:47,finished,job-fcfd6dcd4015,clusterB,2,exit=2,"{""end_ts"": 1763021567.9246082, ""jct_ms"": 4668}"
2025-11-13 17:19:24,submitted,job-8c3437aa4f56,-,2,,"{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""user_request"": ""This job is for testing only — minimal cost and stable runtime are more important than raw speed.""}"
2025-11-13 17:19:25,started,job-8c3437aa4f56,clusterB,2,"started_on=clusterB, g=2, nodes=['node_e', 'node_f'], queued_ms=1005","{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""nodes"": [""node_e"", ""node_f""], ""queued_ms"": 1005, ""started_ts"": 1763021965.7571788}"
2025-11-13 17:24:29,submitted,job-d848a01794f9,-,1,,"{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""user_request"": ""Please keep the cost reasonable while still maintaining decent speed.""}"
2025-11-13 17:24:30,started,job-d848a01794f9,clusterA,1,"started_on=clusterA, g=1, nodes=['node_c'], queued_ms=450","{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""nodes"": [""node_c""], ""queued_ms"": 450, ""started_ts"": 1763022270.1051145}"
2025-11-13 17:24:30,submitted,job-f708f126c3ef,-,2,,"{""model"": ""DenseNet-121"", ""dataset"": ""TinyImageNet"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""user_request"": ""Maximize GPU utilization for this run — I’m fine if it uses more energy temporarily.""}"
2025-11-13 17:24:31,started,job-f708f126c3ef,clusterB,2,"started_on=clusterB, g=2, nodes=['node_g', 'node_h'], queued_ms=822","{""model"": ""DenseNet-121"", ""dataset"": ""TinyImageNet"", ""nodes"": [""node_g"", ""node_h""], ""queued_ms"": 822, ""started_ts"": 1763022271.1550655}"
