job_id,cluster,model,dataset,world_size,submitted_ts,started_ts,end_ts,queued_ms,jct_ms,status
job-50f9e9e35a7b,clusterA,DenseNet-121,TinyImageNet,2,1763021300.4197953,1763021300.9298756,,510,,running
job-fcfd6dcd4015,clusterB,ResNet-50,CIFAR-10,2,1763021562.9032419,1763021563.2559912,,352,,running
job-fcfd6dcd4015,clusterB,ResNet-50,CIFAR-10,2,1763021562.9032419,1763021563.2559912,1763021567.9246082,352,4668,completed
job-8c3437aa4f56,clusterB,DistilBERT,SST-2,2,1763021964.7518418,1763021965.7571788,,1005,,running
job-d848a01794f9,clusterA,ResNet-18,CIFAR-100,1,1763022269.6549916,1763022270.1051145,,450,,running
job-f708f126c3ef,clusterB,DenseNet-121,TinyImageNet,2,1763022270.3330102,1763022271.1550655,,822,,running
job-d848a01794f9,clusterA,ResNet-18,CIFAR-100,1,1763022269.6549916,1763022270.1051145,1763023811.3185527,450,1541213,completed
job-50f9e9e35a7b,clusterA,DenseNet-121,TinyImageNet,2,1763021300.4197953,1763021300.9298756,1763024760.2089467,510,3459279,completed
job-5335a771edfa,clusterA,ResNet-50,CIFAR-10,4,1763022727.850651,1763024765.3719122,,2037521,,running
job-5335a771edfa,clusterA,ResNet-50,CIFAR-10,4,1763022727.850651,1763024765.3719122,1763024848.300155,2037521,82928,completed
job-439d5bc05fb2,clusterA,EfficientNetV2-S,MNIST,2,1763023017.0064096,1763024853.384166,,1836377,,running
job-62a0961db041,clusterA,EfficientNetV2-S,MNIST,1,1763023131.4808054,1763024853.4049442,,1721924,,running
job-000526b78c79,clusterA,ResNet-18,CIFAR-100,1,1763023255.2388358,1763024853.4246237,,1598185,,running
job-8c3437aa4f56,clusterB,DistilBERT,SST-2,2,1763021964.7518418,1763021965.7571788,1763025142.023158,1005,3176265,completed
job-297a6b7f9031,clusterB,DistilBERT,SST-2,2,1763024014.8019702,1763025147.1331785,,1132331,,running
job-f708f126c3ef,clusterB,DenseNet-121,TinyImageNet,2,1763022270.3330102,1763022271.1550655,1763025634.533306,822,3363378,completed
job-fefc856a4fca,clusterB,DistilBERT,SST-2,1,1763024138.6184516,1763025639.5883424,,1500969,,running
job-d5430502e292,clusterB,DistilBERT,SST-2,1,1763024211.550491,1763025639.611325,,1428060,,running
job-fefc856a4fca,clusterB,DistilBERT,SST-2,1,1763024138.6184516,1763025639.5883424,1763025642.5451548,1500969,2956,completed
job-d5430502e292,clusterB,DistilBERT,SST-2,1,1763024211.550491,1763025639.611325,1763025644.4422767,1428060,4830,completed
job-d5843aaa7954,clusterB,EfficientNetV2-S,MNIST,2,1763025071.7015963,1763025649.5415702,,577839,,running
job-d5843aaa7954,clusterB,EfficientNetV2-S,MNIST,2,1763025071.7015963,1763025649.5415702,1763025652.5699034,577839,3028,completed
job-000526b78c79,clusterA,ResNet-18,CIFAR-100,1,1763023255.2388358,1763024853.4246237,1763025740.382178,1598185,886957,completed
job-439d5bc05fb2,clusterA,EfficientNetV2-S,MNIST,2,1763023017.0064096,1763024853.384166,1763027350.254135,1836377,2496869,completed
job-62a0961db041,clusterA,EfficientNetV2-S,MNIST,1,1763023131.4808054,1763024853.4049442,1763028894.7167122,1721924,4041311,completed
job-3c0418cd690b,clusterA,ResNet-18,CIFAR-100,4,1763025597.1904485,1763028899.869411,,3302678,,running
job-df8b6fb11616,clusterB,DenseNet-121,TinyImageNet,2,1763025833.2433789,1763028899.918478,,3066675,,running
job-3c0418cd690b,clusterA,ResNet-18,CIFAR-100,4,1763025597.1904485,1763028899.869411,1763029871.2868752,3302678,971417,completed
job-f2ee5c68462c,clusterA,EfficientNetV2-S,MNIST,1,1763025890.076393,1763029876.3420794,,3986265,,running
job-f2ee5c68462c,clusterA,EfficientNetV2-S,MNIST,1,1763025890.076393,1763029876.3420794,1763029884.2995431,3986265,7957,completed
