epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,4.912416934967041,0.9343063831329346,5.852892875671387,0.0,259.185664,1021.5424,62.0,51.0,1.019388235764143,0.0,0.0,0.0,,1.0,32,4,0.001,,3.1853687507681907,2.9244012665330317,3.1853687507681907,2.9244012665330317
2,0,4.030385732650757,0.8673911094665527,4.903447866439819,16.0,672.98048,1943.904256,55.0,57.0,2.646860839536658,0.0,0.0,0.0,,1.0,32,4,0.001,,2.932657037395526,2.9162993849369516,2.932657037395526,2.9162993849369516
3,0,3.9577603340148926,0.9215006828308105,4.883416175842285,15.5,1431.699456,1936.908288,57.0,57.0,5.630934829004754,0.0,0.0,0.0,,1.0,32,4,0.001,,2.929214342505531,2.912120082922149,2.929214342505531,2.912120082922149
4,0,4.013506889343262,0.963299036026001,4.981108903884888,15.9,2251.571712,1937.657856,62.0,57.0,8.855527268638328,0.0,0.0,0.0,,1.0,32,4,0.001,,2.9250874777224682,2.905238101356908,2.9250874777224682,2.905238101356908
5,0,4.207791090011597,0.9243631362915039,5.137399196624756,15.3,1903.261696,1937.825792,59.0,54.0,7.485609167345425,0.0,0.0,0.0,,1.0,32,4,0.001,,2.920105040483653,2.8981767620956687,2.920105040483653,2.8981767620956687
6,0,4.111347913742065,0.9216430187225342,5.038050889968872,16.2,666.917888,2029.047808,60.0,52.0,2.623016407450176,0.0,0.0,0.0,,1.0,32,4,0.001,,2.9121852338372665,2.8951009114583335,2.9121852338372665,2.8951009114583335
7,0,3.979752779006958,0.9257304668426514,4.912986993789673,16.2,666.585088,1943.687168,58.0,53.0,2.6217074909012177,1.9095370644017229,0.0,0.0,,1.0,32,4,0.001,,2.9059052743977385,2.8884199711314418,2.9059052743977385,2.8884199711314418
8,0,4.07409405708313,0.9139823913574219,4.99406623840332,16.2,2128.682496,1943.666688,57.0,57.0,8.372198757487809,1.6728852924547732,0.0,0.0,,1.0,32,4,0.001,,2.89609499830998,2.881237364651864,2.89609499830998,2.881237364651864
9,0,4.020098447799683,0.9138731956481934,4.939727306365967,15.4,1937.050112,1943.928832,54.0,57.0,7.618500443984494,0.15948780795984607,0.0,0.0,,1.0,32,4,0.001,,2.8444089636338497,2.8005084656832513,2.8444089636338497,2.8005084656832513
10,0,4.001466751098633,0.9518342018127441,4.9580841064453125,15.9,1943.82336,1944.055808,59.0,56.0,7.645139916332444,1.0776720548930974,0.0,0.0,,1.0,32,4,0.001,,2.741843734636185,2.6901408413000274,2.741843734636185,2.6901408413000274
11,0,4.075136661529541,0.9508895874023438,5.029716968536377,15.2,666.302976,1944.879104,57.0,53.0,2.6205979324112545,0.0,0.0,0.0,,1.0,32,4,0.001,,2.5773481670968534,2.472446374725877,2.5773481670968534,2.472446374725877
12,0,3.9564008712768555,0.9750561714172363,4.9375832080841064,16.1,666.316288,1953.132544,56.0,52.0,2.620650289073213,0.0,0.0,0.0,,1.0,32,4,0.001,,2.3192776030143807,2.2152752792626096,2.3192776030143807,2.2152752792626096
13,0,4.038793325424194,1.0556306838989258,5.099229335784912,16.3,666.917888,1946.087424,57.0,53.0,2.623016407450176,0.0,0.0,0.0,,1.0,32,4,0.001,,2.03671399681969,1.9384546112595944,2.03671399681969,1.9384546112595944
14,0,3.975860357284546,0.9977810382843018,4.980578899383545,15.9,1957.321728,1953.849344,54.0,57.0,7.698229571558186,0.0,0.0,0.0,,1.0,32,4,0.001,,1.7359206238093043,1.7229966280753153,1.7359206238093043,1.7229966280753153
15,0,4.132663011550903,1.0508053302764893,5.188779592514038,15.2,1712.781312,1945.899008,57.0,56.0,6.736441718819272,6.041322674667626,0.0,0.0,,1.0,32,4,0.001,,1.466189644212451,1.5376434326171875,1.466189644212451,1.5376434326171875
16,0,4.051134347915649,1.02409029006958,5.080127954483032,16.0,1889.760768,1955.34848,54.0,55.0,7.432509443530844,8.07065461811266,0.0,0.0,,1.0,32,4,0.001,,1.2347903031280727,1.4202848735608553,1.2347903031280727,1.4202848735608553
17,0,4.051304340362549,0.9992349147796631,5.057409286499023,14.9,666.546688,2013.319168,56.0,52.0,2.6215564620686456,12.102341233638292,0.0,0.0,,1.0,32,4,0.001,,1.0304424394665683,1.3171144452011376,1.0304424394665683,1.3171144452011376
18,0,3.958639144897461,1.1093404293060303,5.07243537902832,16.4,667.097088,2073.341952,55.0,52.0,2.623721208668846,17.079497220223406,0.0,0.0,,1.0,32,4,0.001,,0.8822278348159415,1.2272876940275494,0.8822278348159415,1.2272876940275494
19,0,4.0201191902160645,0.9741528034210205,4.9998390674591064,14.7,1416.588288,1946.894336,56.0,56.0,5.5715019628109825,20.70447687517133,0.0,0.0,,1.0,32,4,0.001,,0.721521968335177,1.1634599116810582,0.721521968335177,1.1634599116810582
20,0,4.094214916229248,0.9859850406646729,5.08501672744751,16.2,1894.500352,1947.119616,62.0,56.0,7.451150428905776,20.319533766361708,0.0,0.0,,1.0,32,4,0.001,,0.5818485046206674,1.192927310341283,0.5818485046206674,1.192927310341283
