epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,587.1539907455444,10.496625423431396,597.6921117305756,0.0,58.438144,1046.634496,47.0,51.0,0.22983970484374844,10.92,30.21,0.08283684402704239,,1.0,16,4,0.001,,4.80579375,4.209108203125,4.80579375,4.209108203125
2,0,600.8083167076111,10.205846548080444,611.061532497406,9.6,219.54048,1977.749504,47.0,64.0,0.8634620415811777,18.99,42.44,0.16252170503139496,,1.0,16,4,0.001,,4.187280625,3.701265234375,4.187280625,3.701265234375
3,0,558.9095003604889,10.240529537200928,569.1919584274292,9.5,2194.363904,1981.435904,51.0,65.0,8.63052652759019,24.99,51.53,0.22193950414657593,,1.0,16,4,0.001,,3.821158125,3.287371484375,3.821158125,3.287371484375
4,0,598.9011771678925,10.21504282951355,609.1588280200958,9.8,2132.01664,1979.019264,47.0,64.0,8.3853120875906,30.7,56.86,0.2810356616973877,,1.0,16,4,0.001,,3.5577353125,3.0144703125,3.5577353125,3.0144703125
5,0,606.6950719356537,10.215857982635498,616.9510238170624,9.7,221.673472,1979.871232,50.0,65.0,0.8718511898011156,34.1,61.02,0.31953293085098267,,1.0,16,4,0.001,,3.37049875,2.833716796875,3.37049875,2.833716796875
6,0,575.175713300705,10.258431196212769,585.4789745807648,11.3,2265.132032,1981.902848,55.0,64.0,8.908860583713954,36.18,64.02,0.3473874032497406,,1.0,16,4,0.001,,3.224326875,2.7054349609375,3.224326875,2.7054349609375
7,0,607.2122406959534,9.93284821510315,617.1865544319153,11.0,192.163328,1981.927424,57.0,63.0,0.755786538828345,39.54,66.21,0.37558966875076294,,1.0,16,4,0.001,,3.084871875,2.58388515625,3.084871875,2.58388515625
8,0,599.9413578510284,9.928684711456299,609.9141244888306,10.9,2265.145344,1981.947904,55.0,63.0,8.908912940375911,41.72,68.82,0.40582075715065,,1.0,16,4,0.001,,2.9839428125,2.46662578125,2.9839428125,2.46662578125
9,0,584.4261248111725,9.92241382598877,594.3838374614716,10.1,485.921792,1982.652416,49.0,68.0,1.9111510668515637,41.63,69.25,0.40582114458084106,,1.0,16,4,0.001,,2.8874365625,2.44311796875,2.8874365625,2.44311796875
10,0,595.9964370727539,9.914748430252075,605.9445676803589,9.5,1767.983616,1979.469824,48.0,65.0,6.953554727371612,44.49,70.81,0.4317370653152466,,1.0,16,4,0.001,,2.8024496875,2.345873828125,2.8024496875,2.345873828125
