epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,1,63.37884974479675,3.541290521621704,67.07223773002625,0.0,89.876992,1214.328832,0.0,32.0,0.5407677539875002,11.39,34.45,0.08206052333116531,,0.5,32,4,0.001,,4.094351875,3.810529296875,4.092348125,3.811955859375
2,1,65.97442436218262,3.483320474624634,69.51313209533691,14.1,706.522112,2366.07488,0.0,32.0,4.250969765974645,18.82,45.9,0.1577746868133545,,0.5,32,4,0.001,,3.731611875,3.39074765625,3.7229746875,3.39621640625
3,1,65.18396711349487,3.462362051010132,68.7444109916687,14.1,291.226112,2354.245632,0.0,32.0,1.752235883559078,25.18,55.0,0.22516687214374542,,0.5,32,4,0.001,,3.421255,3.03176953125,3.422456875,3.02566328125
4,1,64.79842066764832,3.3533425331115723,68.56032395362854,13.8,291.226112,2355.642368,0.0,32.0,1.752235883559078,31.0,61.99,0.2894304394721985,,0.5,32,4,0.001,,3.12091125,2.72086328125,3.1203234375,2.7155345703125
5,1,65.29351568222046,3.5465593338012695,68.8918890953064,13.7,291.226112,2355.216384,0.0,32.0,1.752235883559078,35.24,67.16,0.3429987132549286,,0.5,32,4,0.001,,2.8719778125,2.4937884765625,2.8671615625,2.4788681640625
6,1,66.43520331382751,3.7050182819366455,70.24679398536682,14.0,243.086336,2355.478528,0.0,33.0,1.4625906922182133,42.43,73.68,0.4116722345352173,,0.5,32,4,0.001,,2.65351625,2.183362109375,2.654945625,2.170009375
7,1,65.81397891044617,3.540001153945923,69.4128634929657,14.1,291.226112,2354.62656,0.0,32.0,1.752235883559078,45.13,76.14,0.4380705952644348,,0.5,32,4,0.001,,2.47722140625,2.052740625,2.48624140625,2.049866015625
8,1,65.12353110313416,3.4224226474761963,68.64850068092346,14.0,291.226112,2356.14208,0.0,32.0,1.752235883559078,48.89,79.32,0.48057058453559875,,0.5,32,4,0.001,,2.32828125,1.894043359375,2.32624890625,1.8606712890625
9,1,67.31629776954651,3.4660942554473877,71.05412364006042,14.0,937.519104,2356.539392,0.0,32.0,5.640821848938309,52.49,81.42,0.5182806849479675,,0.5,32,4,0.001,,2.2046403125,1.745030078125,2.20394796875,1.722994140625
10,1,66.11884355545044,3.5745534896850586,69.81149458885193,13.7,937.519104,2356.34688,0.0,33.0,5.640821848938309,53.57,81.98,0.5280295014381409,,0.5,32,4,0.001,,2.0939646875,1.7172833984375,2.10806078125,1.70049375
11,1,65.81173086166382,3.544739246368408,69.52270650863647,13.8,291.226112,2356.371456,0.0,32.0,1.752235883559078,55.39,83.57,0.5447680354118347,,0.5,32,4,0.001,,2.00136609375,1.6327240234375,1.98918484375,1.60591962890625
12,1,65.81684041023254,3.767911195755005,69.6422872543335,14.1,941.789696,2355.838976,0.0,33.0,5.66651695057274,57.02,84.74,0.5684179067611694,,0.5,32,4,0.001,,1.918348125,1.577976953125,1.92163625,1.57693916015625
