job_id,cluster,model,dataset,world_size,submitted_ts,started_ts,end_ts,queued_sec,jct_sec,status
job-2600ae54821d,clusterA,DenseNet-121,TinyImageNet,2,1763195716.0656648,1763195716.2002242,,0.13455939292907715,,running
job-4db89ad4a87c,clusterB,ResNet-50,CIFAR-10,2,1763195978.547269,1763195979.5250978,,0.9778287410736084,,running
job-4db89ad4a87c,clusterB,ResNet-50,CIFAR-10,2,1763195978.547269,1763195979.5250978,1763196191.462062,0.9778287410736084,211.93696403503418,completed
job-246d7bf5c682,clusterB,DistilBERT,SST-2,2,1763196380.3950086,1763196380.998694,,0.6036853790283203,,running
job-7b5e3198d94d,clusterA,ResNet-18,CIFAR-100,1,1763196685.2976396,1763196685.3541238,,0.056484222412109375,,running
job-940cc1f75109,clusterB,DenseNet-121,TinyImageNet,2,1763196685.9748812,1763196686.402641,,0.42775988578796387,,running
job-7b5e3198d94d,clusterA,ResNet-18,CIFAR-100,1,1763196685.2976396,1763196685.3541238,1763198252.6069431,0.056484222412109375,1567.2528192996979,completed
job-2600ae54821d,clusterA,DenseNet-121,TinyImageNet,2,1763195716.0656648,1763195716.2002242,1763199187.32811,0.13455939292907715,3471.1278858184814,completed
job-e9f2a4290a76,clusterA,ResNet-50,CIFAR-10,4,1763197143.49383,1763199188.2868893,,2044.79305934906,,running
job-246d7bf5c682,clusterB,DistilBERT,SST-2,2,1763196380.3950086,1763196380.998694,1763199584.7791567,0.6036853790283203,3203.780462741852,completed
job-21993506e6d2,clusterB,EfficientNetV2-S,MNIST,2,1763197432.6490715,1763199585.7724426,,2153.1233711242676,,running
job-21993506e6d2,clusterB,EfficientNetV2-S,MNIST,2,1763197432.6490715,1763199585.7724426,1763199589.622966,2153.1233711242676,3.8505234718322754,completed
job-0f5b95bddd08,clusterB,EfficientNetV2-S,MNIST,1,1763197547.1234167,1763199589.802626,,2042.6792092323303,,running
job-75baf87d40c7,clusterB,ResNet-18,CIFAR-100,1,1763197670.8810887,1763199589.836072,,1918.9549832344055,,running
job-0f5b95bddd08,clusterB,EfficientNetV2-S,MNIST,1,1763197547.1234167,1763199589.802626,1763199594.6426156,2042.6792092323303,4.83998966217041,completed
job-940cc1f75109,clusterB,DenseNet-121,TinyImageNet,2,1763196685.9748812,1763196686.402641,1763200037.8951366,0.42775988578796387,3351.492495536804,completed
job-3147013b6118,clusterB,DistilBERT,SST-2,2,1763198430.4435112,1763200038.3620942,,1607.9185829162598,,running
job-ff7dfcfd5ea7,clusterB,DistilBERT,SST-2,1,1763198554.259115,1763200038.389568,,1484.1304531097412,,running
job-ff7dfcfd5ea7,clusterB,DistilBERT,SST-2,1,1763198554.259115,1763200038.389568,1763200053.4859815,1484.1304531097412,15.096413373947144,completed
job-7860837b2d0f,clusterB,DistilBERT,SST-2,1,1763198627.1910245,1763200054.4324045,,1427.2413799762726,,running
job-3147013b6118,clusterB,DistilBERT,SST-2,2,1763198430.4435112,1763200038.3620942,1763200060.1278176,1607.9185829162598,21.76572346687317,completed
job-31c7c20f2d59,clusterB,EfficientNetV2-S,MNIST,2,1763199487.3408487,1763200060.476707,,573.135858297348,,running
job-7860837b2d0f,clusterB,DistilBERT,SST-2,1,1763198627.1910245,1763200054.4324045,1763200063.5124497,1427.2413799762726,9.080045223236084,completed
job-31c7c20f2d59,clusterB,EfficientNetV2-S,MNIST,2,1763199487.3408487,1763200060.476707,1763200065.148239,573.135858297348,4.671531915664673,completed
job-75baf87d40c7,clusterB,ResNet-18,CIFAR-100,1,1763197670.8810887,1763199589.836072,1763200588.5352402,1918.9549832344055,998.6991682052612,completed
job-686c1753fbfe,clusterB,ResNet-18,CIFAR-100,4,1763200012.8285196,1763200589.1437016,,576.3151819705963,,running
job-e9f2a4290a76,clusterA,ResNet-50,CIFAR-10,4,1763197143.49383,1763199188.2868893,1763201074.6661367,2044.79305934906,1886.3792474269867,completed
job-8bfa327a9fa6,clusterA,DenseNet-121,TinyImageNet,2,1763200248.8806546,1763201075.7078009,,826.8271462917328,,running
