job_id,cluster,model,dataset,world_size,submitted_ts,started_ts,end_ts,queued_sec,jct_sec,final_accuracy,status
job-0d0ab97e57d4,clusterA,ResNet-18,CIFAR-100,2,1767161426.026295,1767161426.201504,1767162883.677506,0.175209,1457.651211,64.940000,finished
job-3fd7489698d4,clusterA,ResNet-18,CIFAR-100,2,1767161825.011277,1767162884.453638,1767164306.373467,1059.442360,2481.362190,64.600000,finished
job-4166b72a84b3,clusterA,EfficientNetV2-S,MNIST,2,1767161080.614436,1767161080.748473,1767165532.363671,0.134038,4451.749236,99.390000,finished
job-00586e9dccbf,clusterA,ResNet-18,CIFAR-100,1,1767162395.620789,1767164306.546341,1767165865.933553,1910.925552,3470.312764,64.570000,finished
job-48baf3ce7c64,clusterB,DistilBERT,SST-2,1,1767161644.248053,1767161644.361698,1767166069.966345,0.113645,4425.718292,50.917431,finished
job-8892a8a2f2ae,clusterB,DistilBERT,SST-2,1,1767161731.219291,1767161731.327395,1767166190.122511,0.108104,4458.903220,50.917431,finished
job-170335782f06,clusterB,DistilBERT,SST-2,2,1767161082.162591,1767161082.298033,1767166880.120092,0.135443,5797.957502,50.917431,finished
job-79b114936b0e,clusterB,ResNet-50,CIFAR-10,1,1767162545.254918,1767164306.640866,1767167952.153917,1761.385948,5406.898999,79.050000,finished
job-dfebb9d9381a,clusterA,DenseNet-121,TinyImageNet,4,1767162489.739601,1767165877.868468,1767169564.739194,3388.128867,7074.999593,55.980000,finished
job-538be18e13ff,clusterA,ResNet-18,CIFAR-100,1,1767168853.824091,1767169565.576211,1767171079.265111,711.752120,2225.441020,63.100000,finished
job-4cf423c90ae7,clusterB,DistilBERT,SST-2,1,1767165138.596608,1767166881.795470,1767171764.116021,1743.198862,6625.519413,50.917431,finished
job-e729e33238db,clusterB,DistilBERT,SST-2,1,1767163586.328730,1767165533.596830,1767171769.753823,1947.268100,8183.425093,50.917431,finished
job-4f8aefcba88c,clusterA,DistilBERT,SST-2,1,1767168917.296275,1767169565.483643,1767173530.423959,648.187367,4613.127684,50.917431,finished
job-568ad10280f0,clusterB,EfficientNetV2-S,MNIST,1,1767166861.999617,1767167952.305467,1767173638.869084,1090.305850,6776.869467,99.430000,finished
job-13cc60deab1b,clusterA,EfficientNetV2-S,MNIST,1,1767163808.353808,1767171079.644252,1767176792.965111,7271.290444,12984.611303,99.540000,finished
job-4c2e9977a89c,clusterA,DistilBERT,SST-2,2,1767163764.620058,1767169565.389015,1767177065.132964,5800.768958,13300.512906,50.917431,finished
job-aef414168c61,clusterB,DistilBERT,SST-2,1,1767174056.415597,1767174056.550053,1767177472.735210,0.134456,3416.319613,50.917431,finished
job-5f860341e763,clusterB,EfficientNetV2-S,MNIST,1,1767170606.883633,1767171765.150872,1767177529.089168,1158.267239,6922.205535,99.560000,finished
job-f97b75fa3a12,clusterA,DistilBERT,SST-2,1,1767165513.511845,1767176793.790985,1767179962.064191,11280.279140,14448.552346,50.917431,finished
job-6f837c056b95,clusterA,DistilBERT,SST-2,2,1767166811.735537,1767177066.223938,1767184213.804385,10254.488401,17402.068848,50.917431,finished
job-53057db2c0ae,clusterA,DeepSpeech2,ARCTIC,2,1767167693.360361,1767184214.628039,1767186112.841964,16521.267678,18419.481603,0.000000,failed
job-f3048b85e560,clusterA,ResNet-50,CIFAR-10,1,1767170617.451676,1767186113.909627,1767188355.891384,15496.457951,17738.439708,75.300000,finished
job-b126a5271bb7,clusterA,ResNet-50,CIFAR-10,1,1767169216.195852,1767186112.944160,1767188401.430789,16896.748308,19185.234937,78.380000,finished
job-69749c54c528,clusterA,ResNet-50,CIFAR-10,1,1767171107.924024,1767188356.323029,1767190558.060931,17248.399005,19450.136908,77.340000,finished
job-20488c92db18,clusterA,DistilBERT,SST-2,1,1767172712.974347,1767190558.706991,1767193660.887379,17845.732644,20947.913031,50.917431,finished
job-6c2b198632ed,clusterA,DistilBERT,SST-2,1,1767173125.772713,1767193661.251139,1767196780.346025,20535.478426,23654.573312,50.917431,finished
job-ac4b799b24be,clusterA,DistilBERT,SST-2,1,1767173475.223867,1767196780.749183,1767199883.145583,23305.525316,26407.921716,50.917431,finished
job-8bacb84d9264,clusterA,EfficientNetV2-S,MNIST,1,1767173529.708572,1767199883.289604,1767205269.199494,26353.581032,31739.490921,99.490000,finished
job-2198e4f3f7a6,clusterA,ResNet-18,CIFAR-100,1,1767173563.651602,1767205269.431896,1767206661.666296,31705.780294,33098.014694,63.900000,finished
