epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,64.50641298294067,5.442218780517578,70.17004489898682,12.2,286.207488,2152.910848,0.0,42.0,1.7220400573726857,17.77,44.23,0.1539035588502884,[0.00596597],1.0,32,4,0.00107223,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00107223, ""num_workers"": 4}]",3.857965,3.418373046875,3.857965,3.418373046875
2,0,65.58455777168274,5.7489049434661865,71.51300597190857,12.2,937.352704,2342.862848,0.0,48.0,5.639820661067407,32.21,63.93,0.30073612928390503,[0.02121415],1.0,32,4,0.00105779,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00105779, ""num_workers"": 4}]",3.061695625,2.6393080078125,3.061695625,2.6393080078125
3,0,64.45805430412292,5.78905725479126,70.43952107429504,12.1,296.043008,2344.706048,0.0,48.0,1.781217961988131,42.61,75.77,0.41049671173095703,[0.00800659],1.0,32,4,0.00104739,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00104739, ""num_workers"": 4}]",2.39368234375,2.100499609375,2.39368234375,2.100499609375
4,0,65.183345079422,6.023682117462158,71.38289427757263,12.2,530.456576,2345.295872,0.0,49.0,3.1916267423749534,50.06,81.06,0.4943541884422302,[-0.00370726],1.0,32,4,0.00103994,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00103994, ""num_workers"": 4}]",1.9673371875,1.813918359375,1.9673371875,1.813918359375
5,0,67.08203768730164,5.771601438522339,73.01340007781982,12.0,953.95072,2345.8816,0.0,51.0,5.739686840756294,53.57,82.86,0.5300049781799316,[-0.00519774],1.0,32,4,0.00103643,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00103643, ""num_workers"": 4}]",1.66041578125,1.6767873046875,1.66041578125,1.6767873046875
6,0,65.81756329536438,5.482416868209839,71.47666049003601,12.8,629.976576,2345.865216,0.0,50.0,3.7904141036257166,57.04,85.24,0.5663824081420898,[-0.00146319],1.0,32,4,0.00103296,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00103296, ""num_workers"": 4}]",1.42827453125,1.54342392578125,1.42827453125,1.54342392578125
7,0,66.92413473129272,5.851689100265503,72.95706963539124,12.0,737.030144,2346.5984,0.0,50.0,4.4345290905147765,58.95,86.68,0.5881882309913635,[0.01048009],1.0,32,4,0.00103105,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00103105, ""num_workers"": 4}]",1.219415390625,1.47556162109375,1.219415390625,1.47556162109375
8,0,66.87598037719727,5.814254283905029,72.86926817893982,12.4,943.989248,2347.39712,0.0,51.0,5.679751113937027,60.88,87.26,0.6080119013786316,[-0.0215208],1.0,32,4,0.0010291200000000001,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010291200000000001, ""num_workers"": 4}]",1.017527578125,1.43501279296875,1.017527578125,1.43501279296875
9,0,67.08870720863342,5.709630250930786,72.98923182487488,12.3,949.149696,2347.503616,0.0,51.0,5.710800260247234,62.62,88.27,0.622927188873291,[0.02216602],1.0,32,4,0.00102738,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00102738, ""num_workers"": 4}]",0.86103125,1.40105625,0.86103125,1.40105625
10,0,64.92155838012695,5.682314872741699,70.78599190711975,12.3,296.042496,2360.926208,0.0,51.0,1.7812148814100668,63.28,88.48,0.6330596804618835,[0.00233512],1.0,32,4,0.00102672,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00102672, ""num_workers"": 4}]",0.7093540625,1.39477177734375,0.7093540625,1.39477177734375
