epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,6.400362014770508,1.0658855438232422,7.839437007904053,0.0,259.185664,1063.108608,0.0,31.0,1.5594563888724589,0.0,0.0,0.0,[-0.01549327],1.0,16,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 16, ""lr"": 0.00109, ""num_workers"": 4}]",3.1651886196380286,2.9197462650767543,3.1651886196380286,2.9197462650767543
2,0,5.430781364440918,1.0136053562164307,6.546536684036255,9.2,2128.940032,2212.51584,0.0,32.0,12.80930852112537,0.0,0.0,0.0,[-0.00436802],1.0,16,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 16, ""lr"": 0.00109, ""num_workers"": 4}]",2.9348314973574237,2.923529106273986,2.9348314973574237,2.923529106273986
3,0,5.663881301879883,1.101062536239624,6.86887001991272,11.3,673.389056,2218.233856,0.0,31.0,4.051616317698783,0.0,0.0,0.0,[0.02405851],1.0,16,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 16, ""lr"": 0.00109, ""num_workers"": 4}]",2.9320861756391348,2.9209621496367872,2.9320861756391348,2.9209621496367872
4,0,5.5318052768707275,0.9854507446289062,6.638373136520386,10.9,674.166272,2218.3936,0.0,31.0,4.05629263520041,0.0,0.0,0.0,[-0.02300841],1.0,16,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 16, ""lr"": 0.00109, ""num_workers"": 4}]",2.925480935425885,2.9103626451994242,2.925480935425885,2.9103626451994242
5,0,5.477596998214722,1.0064547061920166,6.591675758361816,10.6,670.846976,2218.96704,0.0,34.0,4.036321247609472,0.0,0.0,0.0,[-0.01749421],1.0,16,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 16, ""lr"": 0.00109, ""num_workers"": 4}]",2.922264856809243,2.921588563082511,2.922264856809243,2.921588563082511
6,0,5.5022873878479,1.0247950553894043,6.632088661193848,12.7,2167.873024,2219.347968,0.0,31.0,13.043558757713766,0.0,0.0,0.0,[0.00256443],1.0,16,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 16, ""lr"": 0.00109, ""num_workers"": 4}]",2.9216589463495577,2.9186021235951207,2.9216589463495577,2.9186021235951207
7,0,5.46964955329895,1.1429855823516846,6.768373727798462,10.5,670.846976,2219.626496,0.0,31.0,4.036321247609472,0.0,0.0,0.0,[-0.02388509],1.0,16,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 16, ""lr"": 0.00109, ""num_workers"": 4}]",2.913553093504179,2.893171343887061,2.913553093504179,2.893171343887061
8,0,5.416006326675415,1.066413402557373,6.584994316101074,11.0,1884.117504,2220.015616,0.0,31.0,11.336271588691075,0.0,0.0,0.0,[-0.01306899],1.0,16,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 16, ""lr"": 0.00109, ""num_workers"": 4}]",2.907403006314528,2.8944766395970394,2.907403006314528,2.8944766395970394
9,0,5.381754636764526,1.0874183177947998,6.59495735168457,11.2,673.41312,2220.118016,0.0,35.0,4.051761104867806,1.8452226069935573,0.0,0.0,[0.02417515],1.0,16,4,0.0010881547773930066,"[{""shard_pct"": 1.0, ""batch_size"": 16, ""lr"": 0.0010881547773930066, ""num_workers"": 4}]",2.90142264127028,2.883051554361979,2.90142264127028,2.883051554361979
10,0,5.448575496673584,1.0171496868133545,6.555873870849609,10.9,1776.324608,2220.38016,0.0,32.0,10.687708247077147,3.4098708838747216,0.0,0.0,[-0.007608],1.0,16,4,0.0010865901291161253,"[{""shard_pct"": 1.0, ""batch_size"": 16, ""lr"": 0.0010865901291161253, ""num_workers"": 4}]",2.8885302398291546,2.8757024396929824,2.8885302398291546,2.8757024396929824
