epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,4.587388753890991,0.663468599319458,5.492434024810791,0.0,259.185664,1049.952256,47.0,57.0,1.019388235764143,0.0,0.0,0.0,[0.01911002],1.0,16,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 16, ""lr"": 0.00109, ""num_workers"": 4}]",3.1735054848820057,2.9207533451548793,3.1735054848820057,2.9207533451548793
2,0,3.561598300933838,0.6671731472015381,4.3124730587005615,9.5,1910.103552,1963.958272,56.0,63.0,7.512518477874236,0.0,0.0,0.0,[-0.00102644],1.0,16,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 16, ""lr"": 0.00109, ""num_workers"": 4}]",2.9353567477876106,2.9189886795847038,2.9353567477876106,2.9189886795847038
3,0,3.566377878189087,0.6710379123687744,4.3364434242248535,9.0,1830.182912,1955.037184,48.0,63.0,7.198187202936356,0.0,0.0,0.0,[0.00184021],1.0,16,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 16, ""lr"": 0.00109, ""num_workers"": 4}]",2.9315539634802112,2.912260624400356,2.9315539634802112,2.912260624400356
4,0,3.5886828899383545,0.6618540287017822,4.332099676132202,8.0,1959.36768,1956.10624,48.0,64.0,7.706276387757629,0.0,0.0,0.0,[-0.00300123],1.0,16,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 16, ""lr"": 0.00109, ""num_workers"": 4}]",2.9259737778085055,2.9065069901315788,2.9259737778085055,2.9065069901315788
5,0,3.651233196258545,0.6529874801635742,4.371103048324585,7.9,672.807936,1966.903296,49.0,63.0,2.6461822166489677,0.0,0.0,0.0,[0.00090226],1.0,16,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 16, ""lr"": 0.00109, ""num_workers"": 4}]",2.9197850410213864,2.905147619414748,2.9197850410213864,2.905147619414748
6,0,3.6252095699310303,0.6432621479034424,4.348890781402588,8.0,1869.623808,1971.212288,47.0,63.0,7.353309923730038,0.25031106513843104,0.0,0.0,[0.01567776],1.0,16,4,0.0010897496889348615,"[{""shard_pct"": 1.0, ""batch_size"": 16, ""lr"": 0.0010897496889348615, ""num_workers"": 4}]",2.913648637229597,2.8941168534128288,2.913648637229597,2.8941168534128288
7,0,3.5728189945220947,0.6609563827514648,4.32561182975769,7.8,1869.623296,1961.484288,46.0,63.0,7.353307910012269,1.4021823280735979,0.0,0.0,[-0.0042204],1.0,16,4,0.0010885978176719264,"[{""shard_pct"": 1.0, ""batch_size"": 16, ""lr"": 0.0010885978176719264, ""num_workers"": 4}]",2.9098276083917156,2.8968377364309212,2.9098276083917156,2.8968377364309212
8,0,3.6031436920166016,0.6639111042022705,4.346429109573364,8.0,1964.16512,1970.372608,55.0,63.0,7.725144923240301,0.8399762605365901,0.0,0.0,[-0.00872615],1.0,16,4,0.0010891600237394633,"[{""shard_pct"": 1.0, ""batch_size"": 16, ""lr"": 0.0010891600237394633, ""num_workers"": 4}]",2.906002978659661,2.892588029827988,2.906002978659661,2.892588029827988
9,0,3.5849802494049072,0.6578466892242432,4.3103132247924805,7.8,1823.488512,1970.638848,49.0,64.0,7.17185784312462,2.0352213006270548,0.0,0.0,[-0.02408375],1.0,16,4,0.0010879647786993729,"[{""shard_pct"": 1.0, ""batch_size"": 16, ""lr"": 0.0010879647786993729, ""num_workers"": 4}]",2.900706063329646,2.8852900454872534,2.900706063329646,2.8852900454872534
10,0,3.4855785369873047,0.6502542495727539,4.216848134994507,8.6,1876.34944,1962.278912,50.0,62.0,7.379762120325598,2.227803280479035,0.0,0.0,[-0.00853402],1.0,16,4,0.001087772196719521,"[{""shard_pct"": 1.0, ""batch_size"": 16, ""lr"": 0.001087772196719521, ""num_workers"": 4}]",2.891512260324484,2.882726033528646,2.891512260324484,2.882726033528646
