epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,265.2683413028717,10.433907747268677,275.9357056617737,11.3,383.524864,2026.786816,48.0,70.0,1.5084195956325845,98.64,99.99,0.9862022399902344,[-0.00115868],1.0,32,4,0.00099136,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00099136, ""num_workers"": 4}]",0.3403896484375,0.0548302978515625,0.3403896484375,0.0548302978515625
2,0,254.2070062160492,10.276902914047241,264.5961482524872,11.8,475.57888,2209.857536,48.0,72.0,1.8704719542277122,98.77,99.99,0.987747848033905,[0.01581882],1.0,32,4,0.00099123,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00099123, ""num_workers"": 4}]",0.07943685709635416,0.03754217529296875,0.07943685709635416,0.03754217529296875
3,0,267.659704208374,10.185930013656616,277.9680187702179,11.9,1150.517248,2193.481728,50.0,70.0,4.5250332505077795,98.95,99.99,0.989465594291687,[0.01339832],1.0,32,4,0.00099105,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00099105, ""num_workers"": 4}]",0.06280459798177083,0.035267205810546876,0.06280459798177083,0.035267205810546876
4,0,263.9200632572174,10.319147825241089,274.3517413139343,11.2,3962.503168,2196.56192,52.0,70.0,15.584693425163163,99.06,99.97,0.9906222224235535,[0.01241768],1.0,32,4,0.00099094,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00099094, ""num_workers"": 4}]",0.05425892333984375,0.02991915283203125,0.05425892333984375,0.02991915283203125
5,0,266.18114709854126,10.252458810806274,276.54630947113037,11.5,2250.942464,2196.533248,49.0,71.0,8.853052409501915,99.09,99.99,0.9908778667449951,[-0.01612944],1.0,32,4,0.00099091,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00099091, ""num_workers"": 4}]",0.04482206217447917,0.03097647705078125,0.04482206217447917,0.03097647705078125
6,0,260.3030912876129,10.140962362289429,270.5590753555298,9.6,475.57888,2196.545536,48.0,71.0,1.8704719542277122,99.26,100.0,0.9925988912582397,[-0.00886323],1.0,32,4,0.00099074,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00099074, ""num_workers"": 4}]",0.039886942545572915,0.021908224487304687,0.039886942545572915,0.021908224487304687
7,0,268.6134407520294,10.373151540756226,279.1073331832886,10.9,475.57888,2193.657856,48.0,70.0,1.8704719542277122,99.33,100.0,0.9933043122291565,[-0.03051145],1.0,32,4,0.0009906700000000001,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0009906700000000001, ""num_workers"": 4}]",0.03337391764322917,0.021779737854003906,0.03337391764322917,0.021779737854003906
8,0,264.59874987602234,10.339868545532227,275.0544719696045,11.2,5223.990272,2193.657856,54.0,70.0,20.54617583719108,99.34,100.0,0.9933685064315796,[0.00527047],1.0,32,4,0.00099066,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00099066, ""num_workers"": 4}]",0.029312522379557292,0.01867254638671875,0.029312522379557292,0.01867254638671875
9,0,269.09487223625183,10.49528694152832,279.6920051574707,11.1,4586.620416,2196.676608,48.0,70.0,18.039373095828477,99.36,100.0,0.9935760498046875,[-0.00509237],1.0,32,4,0.0009906399999999999,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0009906399999999999, ""num_workers"": 4}]",0.026374273681640626,0.019568894958496095,0.026374273681640626,0.019568894958496095
10,0,269.40224504470825,10.353050231933594,279.86792254447937,11.1,3581.009408,2199.298048,49.0,69.0,14.084262247914756,99.56,100.0,0.9955964684486389,[0.0104562],1.0,32,4,0.00099044,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00099044, ""num_workers"": 4}]",0.025406831868489584,0.015020106506347657,0.025406831868489584,0.015020106506347657
11,0,264.08820724487305,10.359272480010986,274.56759095191956,10.9,1865.98144,2199.298048,47.0,69.0,7.338984335531132,99.32,100.0,0.9931970238685608,[0.01959802],1.0,32,4,0.00099068,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00099068, ""num_workers"": 4}]",0.02155025431315104,0.02309573059082031,0.02155025431315104,0.02309573059082031
12,0,268.73178124427795,10.388712644577026,280.25230050086975,11.0,4773.010432,2199.298048,48.0,70.0,18.772452953109052,99.5,100.0,0.9949859976768494,[0.01891102],1.0,32,4,0.0009905,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0009905, ""num_workers"": 4}]",0.01989993896484375,0.017971142578125,0.01989993896484375,0.017971142578125
13,0,268.90347242355347,10.375040292739868,279.635573387146,10.9,4431.013888,2199.298048,52.0,71.0,17.42736600560877,99.44,100.0,0.9943826794624329,[0.02259638],1.0,32,4,0.00099056,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00099056, ""num_workers"": 4}]",0.01894368693033854,0.016544085693359373,0.01894368693033854,0.016544085693359373
14,0,265.1264753341675,10.361488580703735,275.6070637702942,10.9,475.57888,2199.298048,56.0,70.0,1.8704719542277122,99.42,100.0,0.9942153096199036,[-0.00045868],1.0,32,4,0.00099058,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00099058, ""num_workers"": 4}]",0.01702732137044271,0.01631450958251953,0.01702732137044271,0.01631450958251953
15,0,267.3697485923767,10.376133441925049,277.8732874393463,11.1,4696.574976,2194.026496,49.0,70.0,18.471829055015416,99.29,100.0,0.9928520917892456,[0.01766389],1.0,32,4,0.00099071,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00099071, ""num_workers"": 4}]",0.015495517985026042,0.023120896911621093,0.015495517985026042,0.023120896911621093
16,0,263.6501317024231,10.34317421913147,274.1216902732849,11.5,4259.15136,2194.16576,51.0,70.0,16.75142337626687,99.57,100.0,0.9956815242767334,[-0.00220843],1.0,32,4,0.00099043,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00099043, ""num_workers"": 4}]",0.015106370035807292,0.016205548095703126,0.015106370035807292,0.016205548095703126
17,0,257.2025933265686,9.982148170471191,267.30313539505005,8.6,556.588032,2196.70528,47.0,70.0,2.1890843931395696,99.47,100.0,0.9946912527084351,[-0.0428608],1.0,32,4,0.00099053,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00099053, ""num_workers"": 4}]",0.013203225708007813,0.018112309265136718,0.013203225708007813,0.018112309265136718
