epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,219.9608826637268,0.5189342498779297,220.73961925506592,10.8,1349.88544,1987.608576,51.0,63.0,5.309156825762185,50.91743119266055,0.0,0.33738601207733154,[0.01441908],1.0,32,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6889953010623766,0.6970408028418865,0.6889953010623766,0.6970408028418865
2,0,215.17284321784973,0.5334036350250244,215.8194615840912,11.0,1093.557248,2004.39808,51.0,62.0,4.301007148859173,50.91743119266055,0.0,0.33738601207733154,[0.00278043],1.0,32,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6871417912663885,0.6969556196020283,0.6871417912663885,0.6969556196020283
3,0,209.6963231563568,0.5290253162384033,210.33619928359985,11.4,1364.873216,2006.34368,46.0,62.0,5.368104385973957,50.91743119266055,0.0,0.33738601207733154,[0.00534913],1.0,32,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6865297740129772,0.6973734864401161,0.6865297740129772,0.6973734864401161
4,0,211.77745151519775,0.5183265209197998,212.44116973876953,11.9,1364.155904,2002.321408,51.0,62.0,5.36528316738151,50.91743119266055,0.0,0.33738601207733154,[-0.01053596],1.0,32,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6864903339322039,0.6983298905398867,0.6864903339322039,0.6983298905398867
5,0,208.36759400367737,0.535090446472168,209.0151195526123,10.9,1315.259392,2006.765568,49.0,62.0,5.172971106855275,50.91743119266055,0.0,0.33738601207733154,[0.00379799],1.0,32,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6864420198332566,0.6960904182644065,0.6864420198332566,0.6960904182644065
6,0,212.15839862823486,0.5317573547363281,212.80680918693542,11.0,1369.182208,2014.277632,48.0,62.0,5.385051834706313,50.91743119266055,0.0,0.33738601207733154,[0.00647344],1.0,32,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6865234520000297,0.6980108558584791,0.6865234520000297,0.6980108558584791
7,0,209.31566739082336,0.5364577770233154,209.95475244522095,10.8,1363.00032,2009.260032,49.0,62.0,5.360738206379974,50.91743119266055,0.0,0.33738601207733154,[0.01532476],1.0,32,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6865470000482561,0.6987443976446029,0.6865470000482561,0.6987443976446029
8,0,215.78824758529663,0.5765502452850342,216.52424502372742,10.9,1369.029632,2007.98208,50.0,61.0,5.3844517468115605,50.91743119266055,0.0,0.33738601207733154,[-0.00684853],1.0,32,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6865242060015739,0.698166033543578,0.6865242060015739,0.698166033543578
9,0,216.92791223526,0.5282704830169678,217.56884241104126,13.1,1093.56032,2006.683648,55.0,62.0,4.301019231165778,50.91743119266055,0.0,0.33738601207733154,[0.00763878],1.0,32,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6865721720998085,0.6979779584692158,0.6865721720998085,0.6979779584692158
10,0,207.25143480300903,0.5342855453491211,207.89547204971313,11.2,1093.561344,2005.901312,46.0,62.0,4.3010232586013135,50.91743119266055,0.0,0.33738601207733154,[0.01089099],1.0,32,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6864523438544002,0.6966008177591027,0.6864523438544002,0.6966008177591027
