epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,1,33.285452365875244,1.8853321075439453,35.25673317909241,15.0,285.08672,1974.6816,39.0,46.0,1.1212581901929046,19.84,46.71,0.16548268496990204,,0.25,32,4,0.0010701600000000001,,3.79653125,3.338601953125,3.8158234375,3.3420046875
2,1,32.761377573013306,1.6174187660217285,34.49358606338501,15.2,287.320064,2139.148288,47.0,54.0,1.1300420270952976,29.33,62.12,0.27955350279808044,,0.25,32,6,0.00106067,,3.0131634375,2.751992578125,3.0186965625,2.70796015625
3,1,32.96024823188782,1.6167776584625244,34.66286373138428,14.9,801.544192,2274.504704,45.0,59.0,3.1525073847057974,38.42,70.9,0.3759138286113739,,0.25,32,7,0.0010515799999999999,,2.41730375,2.361680078125,2.4100534375,2.333324609375
4,1,32.7625994682312,1.6472718715667725,34.56522583961487,15.2,287.320064,2341.732352,45.0,60.0,1.1300420270952976,47.17,78.38,0.4588516056537628,,0.25,32,5,0.00104283,,2.01067203125,1.9573171875,2.03676375,1.9138412109375
5,1,32.86058068275452,1.5945498943328857,34.55520033836365,15.4,287.320064,2341.777408,44.0,59.0,1.1300420270952976,48.66,80.12,0.49018293619155884,,0.25,32,5,0.00104134,,1.71870453125,1.89949921875,1.7218728125,1.8912310546875
6,1,32.784664154052734,1.682706356048584,34.52701449394226,15.0,287.320064,2342.4,50.0,61.0,1.1300420270952976,55.65,84.35,0.5526527166366577,,0.25,32,6,0.00103435,,1.501684375,1.58938330078125,1.49632171875,1.5519396484375
7,1,32.66726899147034,1.6968472003936768,34.44730305671692,15.4,942.790144,2342.1952,49.0,61.0,3.708033718979081,58.18,85.75,0.5773225426673889,,0.25,32,6,0.00103182,,1.319098125,1.51911796875,1.3197265625,1.5023259765625
8,1,32.73335289955139,1.646090030670166,34.491822719573975,15.3,287.320064,2342.715392,48.0,61.0,1.1300420270952976,59.06,86.14,0.5877708792686462,,0.25,32,6,0.00103094,,1.153474453125,1.47992353515625,1.168541953125,1.4834166015625
9,1,32.78031873703003,1.614722490310669,34.49813389778137,15.3,963.823616,2342.719488,47.0,61.0,3.7907592585910033,59.04,86.49,0.5897656083106995,,0.25,32,6,0.00103096,,1.00185859375,1.49649482421875,1.00050046875,1.5151291015625
10,1,32.747634172439575,1.5989015102386475,34.47790169715881,14.4,287.320064,2342.78912,45.0,60.0,1.1300420270952976,60.36,87.21,0.6023856401443481,,0.25,32,7,0.00102964,,0.875293828125,1.49074423828125,0.880926796875,1.49758525390625
11,1,32.58301854133606,1.6596295833587646,34.34206771850586,15.5,287.320064,2342.8096,47.0,61.0,1.1300420270952976,61.96,87.78,0.6182854771614075,,0.25,32,7,0.00102804,,0.748954296875,1.421951953125,0.727758828125,1.44101484375
12,1,32.628870487213135,1.6496293544769287,34.36400246620178,15.3,287.320064,2342.825984,47.0,61.0,1.1300420270952976,63.24,88.69,0.6339884400367737,,0.25,32,5,0.0010267599999999998,,0.631607734375,1.46509951171875,0.64731953125,1.48096279296875
13,1,32.58745455741882,1.6566505432128906,34.3831684589386,15.2,287.320064,2342.805504,47.0,62.0,1.1300420270952976,64.43,89.13,0.645110547542572,,0.25,32,5,0.0010255700000000002,,0.5316952734375,1.37812060546875,0.525324453125,1.35253359375
14,1,33.21203374862671,1.5921943187713623,34.9676833152771,15.0,287.320064,2342.805504,48.0,62.0,1.1300420270952976,63.98,88.87,0.6408791542053223,,0.25,32,5,0.0010260199999999999,,0.4404426171875,1.4595455078125,0.4394353125,1.47408955078125
15,1,32.9540228843689,1.666358232498169,34.79448318481445,14.4,261.509632,2342.776832,47.0,62.0,1.0285285007114062,64.44,88.81,0.6443752646446228,,0.25,32,6,0.00102556,,0.36721921875,1.479603125,0.36557359375,1.49576796875
16,1,32.782424211502075,1.703824758529663,34.55227184295654,15.6,241.211904,2342.924288,47.0,61.0,0.9486966735315648,64.16,88.34,0.6431347131729126,,0.25,32,6,0.00102584,,0.29343958984375,1.5907771484375,0.29893263671875,1.61587021484375
17,1,32.918217182159424,1.611907720565796,34.62208938598633,15.1,287.320064,2342.93248,51.0,62.0,1.1300420270952976,64.03,88.42,0.6415968537330627,,0.25,32,6,0.00102597,,0.26594662109375,1.60588740234375,0.25417630859375,1.62787373046875
18,1,33.157742977142334,1.6607494354248047,34.8914749622345,15.3,287.320064,2342.93248,50.0,61.0,1.1300420270952976,64.31,88.77,0.644112765789032,,0.25,32,6,0.0010256900000000001,,0.223841953125,1.6677216796875,0.2189284375,1.6735314453125
19,1,33.272620677948,1.6080551147460938,35.01705312728882,14.8,884.490752,2342.944768,52.0,61.0,3.47873973165036,65.6,89.18,0.6549291610717773,,0.25,32,6,0.0010244,,0.2015332421875,1.62417109375,0.20298560546875,1.6419900390625
20,1,33.12716197967529,1.6573832035064697,34.957040786743164,15.4,287.320064,2342.944768,50.0,61.0,1.1300420270952976,65.0,88.31,0.6475625038146973,,0.25,32,7,0.0010249999999999999,,0.18097212890625,1.662912890625,0.18607439453125,1.643523828125
