epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,5.8842933177948,0.8141224384307861,6.897711515426636,11.7,671.6672,1939.673088,48.0,62.0,2.6416956534626923,0.0,0.0,0.0,[0.0216271],1.0,16,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 16, ""lr"": 0.00109, ""num_workers"": 4}]",3.1756770641285645,2.9283281292831687,3.1756770641285645,2.9283281292831687
2,0,4.870041131973267,0.8418498039245605,5.794006586074829,11.4,1366.340608,1965.826048,46.0,61.0,5.373875701095978,0.0,0.0,0.0,[0.01793859],1.0,16,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 16, ""lr"": 0.00109, ""num_workers"": 4}]",2.9359151264441987,2.9188770494962992,2.9359151264441987,2.9188770494962992
3,0,4.778639793395996,0.7862324714660645,5.6455512046813965,11.6,671.569408,1967.599616,53.0,61.0,2.6413110333690755,0.0,0.0,0.0,[0.02926487],1.0,16,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 16, ""lr"": 0.00109, ""num_workers"": 4}]",2.930537791144297,2.9125186853241503,2.930537791144297,2.9125186853241503
4,0,4.811312913894653,0.8005952835083008,5.69340705871582,11.8,672.231936,1960.062976,48.0,62.0,2.6439167841603863,0.0,0.0,0.0,[0.03295051],1.0,16,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 16, ""lr"": 0.00109, ""num_workers"": 4}]",2.9256216103582844,2.9200653611567984,2.9256216103582844,2.9200653611567984
5,0,4.9328203201293945,0.8115599155426025,5.823936223983765,11.4,2024.062464,1977.376768,53.0,61.0,7.96072372372179,0.0,0.0,0.0,[-0.00775132],1.0,16,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 16, ""lr"": 0.00109, ""num_workers"": 4}]",2.919195934734513,2.9016520182291665,2.919195934734513,2.9016520182291665
6,0,4.805254936218262,0.8041586875915527,5.688745975494385,11.6,672.635392,1969.176576,54.0,60.0,2.645503593761277,1.314457675866909,0.0,0.0,[-0.02314203],1.0,16,4,0.0010886855423241331,"[{""shard_pct"": 1.0, ""batch_size"": 16, ""lr"": 0.0010886855423241331, ""num_workers"": 4}]",2.9143570531434366,2.899594223290159,2.9143570531434366,2.899594223290159
7,0,4.715955972671509,0.8691518306732178,5.667479038238525,11.3,668.930048,2006.016,50.0,57.0,2.630930318276954,1.5372426886307577,0.0,0.0,[0.00615445],1.0,16,4,0.0010884627573113693,"[{""shard_pct"": 1.0, ""batch_size"": 16, ""lr"": 0.0010884627573113693, ""num_workers"": 4}]",2.9067051530235988,2.8949833920127466,2.9067051530235988,2.8949833920127466
8,0,4.822628736495972,0.7965140342712402,5.6978185176849365,11.4,671.568384,1969.987584,49.0,61.0,2.6413070059335406,1.4021823280735979,0.0,0.0,[0.00701136],1.0,16,4,0.0010885978176719264,"[{""shard_pct"": 1.0, ""batch_size"": 16, ""lr"": 0.0010885978176719264, ""num_workers"": 4}]",2.903656395956244,2.9021429764597038,2.903656395956244,2.9021429764597038
9,0,4.78447699546814,0.8073136806488037,5.673534154891968,11.2,671.846912,1961.775104,47.0,60.0,2.64240246839913,3.82001776444284,0.0,0.0,[-0.01486952],1.0,16,4,0.001086179982235557,"[{""shard_pct"": 1.0, ""batch_size"": 16, ""lr"": 0.001086179982235557, ""num_workers"": 4}]",2.899874976954277,2.8795538115919683,2.899874976954277,2.8795538115919683
10,0,4.620836496353149,0.7950892448425293,5.496579647064209,11.2,668.930048,1970.671616,52.0,56.0,2.630930318276954,4.043177554481902,0.0,0.0,[0.01778701],1.0,16,4,0.001085956822445518,"[{""shard_pct"": 1.0, ""batch_size"": 16, ""lr"": 0.001085956822445518, ""num_workers"": 4}]",2.883491868700836,2.867998089706689,2.883491868700836,2.867998089706689
