epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,250.83052015304565,9.692663192749023,260.728844165802,0.0,164.337152,1176.408064,54.0,52.0,0.6463450055933025,98.8,99.99,0.9879184365272522,[-0.0190976],1.0,32,4,0.0009912,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0009912, ""num_workers"": 4}]",0.3043542317708333,0.03823707275390625,0.3043542317708333,0.03823707275390625
2,0,247.9932188987732,9.551767587661743,257.6598289012909,10.8,4083.277312,2161.098752,48.0,65.0,16.059703268215607,98.8,99.99,0.9878671169281006,[-0.0165249],1.0,32,4,0.0009912,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0009912, ""num_workers"": 4}]",0.08357352701822916,0.03522126159667969,0.08357352701822916,0.03522126159667969
3,0,249.9437952041626,9.611973285675049,259.6780118942261,10.6,476.004864,2164.277248,52.0,66.0,1.8721473674103786,99.23,100.0,0.9922835826873779,[0.00762986],1.0,32,4,0.00099077,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00099077, ""num_workers"": 4}]",0.06576701253255209,0.025112115478515624,0.06576701253255209,0.025112115478515624
4,0,255.69845628738403,9.669737577438354,265.4856433868408,11.0,476.004864,2163.945472,50.0,66.0,1.8721473674103786,98.74,99.98,0.9873652458190918,[-0.00303948],1.0,32,4,0.00099126,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00099126, ""num_workers"": 4}]",0.054918904622395834,0.04444892272949219,0.054918904622395834,0.04444892272949219
5,0,251.79462838172913,9.603924751281738,261.5211658477783,6.8,5002.59584,2166.276096,50.0,66.0,19.675422123573323,99.06,99.99,0.9905216693878174,[0.00189117],1.0,32,4,0.00099094,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00099094, ""num_workers"": 4}]",0.049029536946614584,0.032865777587890624,0.049029536946614584,0.032865777587890624
6,0,248.49059915542603,9.553735494613647,258.1594376564026,5.6,5213.967872,2162.450432,48.0,67.0,20.506757311889764,99.18,99.99,0.9917919039726257,[0.01635487],1.0,32,4,0.0009908200000000001,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0009908200000000001, ""num_workers"": 4}]",0.041975907389322914,0.02627793273925781,0.041975907389322914,0.02627793273925781
7,0,250.17316555976868,9.539865970611572,259.83275079727173,5.3,476.004352,2163.974144,48.0,65.0,1.8721453536926107,99.46,100.0,0.9945423603057861,[0.00572989],1.0,32,4,0.00099054,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00099054, ""num_workers"": 4}]",0.0344880859375,0.01867317352294922,0.0344880859375,0.01867317352294922
8,0,246.19955468177795,9.553487777709961,255.87463545799255,5.5,476.004864,2167.189504,47.0,66.0,1.8721473674103786,99.38,100.0,0.99375319480896,[0.01570385],1.0,32,4,0.00099062,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00099062, ""num_workers"": 4}]",0.032545918782552086,0.01819928741455078,0.032545918782552086,0.01819928741455078
9,0,258.74405574798584,9.535212278366089,268.4024727344513,5.2,5156.296192,2167.197696,46.0,66.0,20.279932142544155,98.02,99.98,0.980807900428772,[0.00555593],1.0,32,4,0.00099198,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00099198, ""num_workers"": 4}]",0.025715157063802084,0.0672885009765625,0.025715157063802084,0.0672885009765625
10,0,258.9765274524689,9.513177156448364,268.60133171081543,5.2,4952.086528,2167.205888,46.0,66.0,19.47676685207906,99.32,100.0,0.9930180907249451,[0.00937947],1.0,32,4,0.00099068,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00099068, ""num_workers"": 4}]",0.025334370930989582,0.0249861328125,0.025334370930989582,0.0249861328125
11,0,252.74735760688782,9.464505672454834,262.33299255371094,5.4,393.590784,2162.888704,48.0,66.0,1.5480092869441495,99.66,100.0,0.9965795874595642,[0.00232798],1.0,32,4,0.00099034,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00099034, ""num_workers"": 4}]",0.022781123860677082,0.013474363708496093,0.022781123860677082,0.013474363708496093
12,0,249.26085209846497,9.54490327835083,258.936484336853,5.4,476.004864,2162.8928,47.0,66.0,1.8721473674103786,99.41,100.0,0.9940311908721924,[0.01821181],1.0,32,4,0.00099059,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00099059, ""num_workers"": 4}]",0.01958952840169271,0.02013519744873047,0.01958952840169271,0.02013519744873047
13,0,250.43168568611145,9.463166236877441,260.0087094306946,5.4,5156.722176,2166.484992,50.0,65.0,20.281607555726822,99.6,99.99,0.9959816932678223,[0.0243047],1.0,32,4,0.0009904,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0009904, ""num_workers"": 4}]",0.0182339599609375,0.015379827880859375,0.0182339599609375,0.015379827880859375
