epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,224.46516728401184,0.5214598178863525,225.22028970718384,10.3,1366.889472,1988.964352,47.0,59.0,5.376034406542876,50.91743119266055,0.0,0.33738601207733154,[0.00862354],1.0,32,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6897775486644196,0.6949334800790209,0.6897775486644196,0.6949334800790209
2,0,219.10502243041992,0.5175333023071289,219.74082851409912,11.1,1368.790528,2006.859776,51.0,59.0,5.383511340614078,50.91743119266055,0.0,0.33738601207733154,[-0.00548408],1.0,32,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6867969805602162,0.6956817906930906,0.6867969805602162,0.6956817906930906
3,0,215.84169149398804,0.5216102600097656,216.53598427772522,11.0,1364.35456,2004.48,51.0,58.0,5.36606448987535,50.91743119266055,0.0,0.33738601207733154,[0.00543889],1.0,32,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6866561562718081,0.6972357373718822,0.6866561562718081,0.6972357373718822
4,0,206.27042198181152,0.5308926105499268,206.9223141670227,11.9,1439.584768,2003.800064,50.0,58.0,5.661948096343991,50.91743119266055,0.0,0.33738601207733154,[-0.00568097],1.0,32,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6866355082295209,0.6931892884980648,0.6866355082295209,0.6931892884980648
5,0,219.66125297546387,0.5290408134460449,220.30525302886963,11.0,1363.99616,2004.230144,49.0,58.0,5.36465488743801,50.91743119266055,0.0,0.33738601207733154,[-0.0117763],1.0,32,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6866319702222751,0.6984593802635822,0.6866319702222751,0.6984593802635822
6,0,220.2420711517334,0.522261381149292,220.8715250492096,11.4,1366.987264,2008.121344,51.0,59.0,5.376419026636492,50.91743119266055,0.0,0.33738601207733154,[-0.00722518],1.0,32,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6867578884801556,0.6984748490359804,0.6867578884801556,0.6984748490359804
7,0,217.40350079536438,0.5522775650024414,218.06915593147278,11.2,1405.285376,2016.21504,47.0,59.0,5.5270471293728285,50.91743119266055,0.0,0.33738601207733154,[-0.02056938],1.0,32,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6866305202193054,0.6992416381835938,0.6866305202193054,0.6992416381835938
8,0,218.5344099998474,0.5451774597167969,219.17386078834534,11.2,1365.351936,2025.332736,48.0,58.0,5.369987212086689,50.91743119266055,0.0,0.33738601207733154,[-0.00977371],1.0,32,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6866688582978218,0.6995954601042861,0.6866688582978218,0.6995954601042861
9,0,219.96974968910217,0.5411965847015381,220.6136713027954,11.2,1359.291904,2008.96512,48.0,58.0,5.346152848589044,50.91743119266055,0.0,0.33738601207733154,[-0.00880752],1.0,32,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6865264100060877,0.6965233339082211,0.6865264100060877,0.6965233339082211
10,0,208.54675316810608,0.5131046772003174,209.1713798046112,11.1,1372.860928,2009.505792,50.0,59.0,5.39952039686672,50.91743119266055,0.0,0.33738601207733154,[0.00270553],1.0,32,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6866038401646647,0.6969335013573322,0.6866038401646647,0.6969335013573322
