epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,2,33.65898680686951,1.8722784519195557,35.6437246799469,15.6,948.043264,1974.505472,48.0,38.0,3.7286944632749432,16.41,42.17,0.13142670691013336,,0.25,32,5,0.0010735900000000001,,3.817761875,3.532233984375,3.8123025,3.5293796875
2,2,32.939565658569336,1.6843316555023193,34.690192461013794,15.6,288.191488,2205.77792,46.0,47.0,1.1334693747358005,32.17,63.42,0.3010978102684021,,0.25,32,6,0.00105783,,3.034999375,2.645068359375,3.044870625,2.6322794921875
3,2,33.09884524345398,1.6494581699371338,34.81238555908203,15.4,891.786752,2274.46784,49.0,50.0,3.5074352098390578,42.01,74.24,0.40709757804870605,,0.25,32,5,0.00104799,,2.4067803125,2.1651171875,2.41649734375,2.15513203125
4,2,32.85398530960083,1.7020251750946045,34.62279009819031,14.5,859.667968,2274.545664,45.0,52.0,3.381110666840222,46.27,78.02,0.4552386999130249,,0.25,32,5,0.00104373,,1.99518328125,1.96821640625,2.011955,1.977127734375
5,2,32.869839668273926,1.7070975303649902,34.63847374916077,15.5,943.661568,2274.607104,52.0,54.0,3.7114610666195835,52.47,83.05,0.5176635980606079,,0.25,32,6,0.00103753,,1.7067553125,1.7057740234375,1.6914640625,1.6730451171875
6,2,32.763635873794556,1.6409811973571777,34.464444398880005,15.4,288.191488,2275.196928,50.0,54.0,1.1334693747358005,52.17,81.69,0.5186331272125244,,0.25,32,6,0.00103783,,1.486118125,1.8138654296875,1.47921296875,1.7809419921875
7,2,32.65267753601074,1.6529185771942139,34.38133454322815,15.4,859.667968,2275.254272,51.0,55.0,3.381110666840222,56.71,84.91,0.5657825469970703,,0.25,32,6,0.00103329,,1.307742265625,1.58246298828125,1.30053671875,1.55728525390625
8,2,32.96212601661682,1.6977787017822266,34.73215055465698,15.2,731.21024,2275.467264,48.0,56.0,2.8758809612489817,59.73,86.01,0.5992854833602905,,0.25,32,5,0.00103027,,1.136723359375,1.47294189453125,1.1317146875,1.4572984375
9,2,32.917696952819824,1.6813735961914062,34.68275046348572,15.3,242.044416,2275.69664,52.0,56.0,0.9519709786217279,60.58,86.71,0.6024547815322876,,0.25,32,5,0.00102942,,0.99072359375,1.49670322265625,0.99472140625,1.46709580078125
10,2,32.79534363746643,1.6480803489685059,34.500834941864014,15.7,288.191488,2279.960576,48.0,57.0,1.1334693747358005,63.25,88.89,0.6327670812606812,,0.25,32,5,0.00102675,,0.865437109375,1.340462890625,0.85361703125,1.3143470703125
11,2,32.98654556274414,1.672633409500122,34.731266260147095,15.2,288.191488,2275.704832,48.0,56.0,1.1334693747358005,63.61,88.57,0.6344858407974243,,0.25,32,5,0.0010263899999999999,,0.730575625,1.3497982421875,0.74826921875,1.3154923828125
12,2,32.87306261062622,1.7085583209991455,34.66289019584656,14.8,288.191488,2275.71712,46.0,57.0,1.1334693747358005,63.47,88.36,0.6331042051315308,,0.25,32,6,0.0010265299999999999,,0.6182682421875,1.3887484375,0.613232578125,1.3250263671875
13,2,33.192161321640015,1.6843435764312744,34.94109654426575,15.4,288.191488,2275.827712,48.0,56.0,1.1334693747358005,65.37,89.19,0.6517345905303955,,0.25,32,5,0.00102463,,0.514069921875,1.39708564453125,0.5097428125,1.368220703125
14,2,32.84046721458435,1.7982418537139893,34.70451283454895,15.4,288.191488,2275.811328,48.0,57.0,1.1334693747358005,65.21,89.02,0.6513573527336121,,0.25,32,5,0.00102479,,0.426507265625,1.39104375,0.430041171875,1.3736228515625
15,2,32.63081479072571,1.6675958633422852,34.36493372917175,15.4,891.786752,2275.81952,47.0,56.0,3.5074352098390578,64.92,88.99,0.6482898592948914,,0.25,32,6,0.00102508,,0.3544803125,1.4818751953125,0.3506757421875,1.45457587890625
16,2,32.819011926651,1.6733736991882324,34.56750750541687,15.7,288.191488,2275.885056,51.0,57.0,1.1334693747358005,65.09,89.4,0.6475564241409302,,0.25,32,5,0.00102491,,0.29802681640625,1.51707177734375,0.31194033203125,1.51597578125
17,2,33.517072439193726,1.6861860752105713,35.298234939575195,15.6,288.191488,2275.88096,50.0,56.0,1.1334693747358005,65.26,88.88,0.6537286043167114,,0.25,32,6,0.0010247400000000001,,0.24839515625,1.53680185546875,0.2466576953125,1.55407041015625
18,2,32.63715314865112,1.7034049034118652,34.425660848617554,14.4,262.381056,2275.803136,48.0,57.0,1.0319558483519091,64.34,88.82,0.6440653204917908,,0.25,32,6,0.00102566,,0.21979185546875,1.610548046875,0.210623515625,1.605055859375
19,2,33.07928490638733,1.6782019138336182,34.82846140861511,15.1,288.191488,2275.905536,47.0,57.0,1.1334693747358005,64.71,88.92,0.6440635919570923,,0.25,32,5,0.00102529,,0.1961719921875,1.685288671875,0.18935615234375,1.6507896484375
20,2,33.04090213775635,1.676023006439209,34.78090500831604,15.5,852.878336,2275.889152,49.0,57.0,3.354406755523708,65.34,89.19,0.6546406745910645,,0.25,32,5,0.00102466,,0.1880420703125,1.6949951171875,0.1938356640625,1.72084453125
