epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,3,117.23079252243042,2.9878928661346436,120.39351296424866,12.4,4192.0384,1812.074496,47.0,64.0,16.487465251286203,10.59,29.56,0.08294332027435303,,0.25,32,4,0.00107941,,4.6744678125,4.208537890625,4.67408625,4.191372265625
2,3,117.88268566131592,2.697368860244751,120.6694188117981,12.3,202.95424,1936.15872,46.0,63.0,0.798227654498871,18.66,42.78,0.15626239776611328,,0.25,32,5,0.00107134,,4.115798125,3.6699546875,4.1162153125,3.70108828125
3,3,116.78496861457825,2.7534515857696533,119.65510749816895,12.0,4264.444416,2006.87616,47.0,63.0,16.77224119054861,25.45,50.65,0.2286655306816101,,0.25,32,6,0.00106455,,3.7278153125,3.3047265625,3.7231578125,3.3549734375
4,3,116.90433692932129,2.7150845527648926,119.7001690864563,12.4,202.95424,2072.530944,47.0,63.0,0.798227654498871,31.26,58.48,0.2964252531528473,,0.25,32,5,0.00105874,,3.4244759375,3.014606640625,3.410703125,3.0448669921875
5,3,115.45075225830078,2.7772228717803955,118.32272386550903,12.2,3511.476224,2072.567808,50.0,65.0,13.810785279046511,33.7,61.87,0.3238462209701538,,0.25,32,7,0.0010563,,3.200211875,2.855458984375,3.1831065625,2.8778380859375
6,3,117.71242094039917,2.701707124710083,120.53125238418579,12.1,4363.86304,2141.876224,48.0,63.0,17.1632588655133,38.78,66.42,0.3764914274215698,,0.25,32,5,0.00105122,,3.0304059375,2.5880859375,3.0338521875,2.598165625
7,3,117.18320941925049,2.7561025619506836,120.03986954689026,12.1,3606.726144,2140.975104,47.0,63.0,14.185407263947173,41.18,68.76,0.401233971118927,,0.25,32,6,0.00104882,,2.8898428125,2.4575142578125,2.8883671875,2.4765982421875
8,3,117.69679522514343,2.704570770263672,120.52785563468933,11.9,3786.768384,2141.007872,50.0,65.0,14.893521048344693,43.66,70.16,0.424818217754364,,0.25,32,6,0.00104634,,2.7765946875,2.3603412109375,2.7631065625,2.38819765625
9,3,116.33115291595459,2.6653661727905273,119.1616370677948,11.6,4151.12704,2142.580736,53.0,64.0,16.326559133063896,44.99,71.92,0.4411766529083252,,0.25,32,6,0.00104501,,2.6698371875,2.2907451171875,2.674579375,2.301169140625
10,3,120.79469180107117,2.702369451522827,123.64181137084961,11.8,202.95424,2141.55264,46.0,62.0,0.798227654498871,46.84,73.22,0.46020573377609253,,0.25,32,5,0.00104316,,2.58010484375,2.21395390625,2.5978690625,2.2105640625
11,3,117.20399379730225,2.7344255447387695,120.02792549133301,12.4,4132.618752,2141.548544,47.0,63.0,16.253765249481912,48.79,74.61,0.47938477993011475,,0.25,32,5,0.00104121,,2.4965534375,2.1421408203125,2.50327984375,2.14121328125
12,3,117.20029258728027,2.7029054164886475,120.03231739997864,11.7,201.222144,2142.601216,47.0,64.0,0.7914152472909858,49.02,75.19,0.48730042576789856,,0.25,32,5,0.00104098,,2.42923703125,2.125563671875,2.4228678125,2.1332568359375
13,3,116.8819260597229,2.688608169555664,119.69575095176697,12.6,202.95424,2142.081024,47.0,63.0,0.798227654498871,50.18,75.73,0.4987325966358185,,0.25,32,5,0.00103982,,2.34875125,2.0764814453125,2.361279375,2.069572265625
14,3,115.9838535785675,2.7855966091156006,118.8803460597992,12.3,174.58176,2142.08512,49.0,63.0,0.6866374844057697,51.38,77.01,0.509650468826294,,0.25,32,5,0.00103862,,2.292155625,1.999462109375,2.27519453125,1.9492037109375
15,3,118.33178901672363,2.6696159839630127,121.11915063858032,11.5,202.95424,2142.63808,46.0,64.0,0.798227654498871,51.58,77.44,0.5132044553756714,,0.25,32,5,0.00103842,,2.2309903125,2.010494140625,2.24495671875,1.973478515625
16,3,118.3993911743164,2.737772226333618,121.22197675704956,12.2,231.612416,2142.642176,46.0,63.0,0.9109414791063088,51.71,77.02,0.5134563446044922,,0.25,32,5,0.0010382899999999999,,2.17105421875,1.9954744140625,2.156679375,1.96974765625
17,3,118.35773730278015,2.7225332260131836,121.20081067085266,11.7,3793.404416,2142.650368,48.0,63.0,14.919620844330916,53.55,78.2,0.5346051454544067,,0.25,32,5,0.0010364500000000002,,2.113405,1.937519921875,2.085634375,1.9164625
18,3,117.33700060844421,2.7830686569213867,120.21468257904053,12.3,3463.021056,2142.650368,48.0,63.0,13.62020904323597,54.13,78.87,0.541676938533783,,0.25,32,6,0.0010358700000000002,,2.064980625,1.9046779296875,2.0828609375,1.869015625
19,3,118.06688714027405,2.684976100921631,120.87638187408447,11.7,202.95424,2142.670848,46.0,63.0,0.798227654498871,54.85,78.84,0.5498440265655518,,0.25,32,5,0.00103515,,2.02135625,1.8963859375,2.03158109375,1.860146875
20,3,118.27007222175598,2.7265539169311523,121.09502935409546,12.2,202.95424,2142.654464,47.0,63.0,0.798227654498871,55.38,79.93,0.5529633164405823,,0.25,32,5,0.0010346200000000002,,1.974821875,1.854400390625,1.98816671875,1.8415568359375
