epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,1,16.395508289337158,2.022071599960327,18.538432836532593,29.7,398.41024,2974.86336,0.0,37.0,2.3971364178545373,11.8,34.69,0.08556883037090302,,0.25,128,4,0.001,,4.0029609375,3.75558359375,4.0014859375,3.763991015625
2,1,15.245362281799316,1.9023945331573486,17.341025829315186,32.0,400.774656,3213.430784,0.0,40.0,2.411362527355533,16.22,41.02,0.14005553722381592,,0.25,128,4,0.001,,3.6663646875,3.625171484375,3.6711515625,3.60240546875
3,1,15.05111312866211,2.066643238067627,17.186965942382812,32.1,400.774656,3139.82976,0.0,35.0,2.411362527355533,20.34,48.43,0.17098194360733032,,0.25,128,4,0.001,,3.4064565625,3.3005390625,3.4059240625,3.2590728515625
4,1,15.553524255752563,1.8969590663909912,17.623351335525513,27.7,400.774656,3139.764224,0.0,38.0,2.411362527355533,29.0,59.34,0.26902496814727783,,0.25,128,4,0.001,,3.134776875,2.8654533203125,3.164863125,2.8249244140625
5,1,15.46224570274353,2.0005147457122803,17.57015037536621,31.8,400.774656,3140.03456,0.0,41.0,2.411362527355533,33.06,64.22,0.316948264837265,,0.25,128,4,0.001,,2.8874015625,2.6235994140625,2.8861175,2.5788419921875
6,1,14.892428398132324,2.0164639949798584,16.98068404197693,31.8,2962.786816,3140.378624,0.0,46.0,17.82635952071134,36.5,68.16,0.3562889099121094,,0.25,128,4,0.001,,2.687614375,2.4485759765625,2.694219375,2.4303263671875
7,1,15.615546703338623,2.0416030883789062,17.729103803634644,29.0,400.774656,3139.592192,0.0,43.0,2.411362527355533,40.4,71.79,0.39713743329048157,,0.25,128,4,0.001,,2.5235140625,2.2828375,2.52068515625,2.2625052734375
8,1,15.656158924102783,2.1127214431762695,17.87356996536255,31.9,323.702784,3140.390912,0.0,44.0,1.9476400307564912,43.78,75.8,0.43248558044433594,,0.25,128,4,0.001,,2.382606875,2.08801875,2.3866903125,2.069066796875
9,1,15.558810472488403,2.07084059715271,17.72213077545166,27.1,297.092096,3141.238784,0.0,43.0,1.7875300664419076,45.8,77.24,0.45377564430236816,,0.25,128,4,0.001,,2.2626784375,2.041589453125,2.25911515625,2.009143359375
10,1,15.4284987449646,2.01103138923645,17.550066232681274,31.9,2763.932672,3141.152768,0.0,50.0,16.629903048047158,46.0,76.73,0.44875821471214294,,0.25,128,4,0.001,,2.16175921875,2.0251123046875,2.1551146875,2.035765234375
11,1,15.337255001068115,2.02837872505188,17.486989736557007,31.8,400.774656,3140.489216,0.0,46.0,2.411362527355533,48.59,78.41,0.4828750491142273,,0.25,128,4,0.001,,2.062321875,1.949524609375,2.0719078125,1.972211328125
12,1,15.716565608978271,1.9605379104614258,17.81595277786255,29.8,400.774656,3141.009408,0.0,48.0,2.411362527355533,50.82,79.28,0.5074601173400879,,0.25,128,4,0.001,,1.98056703125,1.868719921875,1.98902765625,1.869944140625
13,1,15.524842977523804,2.0486600399017334,17.793277263641357,31.3,400.774656,3141.115904,0.0,49.0,2.411362527355533,51.9,81.37,0.5213299989700317,,0.25,128,4,0.001,,1.890356875,1.808500390625,1.88049359375,1.792009375
14,1,15.463441133499146,2.025071144104004,17.560513496398926,30.9,400.774656,3140.161536,0.0,47.0,2.411362527355533,54.42,82.03,0.5459160208702087,,0.25,128,4,0.001,,1.839249375,1.6717474609375,1.82317859375,1.6664759765625
15,1,15.911525249481201,1.9644322395324707,17.98317265510559,31.0,400.774656,3141.107712,0.0,47.0,2.411362527355533,56.05,85.05,0.5559907555580139,,0.25,128,4,0.001,,1.7778184375,1.596894921875,1.77496109375,1.59995908203125
16,1,15.457645893096924,2.054816484451294,17.581316232681274,30.9,400.774656,3141.070848,0.0,49.0,2.411362527355533,58.23,86.07,0.5805016756057739,,0.25,128,4,0.001,,1.71760265625,1.49369736328125,1.72743015625,1.47249462890625
17,1,15.781478881835938,1.9764809608459473,17.883750200271606,31.3,400.774656,3140.079616,0.0,48.0,2.411362527355533,59.11,85.28,0.589461624622345,,0.25,128,4,0.001,,1.6639634375,1.4915775390625,1.64618046875,1.48253994140625
18,1,15.123947858810425,2.038621425628662,17.438119888305664,32.3,400.774656,3140.071424,0.0,49.0,2.411362527355533,59.65,87.0,0.5953654050827026,,0.25,128,4,0.001,,1.6139928125,1.44625361328125,1.637440625,1.44880400390625
19,1,15.64677119255066,1.993011474609375,17.71367883682251,27.1,374.688256,3139.960832,0.0,54.0,2.2544070749788054,59.92,87.01,0.595562219619751,,0.25,128,4,0.001,,1.57300515625,1.437101171875,1.57206328125,1.41839140625
20,1,15.832435607910156,1.9798710346221924,17.93472123146057,30.4,400.774656,3140.694016,0.0,52.0,2.411362527355533,62.57,88.45,0.6240296959877014,,0.25,128,4,0.001,,1.5167346875,1.3395314453125,1.4973934375,1.35692236328125
