ts,cluster,queue_len,slots_total,slots_used,free,U_t,E_t,p_fair,lam_time,lam_cost,lam_fair
2025-11-18 22:52:42,clusterA,0,4,0,4,0.0,0.0,0.0,1.0,0.0,0.0
2025-11-18 22:52:42,clusterB,0,4,0,4,0.0,0.0,0.0,1.0,0.0,0.0
2025-11-18 22:52:47,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:52:47,clusterB,0,4,0,4,0.0,0.0,0.0,1.0,0.0,0.0
2025-11-18 22:52:52,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:52:52,clusterB,0,4,0,4,0.0,0.0,0.0,1.0,0.0,0.0
2025-11-18 22:52:57,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:52:57,clusterB,0,4,0,4,0.0,0.0,0.0,1.0,0.0,0.0
2025-11-18 22:53:03,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:53:03,clusterB,0,4,0,4,0.0,0.0,0.0,1.0,0.0,0.0
2025-11-18 22:53:08,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:53:08,clusterB,0,4,0,4,0.0,0.0,0.0,1.0,0.0,0.0
2025-11-18 22:53:13,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:53:13,clusterB,0,4,0,4,0.0,0.0,0.0,1.0,0.0,0.0
2025-11-18 22:53:18,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:53:18,clusterB,0,4,0,4,0.0,0.0,0.0,1.0,0.0,0.0
2025-11-18 22:53:23,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:53:23,clusterB,0,4,0,4,0.0,0.0,0.0,1.0,0.0,0.0
2025-11-18 22:53:28,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:53:28,clusterB,0,4,0,4,0.0,0.0,0.0,1.0,0.0,0.0
2025-11-18 22:53:33,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:53:33,clusterB,0,4,0,4,0.0,0.0,0.0,1.0,0.0,0.0
2025-11-18 22:53:38,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:53:38,clusterB,0,4,0,4,0.0,0.0,0.0,1.0,0.0,0.0
2025-11-18 22:53:43,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:53:43,clusterB,0,4,0,4,0.0,0.0,0.0,1.0,0.0,0.0
2025-11-18 22:53:48,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:53:48,clusterB,0,4,0,4,0.0,0.0,0.0,1.0,0.0,0.0
2025-11-18 22:53:53,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:53:53,clusterB,0,4,0,4,0.0,0.0,0.0,1.0,0.0,0.0
2025-11-18 22:53:58,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:53:58,clusterB,0,4,0,4,0.0,0.0,0.0,1.0,0.0,0.0
2025-11-18 22:54:03,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:54:03,clusterB,0,4,0,4,0.0,0.01,0.0,0.99,0.01,0.0
2025-11-18 22:54:08,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:54:08,clusterB,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:54:13,clusterA,0,4,0,4,0.0,0.03,0.0,0.97,0.03,0.0
2025-11-18 22:54:13,clusterB,0,4,0,4,0.0,0.03,0.0,0.97,0.03,0.0
2025-11-18 22:54:18,clusterA,0,4,0,4,0.0,0.03,0.0,0.97,0.03,0.0
2025-11-18 22:54:18,clusterB,0,4,0,4,0.0,0.04,0.0,0.96,0.04,0.0
2025-11-18 22:54:23,clusterA,0,4,0,4,0.0,0.03,0.0,0.97,0.03,0.0
2025-11-18 22:54:23,clusterB,0,4,0,4,0.0,0.05,0.0,0.95,0.05,0.0
2025-11-18 22:54:28,clusterA,0,4,0,4,0.0,0.03,0.0,0.97,0.03,0.0
2025-11-18 22:54:28,clusterB,0,4,0,4,0.0,0.06,0.0,0.94,0.06,0.0
2025-11-18 22:54:33,clusterA,0,4,0,4,0.0,0.03,0.0,0.97,0.03,0.0
2025-11-18 22:54:33,clusterB,0,4,0,4,0.0,0.07,0.0,0.9299999999999999,0.07,0.0
2025-11-18 22:54:38,clusterA,0,4,0,4,0.0,0.03,0.0,0.97,0.03,0.0
2025-11-18 22:54:38,clusterB,0,4,0,4,0.0,0.08,0.0,0.92,0.08,0.0
2025-11-18 22:54:43,clusterA,0,4,0,4,0.0,0.03,0.0,0.97,0.03,0.0
2025-11-18 22:54:43,clusterB,0,4,0,4,0.0,0.1,0.0,0.9,0.1,0.0
2025-11-18 22:54:48,clusterA,0,4,0,4,0.0,0.03,0.0,0.97,0.03,0.0
2025-11-18 22:54:48,clusterB,0,4,0,4,0.0,0.12,0.0,0.88,0.12,0.0
2025-11-18 22:54:53,clusterA,0,4,0,4,0.0,0.03,0.0,0.97,0.03,0.0
2025-11-18 22:54:53,clusterB,0,4,0,4,0.0,0.14,0.0,0.86,0.14,0.0
2025-11-18 22:54:58,clusterA,0,4,0,4,0.0,0.03,0.0,0.97,0.03,0.0
2025-11-18 22:54:58,clusterB,0,4,0,4,0.0,0.16,0.0,0.84,0.16,0.0
2025-11-18 22:55:03,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:55:03,clusterB,0,4,0,4,0.0,0.18,0.0,0.8200000000000001,0.18,0.0
2025-11-18 22:55:08,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:55:08,clusterB,0,4,0,4,0.0,0.2,0.0,0.8,0.2,0.0
2025-11-18 22:55:13,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:55:13,clusterB,0,4,0,4,0.0,0.23,0.0,0.77,0.23,0.0
2025-11-18 22:55:18,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:55:18,clusterB,0,4,0,4,0.0,0.26,0.0,0.74,0.26,0.0
2025-11-18 22:55:23,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:55:23,clusterB,0,4,0,4,0.0,0.3,0.0,0.7,0.3,0.0
2025-11-18 22:55:28,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:55:28,clusterB,0,4,0,4,0.0,0.34,0.0,0.6599999999999999,0.34,0.0
2025-11-18 22:55:33,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:55:33,clusterB,0,4,0,4,0.0,0.38,0.0,0.62,0.38,0.0
2025-11-18 22:55:38,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:55:38,clusterB,0,4,0,4,0.0,0.41,0.0,0.5900000000000001,0.41,0.0
2025-11-18 22:55:43,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:55:43,clusterB,0,4,0,4,0.0,0.45,0.0,0.55,0.45,0.0
2025-11-18 22:55:48,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:55:48,clusterB,0,4,0,4,0.0,0.49,0.0,0.51,0.49,0.0
2025-11-18 22:55:53,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:55:53,clusterB,0,4,0,4,0.0,0.53,0.0,0.47,0.53,0.0
2025-11-18 22:55:58,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:55:58,clusterB,0,4,0,4,0.0,0.56,0.0,0.43999999999999995,0.56,0.0
2025-11-18 22:56:03,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:56:03,clusterB,0,4,0,4,0.0,0.59,0.0,0.41000000000000003,0.59,0.0
2025-11-18 22:56:08,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:56:08,clusterB,0,4,0,4,0.0,0.62,0.0,0.38,0.62,0.0
2025-11-18 22:56:13,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:56:13,clusterB,0,4,0,4,0.0,0.65,0.0,0.35,0.65,0.0
2025-11-18 22:56:18,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:56:18,clusterB,0,4,0,4,0.0,0.67,0.0,0.32999999999999996,0.67,0.0
2025-11-18 22:56:23,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:56:23,clusterB,0,4,0,4,0.0,0.7,0.0,0.30000000000000004,0.7,0.0
2025-11-18 22:56:28,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:56:28,clusterB,0,4,0,4,0.0,0.73,0.0,0.27,0.73,0.0
2025-11-18 22:56:33,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:56:33,clusterB,0,4,0,4,0.0,0.76,0.0,0.24,0.76,0.0
2025-11-18 22:56:38,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:56:38,clusterB,0,4,0,4,0.0,0.79,0.0,0.20999999999999996,0.79,0.0
2025-11-18 22:56:43,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:56:43,clusterB,0,4,0,4,0.0,0.8,0.0,0.19999999999999996,0.8,0.0
2025-11-18 22:56:48,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:56:48,clusterB,0,4,0,4,0.0,0.82,0.0,0.18000000000000005,0.82,0.0
2025-11-18 22:56:53,clusterA,0,4,0,4,0.0,0.03,0.0,0.97,0.03,0.0
2025-11-18 22:56:53,clusterB,0,4,0,4,0.0,0.84,0.0,0.16000000000000003,0.84,0.0
2025-11-18 22:56:58,clusterA,0,4,0,4,0.0,0.03,0.0,0.97,0.03,0.0
2025-11-18 22:56:58,clusterB,0,4,0,4,0.0,0.86,0.0,0.14,0.86,0.0
2025-11-18 22:57:03,clusterA,0,4,0,4,0.0,0.03,0.0,0.97,0.03,0.0
2025-11-18 22:57:03,clusterB,0,4,0,4,0.0,0.87,0.0,0.13,0.87,0.0
2025-11-18 22:57:08,clusterA,0,4,0,4,0.0,0.03,0.0,0.97,0.03,0.0
2025-11-18 22:57:08,clusterB,0,4,0,4,0.0,0.89,0.0,0.10999999999999999,0.89,0.0
2025-11-18 22:57:13,clusterA,0,4,0,4,0.0,0.03,0.0,0.97,0.03,0.0
2025-11-18 22:57:13,clusterB,0,4,0,4,0.0,0.9,0.0,0.09999999999999998,0.9,0.0
2025-11-18 22:57:18,clusterA,0,4,0,4,0.0,0.03,0.0,0.97,0.03,0.0
2025-11-18 22:57:18,clusterB,0,4,0,4,0.0,0.9,0.0,0.09999999999999998,0.9,0.0
2025-11-18 22:57:23,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:57:23,clusterB,0,4,0,4,0.0,0.9,0.0,0.09999999999999998,0.9,0.0
2025-11-18 22:57:28,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:57:28,clusterB,0,4,0,4,0.0,0.9,0.0,0.09999999999999998,0.9,0.0
2025-11-18 22:57:33,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:57:33,clusterB,0,4,0,4,0.0,0.9,0.0,0.09999999999999998,0.9,0.0
2025-11-18 22:57:38,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:57:38,clusterB,0,4,0,4,0.0,0.9,0.0,0.09999999999999998,0.9,0.0
2025-11-18 22:57:43,clusterA,0,4,0,4,0.0,0.03,0.0,0.97,0.03,0.0
2025-11-18 22:57:43,clusterB,0,4,0,4,0.0,0.9,0.0,0.09999999999999998,0.9,0.0
2025-11-18 22:57:48,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:57:48,clusterB,0,4,0,4,0.0,0.9,0.0,0.09999999999999998,0.9,0.0
2025-11-18 22:57:53,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:57:53,clusterB,0,4,0,4,0.0,0.9,0.0,0.09999999999999998,0.9,0.0
2025-11-18 22:57:58,clusterA,0,4,0,4,0.0,0.03,0.0,0.97,0.03,0.0
2025-11-18 22:57:58,clusterB,0,4,0,4,0.0,0.9,0.0,0.09999999999999998,0.9,0.0
2025-11-18 22:58:03,clusterA,0,4,0,4,0.0,0.03,0.0,0.97,0.03,0.0
2025-11-18 22:58:03,clusterB,0,4,0,4,0.0,0.9,0.0,0.09999999999999998,0.9,0.0
2025-11-18 22:58:08,clusterA,0,4,0,4,0.0,0.03,0.0,0.97,0.03,0.0
2025-11-18 22:58:08,clusterB,0,4,0,4,0.0,0.9,0.0,0.09999999999999998,0.9,0.0
2025-11-18 22:58:13,clusterA,0,4,0,4,0.0,0.03,0.0,0.97,0.03,0.0
2025-11-18 22:58:13,clusterB,0,4,0,4,0.0,0.9,0.0,0.09999999999999998,0.9,0.0
2025-11-18 22:58:18,clusterA,0,4,0,4,0.0,0.03,0.0,0.97,0.03,0.0
2025-11-18 22:58:18,clusterB,0,4,0,4,0.0,0.9,0.0,0.09999999999999998,0.9,0.0
2025-11-18 22:58:23,clusterA,0,4,0,4,0.0,0.03,0.0,0.97,0.03,0.0
2025-11-18 22:58:23,clusterB,0,4,0,4,0.0,0.9,0.0,0.09999999999999998,0.9,0.0
2025-11-18 22:58:28,clusterA,0,4,0,4,0.0,0.03,0.0,0.97,0.03,0.0
2025-11-18 22:58:28,clusterB,0,4,0,4,0.0,0.9,0.0,0.09999999999999998,0.9,0.0
2025-11-18 22:58:33,clusterA,0,4,0,4,0.0,0.03,0.0,0.97,0.03,0.0
2025-11-18 22:58:33,clusterB,0,4,0,4,0.0,0.9,0.0,0.09999999999999998,0.9,0.0
2025-11-18 22:58:38,clusterA,0,4,0,4,0.0,0.03,0.0,0.97,0.03,0.0
2025-11-18 22:58:38,clusterB,0,4,0,4,0.0,0.9,0.0,0.09999999999999998,0.9,0.0
2025-11-18 22:58:43,clusterA,0,4,0,4,0.0,0.03,0.0,0.97,0.03,0.0
2025-11-18 22:58:43,clusterB,0,4,0,4,0.0,0.9,0.0,0.09999999999999998,0.9,0.0
2025-11-18 22:58:48,clusterA,0,4,0,4,0.0,0.03,0.0,0.97,0.03,0.0
2025-11-18 22:58:48,clusterB,0,4,0,4,0.0,0.9,0.0,0.09999999999999998,0.9,0.0
2025-11-18 22:58:53,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:58:53,clusterB,0,4,0,4,0.0,0.9,0.0,0.09999999999999998,0.9,0.0
2025-11-18 22:58:58,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:58:58,clusterB,0,4,0,4,0.0,0.9,0.0,0.09999999999999998,0.9,0.0
2025-11-18 22:59:03,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:59:03,clusterB,0,4,0,4,0.0,0.9,0.0,0.09999999999999998,0.9,0.0
2025-11-18 22:59:08,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:59:08,clusterB,0,4,0,4,0.0,0.9,0.0,0.09999999999999998,0.9,0.0
2025-11-18 22:59:13,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:59:13,clusterB,0,4,0,4,0.0,0.9,0.0,0.09999999999999998,0.9,0.0
2025-11-18 22:59:18,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:59:18,clusterB,0,4,0,4,0.0,0.9,0.0,0.09999999999999998,0.9,0.0
2025-11-18 22:59:23,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:59:23,clusterB,0,4,0,4,0.0,0.9,0.0,0.09999999999999998,0.9,0.0
2025-11-18 22:59:28,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:59:28,clusterB,0,4,0,4,0.0,0.9,0.0,0.09999999999999998,0.9,0.0
2025-11-18 22:59:33,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:59:33,clusterB,0,4,0,4,0.0,0.9,0.0,0.09999999999999998,0.9,0.0
2025-11-18 22:59:38,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:59:38,clusterB,0,4,0,4,0.0,0.9,0.0,0.09999999999999998,0.9,0.0
2025-11-18 22:59:43,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:59:43,clusterB,0,4,0,4,0.0,0.9,0.0,0.09999999999999998,0.9,0.0
2025-11-18 22:59:48,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:59:48,clusterB,0,4,0,4,0.0,0.9,0.0,0.09999999999999998,0.9,0.0
2025-11-18 22:59:53,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:59:53,clusterB,0,4,0,4,0.0,0.9,0.0,0.09999999999999998,0.9,0.0
2025-11-18 22:59:58,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 22:59:58,clusterB,0,4,0,4,0.0,0.9,0.0,0.09999999999999998,0.9,0.0
2025-11-18 23:00:03,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 23:00:03,clusterB,0,4,0,4,0.0,0.9,0.0,0.09999999999999998,0.9,0.0
2025-11-18 23:00:08,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 23:00:08,clusterB,0,4,0,4,0.0,0.9,0.0,0.09999999999999998,0.9,0.0
2025-11-18 23:00:13,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 23:00:13,clusterB,0,4,0,4,0.0,0.9,0.0,0.09999999999999998,0.9,0.0
2025-11-18 23:00:18,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 23:00:18,clusterB,0,4,0,4,0.0,0.9,0.0,0.09999999999999998,0.9,0.0
2025-11-18 23:00:23,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 23:00:23,clusterB,0,4,0,4,0.0,0.9,0.0,0.09999999999999998,0.9,0.0
2025-11-18 23:00:28,clusterA,0,4,0,4,0.0,0.03,0.0,0.97,0.03,0.0
2025-11-18 23:00:28,clusterB,0,4,0,4,0.0,0.9,0.0,0.09999999999999998,0.9,0.0
2025-11-18 23:00:33,clusterA,0,4,0,4,0.0,0.03,0.0,0.97,0.03,0.0
2025-11-18 23:00:33,clusterB,0,4,0,4,0.0,0.9,0.0,0.09999999999999998,0.9,0.0
2025-11-18 23:00:38,clusterA,0,4,0,4,0.0,0.03,0.0,0.97,0.03,0.0
2025-11-18 23:00:38,clusterB,0,4,0,4,0.0,0.9,0.0,0.09999999999999998,0.9,0.0
2025-11-18 23:00:43,clusterA,0,4,0,4,0.0,0.03,0.0,0.97,0.03,0.0
2025-11-18 23:00:43,clusterB,0,4,0,4,0.0,0.9,0.0,0.09999999999999998,0.9,0.0
2025-11-18 23:00:48,clusterA,0,4,0,4,0.0,0.03,0.0,0.97,0.03,0.0
2025-11-18 23:00:48,clusterB,0,4,0,4,0.0,0.9,0.0,0.09999999999999998,0.9,0.0
2025-11-18 23:00:53,clusterA,0,4,0,4,0.0,0.03,0.0,0.97,0.03,0.0
2025-11-18 23:00:53,clusterB,0,4,0,4,0.0,0.9,0.0,0.09999999999999998,0.9,0.0
2025-11-18 23:00:58,clusterA,0,4,0,4,0.0,0.03,0.0,0.97,0.03,0.0
2025-11-18 23:00:58,clusterB,0,4,0,4,0.0,0.9,0.0,0.09999999999999998,0.9,0.0
2025-11-18 23:01:03,clusterA,0,4,0,4,0.0,0.03,0.0,0.97,0.03,0.0
2025-11-18 23:01:03,clusterB,0,4,0,4,0.0,0.9,0.0,0.09999999999999998,0.9,0.0
2025-11-18 23:01:08,clusterA,0,4,4,0,0.0,0.03,0.0,0.97,0.03,0.0
2025-11-18 23:01:08,clusterB,0,4,0,4,0.0,0.9,0.0,0.09999999999999998,0.9,0.0
2025-11-18 23:01:13,clusterA,0,4,4,0,0.0,0.03,0.0,0.97,0.03,0.0
2025-11-18 23:01:13,clusterB,0,4,0,4,0.0,0.9,0.0,0.09999999999999998,0.9,0.0
