ts,event,job_id,cluster,world_size,note,metadata_json
2025-11-18 23:01:07,submitted,job-6f629c04d7cc,-,4,,"{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""epochs"": 20, ""batch_size_per_gpu"": 128, ""user_request"": ""Maximize GPU utilization for this run — I’m fine if it uses more energy temporarily.""}"
2025-11-18 23:01:07,started,job-6f629c04d7cc,clusterA,4,"started_on=clusterA, g=4, nodes=['node_a', 'node_b', 'node_c', 'node_d'], queued_sec=0.6578030586242676","{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""nodes"": [""node_a"", ""node_b"", ""node_c"", ""node_d""], ""queued_sec"": 0.6578030586242676, ""started_ts"": 1763474467.6585753}"
2025-11-18 23:04:23,submitted,job-ca2f165af851,-,2,,"{""model"": ""ResNet-50"", ""dataset"": ""CIFAR-10"", ""epochs"": 20, ""batch_size_per_gpu"": 128, ""user_request"": ""Please minimize queue waiting time. Start as soon as a slot is available.""}"
2025-11-18 23:04:24,started,job-ca2f165af851,clusterB,2,"started_on=clusterB, g=2, nodes=['node_e', 'node_f'], queued_sec=1.094874620437622","{""model"": ""ResNet-50"", ""dataset"": ""CIFAR-10"", ""nodes"": [""node_e"", ""node_f""], ""queued_sec"": 1.094874620437622, ""started_ts"": 1763474664.9608183}"
2025-11-18 23:07:24,finished,job-6f629c04d7cc,clusterA,4,exit=0,"{""end_ts"": 1763474844.9757938, ""jct_sec"": 377.317218542099, ""queued_sec"": 0.6578030586242676}"
2025-11-18 23:09:25,submitted,job-d1c88f69332e,-,2,,"{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""user_request"": ""This job is for testing only — minimal cost and stable runtime are more important than raw speed.""}"
2025-11-18 23:09:25,started,job-d1c88f69332e,clusterA,2,"started_on=clusterA, g=2, nodes=['node_a', 'node_b'], queued_sec=0.05782604217529297","{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""nodes"": [""node_a"", ""node_b""], ""queued_sec"": 0.05782604217529297, ""started_ts"": 1763474965.312539}"
2025-11-18 23:13:13,submitted,job-ee9d4afd8320,-,1,,"{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""user_request"": ""Please keep the cost reasonable while still maintaining decent speed.""}"
2025-11-18 23:13:14,submitted,job-fee4457ed8be,-,2,,"{""model"": ""DenseNet-121"", ""dataset"": ""TinyImageNet"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""user_request"": ""Maximize GPU utilization for this run — I’m fine if it uses more energy temporarily.""}"
2025-11-18 23:13:14,started,job-ee9d4afd8320,clusterA,1,"started_on=clusterA, g=1, nodes=['node_c'], queued_sec=0.6532042026519775","{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""nodes"": [""node_c""], ""queued_sec"": 0.6532042026519775, ""started_ts"": 1763475194.5869436}"
