job_id,cluster,model,dataset,world_size,submitted_ts,started_ts,end_ts,queued_sec,jct_sec,status
job-6f629c04d7cc,clusterA,ResNet-18,CIFAR-100,4,1763474467.0007722,1763474467.6585753,,0.6578030586242676,,running
job-ca2f165af851,clusterB,ResNet-50,CIFAR-10,2,1763474663.8659437,1763474664.9608183,,1.094874620437622,,running
job-6f629c04d7cc,clusterA,ResNet-18,CIFAR-100,4,1763474467.0007722,1763474467.6585753,1763474844.9757938,0.6578030586242676,377.317218542099,completed
job-d1c88f69332e,clusterA,DistilBERT,SST-2,2,1763474965.254713,1763474965.312539,,0.05782604217529297,,running
job-ee9d4afd8320,clusterA,ResNet-18,CIFAR-100,1,1763475193.9337394,1763475194.5869436,,0.6532042026519775,,running
job-fee4457ed8be,clusterB,DenseNet-121,TinyImageNet,2,1763475194.4429727,1763475194.6366005,,0.19362783432006836,,running
job-ca2f165af851,clusterB,ResNet-50,CIFAR-10,2,1763474663.8659437,1763474664.9608183,1763476116.3348415,1.094874620437622,1451.3740231990814,completed
job-ee9d4afd8320,clusterA,ResNet-18,CIFAR-100,1,1763475193.9337394,1763475194.5869436,1763476735.2558827,0.6532042026519775,1540.668939113617,completed
job-fee4457ed8be,clusterB,DenseNet-121,TinyImageNet,2,1763475194.4429727,1763475194.6366005,1763478489.606235,0.19362783432006836,3294.9696345329285,completed
job-4015dded961c,clusterB,ResNet-50,CIFAR-10,4,1763475537.5825493,1763478490.5618167,,2952.97926735878,,running
job-9121b6eb21d5,clusterA,EfficientNetV2-S,MNIST,2,1763475754.4517524,1763478490.608971,,2736.157218694687,,running
job-d1c88f69332e,clusterA,DistilBERT,SST-2,2,1763474965.254713,1763474965.312539,1763478552.9051428,0.05782604217529297,3587.5926036834717,completed
job-19ec5d8f9974,clusterA,EfficientNetV2-S,MNIST,1,1763475840.3096063,1763478553.7023277,,2713.392721414566,,running
job-4015dded961c,clusterB,ResNet-50,CIFAR-10,4,1763475537.5825493,1763478490.5618167,1763479884.8937755,2952.97926735878,1394.331958770752,completed
job-e834ec257f4f,clusterB,DenseNet-121,TinyImageNet,4,1763475933.1299608,1763479885.431597,,3952.3016362190247,,running
job-9121b6eb21d5,clusterA,EfficientNetV2-S,MNIST,2,1763475754.4517524,1763478490.608971,1763480994.1423185,2736.157218694687,2503.5333473682404,completed
job-1f44efa0f22b,clusterA,DistilBERT,SST-2,2,1763476502.8041537,1763480994.7619917,,4491.957838058472,,running
job-7a7622e05d1a,clusterA,DistilBERT,SST-2,1,1763476595.669193,1763480994.7875974,,4399.118404388428,,running
job-19ec5d8f9974,clusterA,EfficientNetV2-S,MNIST,1,1763475840.3096063,1763478553.7023277,1763482181.0618727,2713.392721414566,3627.359544992447,completed
job-90df451b95f0,clusterA,DistilBERT,SST-2,1,1763476650.3709588,1763482181.1333385,,5530.762379646301,,running
job-e834ec257f4f,clusterB,DenseNet-121,TinyImageNet,4,1763475933.1299608,1763479885.431597,1763482387.1186974,3952.3016362190247,2501.6871004104614,completed
job-2d4dabde4d2d,clusterB,EfficientNetV2-S,MNIST,2,1763477295.4860778,1763482387.5005338,,5092.014456033707,,running
job-2d4dabde4d2d,clusterB,EfficientNetV2-S,MNIST,2,1763477295.4860778,1763482387.5005338,1763484940.4591033,5092.014456033707,2552.9585695266724,completed
job-d1d756ea9ece,clusterB,ResNet-18,CIFAR-100,4,1763477689.603757,1763484941.5875378,,7251.983780860901,,running
job-d1d756ea9ece,clusterB,ResNet-18,CIFAR-100,4,1763477689.603757,1763484941.5875378,1763485735.2318604,7251.983780860901,793.6443226337433,completed
job-35e59f038d19,clusterB,DenseNet-121,TinyImageNet,2,1763477866.6446831,1763485735.9836593,,7869.338976144791,,running
job-9b302132f812,clusterB,EfficientNetV2-S,MNIST,1,1763477909.2719214,1763485736.0110111,,7826.739089727402,,running
