ts,event,job_id,queue_len_after,note
2025-11-18 23:01:07,enqueue,job-6f629c04d7cc,1,"g=4, batch=128"
2025-11-18 23:01:07,dequeue_start,job-6f629c04d7cc,0,"g=4, cluster=clusterA"
2025-11-18 23:04:23,enqueue,job-ca2f165af851,1,"g=2, batch=128"
2025-11-18 23:04:24,dequeue_start,job-ca2f165af851,0,"g=2, cluster=clusterB"
2025-11-18 23:09:25,enqueue,job-d1c88f69332e,1,"g=2, batch=64"
2025-11-18 23:09:25,dequeue_start,job-d1c88f69332e,0,"g=2, cluster=clusterA"
2025-11-18 23:13:13,enqueue,job-ee9d4afd8320,1,"g=1, batch=32"
2025-11-18 23:13:14,enqueue,job-fee4457ed8be,2,"g=2, batch=64"
2025-11-18 23:13:14,dequeue_start,job-ee9d4afd8320,1,"g=1, cluster=clusterA"
2025-11-18 23:13:14,dequeue_start,job-fee4457ed8be,0,"g=2, cluster=clusterB"
2025-11-18 23:18:57,enqueue,job-4015dded961c,1,"g=4, batch=32"
2025-11-18 23:22:34,enqueue,job-9121b6eb21d5,2,"g=2, batch=64"
2025-11-18 23:24:00,enqueue,job-19ec5d8f9974,3,"g=1, batch=64"
2025-11-18 23:25:33,enqueue,job-e834ec257f4f,4,"g=4, batch=32"
2025-11-18 23:35:02,enqueue,job-1f44efa0f22b,5,"g=2, batch=16"
2025-11-18 23:36:35,enqueue,job-7a7622e05d1a,6,"g=1, batch=16"
2025-11-18 23:37:30,enqueue,job-90df451b95f0,7,"g=1, batch=16"
2025-11-18 23:48:15,enqueue,job-2d4dabde4d2d,8,"g=2, batch=64"
2025-11-18 23:54:49,enqueue,job-d1d756ea9ece,9,"g=4, batch=32"
2025-11-18 23:57:46,enqueue,job-35e59f038d19,10,"g=2, batch=32"
2025-11-18 23:58:29,enqueue,job-9b302132f812,11,"g=1, batch=64"
2025-11-19 00:08:10,dequeue_start,job-4015dded961c,10,"g=4, cluster=clusterB"
2025-11-19 00:08:10,dequeue_start,job-9121b6eb21d5,9,"g=2, cluster=clusterA"
2025-11-19 00:09:13,dequeue_start,job-19ec5d8f9974,8,"g=1, cluster=clusterA"
2025-11-19 00:10:46,enqueue,job-25c2f5490a06,9,"g=4, batch=8"
2025-11-19 00:12:24,enqueue,job-ff9420a3efeb,10,"g=1, batch=32"
2025-11-19 00:20:36,enqueue,job-59aafe3914ff,11,"g=1, batch=64"
2025-11-19 00:26:50,enqueue,job-c6e3c0052139,12,"g=1, batch=64"
2025-11-19 00:31:25,dequeue_start,job-e834ec257f4f,11,"g=4, cluster=clusterB"
2025-11-19 00:48:27,enqueue,job-722e99f338a9,12,"g=1, batch=64"
2025-11-19 00:49:16,enqueue,job-2064572d9166,13,"g=1, batch=8"
2025-11-19 00:49:54,dequeue_start,job-1f44efa0f22b,12,"g=2, cluster=clusterA"
2025-11-19 00:49:54,dequeue_start,job-7a7622e05d1a,11,"g=1, cluster=clusterA"
2025-11-19 01:01:53,enqueue,job-573972db6da2,12,"g=1, batch=32"
2025-11-19 01:03:05,enqueue,job-068677de41f8,13,"g=2, batch=8"
2025-11-19 01:05:59,enqueue,job-22de28aadea9,14,"g=2, batch=32"
2025-11-19 01:09:41,dequeue_start,job-90df451b95f0,13,"g=1, cluster=clusterA"
2025-11-19 01:10:51,enqueue,job-9ad5dfe4f64f,14,"g=2, batch=16"
2025-11-19 01:12:23,enqueue,job-90badb15bed9,15,"g=2, batch=16"
2025-11-19 01:13:07,dequeue_start,job-2d4dabde4d2d,14,"g=2, cluster=clusterB"
