epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,1,112.35463571548462,4.951749324798584,117.50896978378296,0.0,164.337152,1182.650368,0.0,44.0,0.9887762218804833,98.66,100.0,0.9865374565124512,,0.5,64,4,0.001,,0.4948513997395833,0.04470301513671875,0.4965940104166667,0.04467330017089844
2,1,118.36034107208252,4.945877313613892,123.5133728981018,14.1,507.787264,2696.073216,0.0,55.0,3.055231067999448,98.56,99.98,0.9856154918670654,,0.5,64,4,0.001,,0.07157618815104166,0.04893779602050781,0.07161884765625,0.05110153198242187
3,1,120.24283504486084,4.846658706665039,125.62427401542664,14.1,507.787264,2729.869312,0.0,56.0,3.055231067999448,98.89,99.98,0.9889134168624878,,0.5,64,4,0.001,,0.04533763834635417,0.04026534423828125,0.04783394368489583,0.041979736328125
4,1,121.1172468662262,5.139549016952515,126.33732271194458,14.0,507.787264,2697.478144,0.0,57.0,3.055231067999448,99.4,100.0,0.9940358400344849,,0.5,64,4,0.001,,0.038448921712239584,0.020467166137695312,0.0370724365234375,0.019816470336914062
5,1,116.92499685287476,5.2639336585998535,122.3472273349762,16.3,463.285248,2697.510912,0.0,49.0,2.787473383805524,98.21,99.99,0.982104480266571,,0.5,64,4,0.001,,0.037326285807291665,0.06289495239257813,0.038457906087239584,0.06201976928710937
6,1,120.07598352432251,5.193136692047119,125.34211254119873,13.6,9654.035968,2698.579968,0.0,52.0,58.08595983419096,99.26,100.0,0.9926089644432068,,0.5,64,4,0.001,,0.0381989501953125,0.02529228210449219,0.03938256429036458,0.0263023681640625
7,1,119.38202238082886,5.153478384017944,124.6084201335907,13.5,9085.435392,2698.93632,0.0,52.0,54.66483002602472,99.07,100.0,0.9906732439994812,,0.5,64,4,0.001,,0.029606223551432293,0.029564706420898437,0.03164110107421875,0.02977125244140625
8,1,118.67888927459717,5.025373220443726,123.92169618606567,18.5,8284.487168,2699.087872,0.0,53.0,49.84572156996116,99.38,99.99,0.9937041997909546,,0.5,64,4,0.001,,0.024509285481770834,0.0198224853515625,0.026341536458333332,0.020974961853027344
9,1,119.4126946926117,5.058013916015625,124.54345107078552,17.5,507.787264,2699.300864,0.0,56.0,3.055231067999448,98.92,99.98,0.9891820549964905,,0.5,64,4,0.001,,0.024010508219401042,0.03452406005859375,0.022373746744791666,0.02991666259765625
10,1,114.01342391967773,4.873005390167236,119.01610207557678,18.3,507.787264,2699.317248,0.0,57.0,3.055231067999448,98.98,100.0,0.9897693395614624,,0.5,64,4,0.001,,0.027717411295572918,0.031470452880859374,0.026694521077473957,0.0348725830078125
11,1,118.3823733329773,5.202751398086548,123.72408056259155,18.1,4451.3152,2698.575872,0.0,53.0,26.782468676682242,99.29,100.0,0.9927980899810791,,0.5,64,4,0.001,,0.025706209309895832,0.02358768615722656,0.02512952880859375,0.02291221923828125
12,1,120.74277639389038,5.06919264793396,125.95329689979553,17.7,507.787264,2698.473472,0.0,59.0,3.055231067999448,99.23,100.0,0.9922873973846436,,0.5,64,4,0.001,,0.021575142415364585,0.025548956298828127,0.021586415608723958,0.02489578857421875
13,1,119.80071449279785,5.179994344711304,125.05421733856201,18.1,507.787264,2698.981376,0.0,55.0,3.055231067999448,99.28,100.0,0.9928548336029053,,0.5,64,4,0.001,,0.02159664306640625,0.022664410400390626,0.023731162516276043,0.01978117218017578
14,1,120.05373001098633,4.9992992877960205,125.18301248550415,18.5,507.786752,2699.546624,0.0,57.0,3.0552279874213832,99.18,99.99,0.9917346239089966,,0.5,64,4,0.001,,0.018384549967447917,0.025473736572265624,0.01995782674153646,0.022061505126953124
15,1,121.15926480293274,5.152186155319214,126.49328684806824,17.9,9369.719296,2698.858496,0.0,52.0,56.375296351609784,99.15,100.0,0.9913434982299805,,0.5,64,4,0.001,,0.019912841796875,0.0275118896484375,0.021513954671223957,0.026840432739257812
16,1,118.27642440795898,4.9774720668792725,123.5309066772461,13.8,507.787264,2737.664,0.0,53.0,3.055231067999448,99.39,100.0,0.9938509464263916,,0.5,64,4,0.001,,0.017889666748046876,0.0184556884765625,0.016766578165690105,0.014001980590820312
17,1,118.36819577217102,5.061157941818237,123.5039279460907,13.3,501.822976,2699.988992,0.0,58.0,3.01934541412827,99.47,100.0,0.99465411901474,,0.5,64,4,0.001,,0.01781859130859375,0.016128919982910155,0.017633160400390625,0.015000837707519532
18,1,114.5079197883606,5.080503940582275,119.67020654678345,13.9,7397.081088,2700.193792,0.0,54.0,44.50641746022357,99.4,100.0,0.994010865688324,,0.5,64,4,0.001,,0.01603066202799479,0.01970185089111328,0.016813584391276042,0.021185629272460937
19,1,119.19818377494812,5.064818382263184,124.42384195327759,13.5,507.787264,2699.956224,0.0,58.0,3.055231067999448,99.42,100.0,0.9941516518592834,,0.5,64,4,0.001,,0.01584700724283854,0.02097777099609375,0.015586836751302083,0.02007955322265625
20,1,118.4633400440216,5.122452020645142,123.64672183990479,14.0,9434.385408,2700.04224,0.0,53.0,56.76437644171053,99.23,100.0,0.992344081401825,,0.5,64,4,0.001,,0.014756282552083333,0.025200096130371094,0.015645895385742188,0.02442743835449219
