epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,2,4.433445453643799,0.6293466091156006,5.224400043487549,0.0,259.185664,1063.501824,0.0,34.0,1.5594563888724589,0.0,0.0,0.0,,0.25,32,4,0.001,,3.8063115032724926,2.9563506553912986,3.72519401490219,2.949102467504041
2,2,3.2431461811065674,0.5382168292999268,3.8542747497558594,9.7,667.070976,2192.023552,0.0,35.0,4.013601984385165,0.0,0.0,0.0,,0.25,32,4,0.001,,2.966467513212881,2.9239159945783944,2.9640104038508857,2.92846627070986
3,2,3.322136878967285,0.6905713081359863,4.1158668994903564,8.9,667.071488,2192.494592,0.0,35.0,4.0136050649632296,0.0,0.0,0.0,,0.25,32,4,0.001,,2.943720664715462,2.9218855233028016,2.9412836990957185,2.9253192770070044
4,2,3.4398858547210693,0.570927619934082,4.291772365570068,8.9,667.071488,2192.961536,0.0,35.0,4.0136050649632296,0.0,0.0,0.0,,0.25,32,4,0.001,,2.93542252412119,2.919459638924434,2.930764265886442,2.9202567791116647
5,2,3.5856311321258545,0.6145238876342773,4.430348873138428,8.8,667.071488,2193.780736,0.0,36.0,4.0136050649632296,0.0,0.0,0.0,,0.25,32,4,0.001,,2.9322779832688055,2.9167262110216865,2.92704040046752,2.9185814693056304
6,2,3.3332507610321045,0.6917707920074463,4.1512017250061035,8.5,908.91008,2193.936384,0.0,36.0,5.468688388438713,0.0,0.0,0.0,,0.25,32,4,0.001,,2.929829615290069,2.9169608806741647,2.9314865953340306,2.922125717689251
7,2,3.669233798980713,0.5446877479553223,4.3075597286224365,8.2,672.674816,2194.378752,0.0,37.0,4.047318911299066,0.0,0.0,0.0,,0.25,32,4,0.001,,2.9294133519235497,2.915337661216999,2.9383307028943157,2.918494388974946
8,2,3.722113847732544,0.5326740741729736,4.314396858215332,8.4,1724.261376,2194.386944,0.0,38.0,10.374456586029455,0.0,0.0,0.0,,0.25,32,4,0.001,,2.928926030911996,2.914983288995151,2.9291062242402806,2.917834577889278
9,2,3.673532724380493,0.5695602893829346,4.325674057006836,8.4,2292.887552,2194.833408,0.0,37.0,13.795740423098913,0.0,0.0,0.0,,0.25,32,4,0.001,,2.9282653868608652,2.9131011962890625,2.9311230276513287,2.9154186906485724
10,2,3.6571314334869385,0.5456862449645996,4.326517343521118,8.0,672.785408,2194.849792,0.0,39.0,4.047984316160958,0.0,0.0,0.0,,0.25,32,4,0.001,,2.927616505730703,2.911894173457705,2.9286008819820375,2.914475276552398
11,2,3.5774221420288086,0.5576202869415283,4.237377405166626,8.2,674.494976,2194.866176,0.0,37.0,4.058270366317698,0.0,0.0,0.0,,0.25,32,4,0.001,,2.925008258050639,2.910943919214709,2.9393925704355315,2.9106592638739226
12,2,3.5743119716644287,0.6389420032501221,4.230438947677612,8.1,672.800768,2194.866176,0.0,38.0,4.048076733502888,0.0,0.0,0.0,,0.25,32,4,0.001,,2.924742992179818,2.9086906170022897,2.939193845733883,2.9110117945177802
13,2,3.5532288551330566,0.6699769496917725,4.239957809448242,8.1,1964.16512,2194.853888,0.0,38.0,11.8178984049999,0.0,0.0,0.0,,0.25,32,4,0.001,,2.9211932307030484,2.905811441355738,2.923038512703002,2.9056196541621766
14,2,3.6642565727233887,0.4724459648132324,4.288402080535889,8.2,1890.175488,2194.870272,0.0,38.0,11.372720988348021,0.0,0.0,0.0,,0.25,32,4,0.001,,2.9188512091322516,2.9048135691675645,2.9243661474993847,2.903124315985318
15,2,3.566190242767334,0.5509827136993408,4.19404673576355,7.5,667.071488,2194.878464,0.0,40.0,4.0136050649632296,0.0,0.0,0.0,,0.25,32,4,0.001,,2.917290101477999,2.901648685849946,2.9101014625369093,2.898339107118804
16,2,3.4578545093536377,0.48578763008117676,4.189942359924316,8.6,667.071488,2195.345408,0.0,37.0,4.0136050649632296,0.0,0.0,0.0,,0.25,32,4,0.001,,2.9159344848512783,2.905573351629849,2.910495788093627,2.903649691877694
17,2,3.4086062908172607,0.5422143936157227,4.114822149276733,8.7,667.071488,2196.2752,0.0,37.0,4.0136050649632296,0.0,0.0,0.0,,0.25,32,4,0.001,,2.9161061274735744,2.9009304704337286,2.920235701433317,2.8991909684806036
18,2,3.4173097610473633,0.5685455799102783,4.1372458934783936,8.9,667.071488,2196.299776,0.0,37.0,4.0136050649632296,0.0,0.0,0.0,,0.25,32,4,0.001,,2.914936316986234,2.898625604037581,2.9181102842796505,2.895298661856816
19,2,3.411065101623535,0.5570366382598877,4.108508110046387,8.9,667.071488,2196.299776,0.0,38.0,4.0136050649632296,0.0,0.0,0.0,,0.25,32,4,0.001,,2.913273904175885,2.898786347487877,2.914598359836368,2.8949366602404365
20,2,3.4149057865142822,0.5507411956787109,4.054678201675415,8.9,667.071488,2196.33664,0.0,38.0,4.0136050649632296,0.0,0.0,0.0,,0.25,32,4,0.001,,2.9121804326450342,2.8997826411806304,2.926485797551673,2.898051820952317
