ts,cluster,queue_len,slots_total,slots_used,free,U_t,E_t,p_fair,lam_time,lam_cost,lam_fair
2025-11-19 16:09:10,clusterA,0,4,0,4,0.0,0.0,0.0,1.0,0.0,0.0
2025-11-19 16:09:10,clusterB,0,4,0,4,0.0,0.0,0.0,1.0,0.0,0.0
2025-11-19 16:09:15,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-19 16:09:15,clusterB,0,4,0,4,0.0,0.0,0.0,1.0,0.0,0.0
2025-11-19 16:09:20,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-19 16:09:20,clusterB,0,4,0,4,0.0,0.0,0.0,1.0,0.0,0.0
2025-11-19 16:09:25,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-19 16:09:25,clusterB,0,4,0,4,0.0,0.0,0.0,1.0,0.0,0.0
2025-11-19 16:09:30,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-19 16:09:30,clusterB,0,4,0,4,0.0,0.0,0.0,1.0,0.0,0.0
2025-11-19 16:09:35,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-19 16:09:35,clusterB,0,4,0,4,0.0,0.0,0.0,1.0,0.0,0.0
2025-11-19 16:09:40,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-19 16:09:40,clusterB,0,4,0,4,0.0,0.0,0.0,1.0,0.0,0.0
2025-11-19 16:09:45,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-19 16:09:45,clusterB,0,4,0,4,0.0,0.01,0.0,0.99,0.01,0.0
2025-11-19 16:09:50,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-19 16:09:50,clusterB,0,4,0,4,0.0,0.03,0.0,0.97,0.03,0.0
2025-11-19 16:09:55,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-19 16:09:55,clusterB,0,4,0,4,0.0,0.05,0.0,0.95,0.05,0.0
2025-11-19 16:10:00,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-19 16:10:00,clusterB,0,4,0,4,0.0,0.07,0.0,0.9299999999999999,0.07,0.0
