ts,event,job_id,cluster,world_size,note,metadata_json
2025-11-19 16:15:41,submitted,job-afe80d2c7dd5,-,4,"SJF g=4, T_est=1103.60s, batch=128","{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""epochs"": 20, ""batch_size_per_gpu"": 128, ""user_request"": ""Maximize GPU utilization for this run — I’m fine if it uses more energy temporarily."", ""est_runtime_sec"": 1103.6}"
2025-11-19 16:15:42,started,job-afe80d2c7dd5,clusterA,4,"SJF started_on=clusterA, g=4, nodes=['node_a', 'node_b', 'node_c', 'node_d'], queued_sec=0.7, T_est=1103.60s","{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""nodes"": [""node_a"", ""node_b"", ""node_c"", ""node_d""], ""queued_sec"": 0.7064127922058105, ""started_ts"": 1763536542.0819979, ""est_runtime_sec"": 1103.6}"
2025-11-19 16:18:58,submitted,job-9f6055150de9,-,2,"SJF g=2, T_est=1945.60s, batch=128","{""model"": ""ResNet-50"", ""dataset"": ""CIFAR-10"", ""epochs"": 20, ""batch_size_per_gpu"": 128, ""user_request"": ""Please minimize queue waiting time. Start as soon as a slot is available."", ""est_runtime_sec"": 1945.6}"
2025-11-19 16:18:58,started,job-9f6055150de9,clusterB,2,"SJF started_on=clusterB, g=2, nodes=['node_e', 'node_f'], queued_sec=0.1, T_est=1945.60s","{""model"": ""ResNet-50"", ""dataset"": ""CIFAR-10"", ""nodes"": [""node_e"", ""node_f""], ""queued_sec"": 0.08331179618835449, ""started_ts"": 1763536738.3515315, ""est_runtime_sec"": 1945.6}"
2025-11-19 16:22:04,finished,job-afe80d2c7dd5,clusterA,4,exit=0,"{""end_ts"": 1763536924.7032735, ""jct_sec"": 382.62127566337585, ""queued_sec"": 0.7064127922058105}"
2025-11-19 16:23:59,submitted,job-dbf5beb47086,-,2,"SJF g=2, T_est=2868.80s, batch=64","{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""user_request"": ""This job is for testing only — minimal cost and stable runtime are more important than raw speed."", ""est_runtime_sec"": 2868.8}"
2025-11-19 16:23:59,started,job-dbf5beb47086,clusterA,2,"SJF started_on=clusterA, g=2, nodes=['node_a', 'node_b'], queued_sec=0.0, T_est=2868.80s","{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""nodes"": [""node_a"", ""node_b""], ""queued_sec"": 0.04337310791015625, ""started_ts"": 1763537039.7267, ""est_runtime_sec"": 2868.8}"
2025-11-19 16:27:48,submitted,job-625b5f33e5ed,-,1,"SJF g=1, T_est=1060.00s, batch=32","{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""user_request"": ""Please keep the cost reasonable while still maintaining decent speed."", ""est_runtime_sec"": 1060.0}"
2025-11-19 16:27:48,submitted,job-5cfb700fd1fd,-,2,"SJF g=2, T_est=5652.00s, batch=64","{""model"": ""DenseNet-121"", ""dataset"": ""TinyImageNet"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""user_request"": ""Maximize GPU utilization for this run — I’m fine if it uses more energy temporarily."", ""est_runtime_sec"": 5652.0}"
2025-11-19 16:27:49,started,job-625b5f33e5ed,clusterA,1,"SJF started_on=clusterA, g=1, nodes=['node_c'], queued_sec=0.6, T_est=1060.00s","{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""nodes"": [""node_c""], ""queued_sec"": 0.6153302192687988, ""started_ts"": 1763537269.0060308, ""est_runtime_sec"": 1060.0}"
