job_id,cluster,model,dataset,world_size,submitted_ts,started_ts,end_ts,queued_sec,jct_sec,status
job-afe80d2c7dd5,clusterA,ResNet-18,CIFAR-100,4,1763536541.375585,1763536542.0819979,,0.7064127922058105,,running
job-9f6055150de9,clusterB,ResNet-50,CIFAR-10,2,1763536738.2682197,1763536738.3515315,,0.08331179618835449,,running
job-afe80d2c7dd5,clusterA,ResNet-18,CIFAR-100,4,1763536541.375585,1763536542.0819979,1763536924.7032735,0.7064127922058105,382.62127566337585,completed
job-dbf5beb47086,clusterA,DistilBERT,SST-2,2,1763537039.683327,1763537039.7267,,0.04337310791015625,,running
job-625b5f33e5ed,clusterA,ResNet-18,CIFAR-100,1,1763537268.3907006,1763537269.0060308,,0.6153302192687988,,running
job-5cfb700fd1fd,clusterB,DenseNet-121,TinyImageNet,2,1763537268.9279466,1763537269.0545862,,0.12663960456848145,,running
job-306182a8932d,clusterA,EfficientNetV2-S,MNIST,1,1763537914.8737946,1763537915.7684708,,0.8946762084960938,,running
job-9f6055150de9,clusterB,ResNet-50,CIFAR-10,2,1763536738.2682197,1763536738.3515315,1763538226.013215,0.08331179618835449,1487.6616835594177,completed
job-f87885ff1209,clusterB,EfficientNetV2-S,MNIST,2,1763537828.9886615,1763538226.351875,,397.36321353912354,,running
job-625b5f33e5ed,clusterA,ResNet-18,CIFAR-100,1,1763537268.3907006,1763537269.0060308,1763538849.8664865,0.6153302192687988,1580.860455751419,completed
job-32a6cac12b26,clusterA,DistilBERT,SST-2,1,1763538670.3102307,1763538850.0430398,,179.73280906677246,,running
job-5cfb700fd1fd,clusterB,DenseNet-121,TinyImageNet,2,1763537268.9279466,1763537269.0545862,1763540595.02962,0.12663960456848145,3325.975033760071,completed
job-a40f8e634008,clusterB,DistilBERT,SST-2,1,1763538725.0372355,1763540595.9553027,,1870.9180672168732,,running
job-bc57291b680d,clusterB,EfficientNetV2-S,MNIST,1,1763539984.0437763,1763540595.978035,,611.9342586994171,,running
