ts,event,job_id,queue_len_after,note
2025-11-19 16:15:41,enqueue,job-afe80d2c7dd5,1,"SJF g=4, T_est=1103.60s, batch=128"
2025-11-19 16:15:42,dequeue_start,job-afe80d2c7dd5,0,"SJF g=4, cluster=clusterA, T_est=1103.60s"
2025-11-19 16:18:58,enqueue,job-9f6055150de9,1,"SJF g=2, T_est=1945.60s, batch=128"
2025-11-19 16:18:58,dequeue_start,job-9f6055150de9,0,"SJF g=2, cluster=clusterB, T_est=1945.60s"
2025-11-19 16:23:59,enqueue,job-dbf5beb47086,1,"SJF g=2, T_est=2868.80s, batch=64"
2025-11-19 16:23:59,dequeue_start,job-dbf5beb47086,0,"SJF g=2, cluster=clusterA, T_est=2868.80s"
2025-11-19 16:27:48,enqueue,job-625b5f33e5ed,1,"SJF g=1, T_est=1060.00s, batch=32"
2025-11-19 16:27:48,enqueue,job-5cfb700fd1fd,2,"SJF g=2, T_est=5652.00s, batch=64"
2025-11-19 16:27:49,dequeue_start,job-625b5f33e5ed,1,"SJF g=1, cluster=clusterA, T_est=1060.00s"
2025-11-19 16:27:49,dequeue_start,job-5cfb700fd1fd,0,"SJF g=2, cluster=clusterB, T_est=5652.00s"
2025-11-19 16:33:32,enqueue,job-6d620adff21c,1,"SJF g=4, T_est=1932.00s, batch=32"
2025-11-19 16:37:08,enqueue,job-f87885ff1209,2,"SJF g=2, T_est=4036.20s, batch=64"
2025-11-19 16:38:34,enqueue,job-306182a8932d,3,"SJF g=1, T_est=4072.20s, batch=64"
2025-11-19 16:38:35,dequeue_start,job-306182a8932d,2,"SJF g=1, cluster=clusterA, T_est=4072.20s"
2025-11-19 16:40:07,enqueue,job-77d2ecd04b65,3,"SJF g=4, T_est=6158.40s, batch=32"
2025-11-19 16:43:46,dequeue_start,job-f87885ff1209,2,"SJF g=2, cluster=clusterB, T_est=4036.20s"
2025-11-19 16:49:37,enqueue,job-10144083586e,3,"SJF g=2, T_est=2868.80s, batch=16"
2025-11-19 16:51:10,enqueue,job-32a6cac12b26,4,"SJF g=1, T_est=2303.80s, batch=16"
2025-11-19 16:52:05,enqueue,job-a40f8e634008,5,"SJF g=1, T_est=2303.80s, batch=16"
2025-11-19 16:54:10,dequeue_start,job-32a6cac12b26,4,"SJF g=1, cluster=clusterA, T_est=2303.80s"
2025-11-19 17:02:50,enqueue,job-e0bc5e761190,5,"SJF g=2, T_est=4036.20s, batch=64"
2025-11-19 17:09:24,enqueue,job-44aae1286451,6,"SJF g=4, T_est=1103.60s, batch=32"
2025-11-19 17:12:21,enqueue,job-aad4df65f687,7,"SJF g=2, T_est=5652.00s, batch=32"
2025-11-19 17:13:04,enqueue,job-bc57291b680d,8,"SJF g=1, T_est=4072.20s, batch=64"
2025-11-19 17:23:15,dequeue_start,job-a40f8e634008,7,"SJF g=1, cluster=clusterB, T_est=2303.80s"
2025-11-19 17:23:15,dequeue_start,job-bc57291b680d,6,"SJF g=1, cluster=clusterB, T_est=4072.20s"
2025-11-19 17:25:21,enqueue,job-1c06f7494399,7,"SJF g=4, T_est=71.20s, batch=8"
2025-11-19 17:26:10,dequeue_start,job-10144083586e,6,"SJF g=2, cluster=clusterB, T_est=2868.80s"
2025-11-19 17:26:57,dequeue_start,job-e0bc5e761190,5,"SJF g=2, cluster=clusterA, T_est=4036.20s"
2025-11-19 17:26:59,enqueue,job-d3b3c605ddf5,6,"SJF g=1, T_est=5941.80s, batch=32"
2025-11-19 17:35:11,enqueue,job-67bb95eb9db9,7,"SJF g=1, T_est=4072.20s, batch=64"
2025-11-19 17:41:24,enqueue,job-29b77c852448,8,"SJF g=1, T_est=1060.00s, batch=64"
2025-11-19 17:42:05,dequeue_start,job-29b77c852448,7,"SJF g=1, cluster=clusterA, T_est=1060.00s"
2025-11-19 17:59:11,dequeue_start,job-67bb95eb9db9,6,"SJF g=1, cluster=clusterA, T_est=4072.20s"
2025-11-19 18:03:02,enqueue,job-32dc80277897,7,"SJF g=1, T_est=1832.80s, batch=64"
2025-11-19 18:03:51,enqueue,job-b54ef6797a73,8,"SJF g=1, T_est=64.00s, batch=8"
2025-11-19 18:08:39,dequeue_start,job-b54ef6797a73,7,"SJF g=1, cluster=clusterA, T_est=64.00s"
2025-11-19 18:08:39,dequeue_start,job-32dc80277897,6,"SJF g=1, cluster=clusterA, T_est=1832.80s"
2025-11-19 18:15:00,dequeue_start,job-d3b3c605ddf5,5,"SJF g=1, cluster=clusterA, T_est=5941.80s"
2025-11-19 18:16:28,enqueue,job-89806eedb229,6,"SJF g=1, T_est=2303.80s, batch=32"
2025-11-19 18:17:40,enqueue,job-10a9e78eeaab,7,"SJF g=2, T_est=62.80s, batch=8"
2025-11-19 18:20:34,enqueue,job-34d52e9251fe,8,"SJF g=2, T_est=2868.80s, batch=32"
2025-11-19 18:25:26,enqueue,job-6beb14fe9503,9,"SJF g=2, T_est=2868.80s, batch=16"
2025-11-19 18:26:58,enqueue,job-cbe83806a11d,10,"SJF g=2, T_est=62.80s, batch=16"
2025-11-19 18:36:55,enqueue,job-4178d0b0106c,11,"SJF g=2, T_est=62.80s, batch=32"
2025-11-19 18:37:57,enqueue,job-c5f8bc2b897f,12,"SJF g=1, T_est=2303.80s, batch=64"
