ts,node_id,gpu_index,gpu_util,power_w,mem_used_mb,mem_total_mb
2025-11-19 16:09:44,node-e,0,0.0,17.6,317,24564
2025-11-19 16:09:47,node-f,0,0.0,18.5,317,24564
2025-11-19 16:09:49,node-e,0,0.0,17.7,317,24564
2025-11-19 16:09:52,node-f,0,0.0,18.5,317,24564
2025-11-19 16:09:54,node-e,0,0.0,17.7,317,24564
2025-11-19 16:09:57,node-f,0,0.0,18.6,317,24564
2025-11-19 16:09:59,node-e,0,0.0,17.9,317,24564
2025-11-19 16:10:00,node-g,0,0.0,15.9,317,24564
2025-11-19 16:10:02,node-f,0,0.0,18.5,317,24564
2025-11-19 16:10:04,node-e,0,0.0,17.7,317,24564
2025-11-19 16:10:06,node-g,0,0.0,16.0,317,24564
2025-11-19 16:10:07,node-f,0,0.0,18.6,317,24564
2025-11-19 16:10:09,node-e,0,0.0,17.7,317,24564
2025-11-19 16:10:11,node-g,0,0.0,15.8,317,24564
2025-11-19 16:10:11,node-h,0,0.0,16.2,317,24564
2025-11-19 16:10:12,node-f,0,0.0,18.5,317,24564
2025-11-19 16:10:14,node-e,0,0.0,17.7,317,24564
2025-11-19 16:10:16,node-g,0,0.0,15.7,317,24564
2025-11-19 16:10:16,node-h,0,0.0,16.4,317,24564
2025-11-19 16:10:17,node-f,0,0.0,18.6,317,24564
2025-11-19 16:10:19,node-e,0,0.0,17.6,317,24564
2025-11-19 16:10:21,node-g,0,0.0,15.8,317,24564
2025-11-19 16:10:21,node-h,0,0.0,16.3,317,24564
2025-11-19 16:10:22,node-f,0,0.0,18.6,317,24564
2025-11-19 16:10:24,node-e,0,0.0,17.6,317,24564
2025-11-19 16:10:26,node-g,0,0.0,15.6,317,24564
2025-11-19 16:10:26,node-h,0,0.0,16.3,317,24564
2025-11-19 16:10:27,node-f,0,0.0,18.6,317,24564
2025-11-19 16:10:29,node-e,0,0.0,17.6,317,24564
2025-11-19 16:10:31,node-g,0,0.0,15.7,317,24564
2025-11-19 16:10:31,node-h,0,0.0,16.2,317,24564
2025-11-19 16:10:32,node-f,0,0.0,18.5,317,24564
2025-11-19 16:10:34,node-e,0,0.0,17.7,317,24564
2025-11-19 16:10:36,node-g,0,0.0,15.8,317,24564
2025-11-19 16:10:37,node-h,0,0.0,16.2,317,24564
2025-11-19 16:10:37,node-f,0,0.0,18.8,317,24564
2025-11-19 16:10:39,node-e,0,0.0,17.6,317,24564
2025-11-19 16:10:41,node-g,0,0.0,15.8,317,24564
2025-11-19 16:10:42,node-h,0,0.0,16.3,317,24564
2025-11-19 16:10:42,node-f,0,0.0,18.6,317,24564
2025-11-19 16:10:44,node-e,0,0.0,17.6,317,24564
2025-11-19 16:10:46,node-g,0,0.0,15.6,317,24564
2025-11-19 16:10:47,node-h,0,0.0,16.2,317,24564
2025-11-19 16:10:48,node-f,0,0.0,18.7,317,24564
2025-11-19 16:10:49,node-e,0,0.0,17.7,317,24564
2025-11-19 16:10:51,node-g,0,0.0,15.6,317,24564
2025-11-19 16:10:52,node-h,0,0.0,16.2,317,24564
2025-11-19 16:10:53,node-f,0,0.0,18.7,317,24564
2025-11-19 16:10:54,node-e,0,0.0,17.5,317,24564
2025-11-19 16:10:56,node-g,0,0.0,15.7,317,24564
2025-11-19 16:10:57,node-h,0,0.0,16.1,317,24564
2025-11-19 16:10:58,node-f,0,0.0,18.8,317,24564
2025-11-19 16:10:59,node-e,0,0.0,17.5,317,24564
2025-11-19 16:11:01,node-g,0,0.0,15.8,317,24564
2025-11-19 16:11:02,node-h,0,0.0,16.1,317,24564
2025-11-19 16:11:03,node-f,0,0.0,18.8,317,24564
2025-11-19 16:11:04,node-e,0,0.0,17.5,317,24564
2025-11-19 16:11:06,node-g,0,0.0,15.7,317,24564
2025-11-19 16:11:07,node-h,0,0.0,16.2,317,24564
2025-11-19 16:11:08,node-f,0,0.0,18.7,317,24564
2025-11-19 16:11:09,node-e,0,0.0,17.6,317,24564
2025-11-19 16:11:11,node-g,0,0.0,15.7,317,24564
2025-11-19 16:11:12,node-h,0,0.0,16.2,317,24564
2025-11-19 16:11:13,node-f,0,0.0,18.8,317,24564
2025-11-19 16:11:14,node-e,0,0.0,17.5,317,24564
2025-11-19 16:11:16,node-g,0,0.0,15.8,317,24564
2025-11-19 16:11:17,node-h,0,0.0,16.2,317,24564
2025-11-19 16:11:18,node-f,0,0.0,18.7,317,24564
2025-11-19 16:11:19,node-e,0,0.0,17.5,317,24564
2025-11-19 16:11:21,node-g,0,0.0,15.7,317,24564
2025-11-19 16:11:22,node-h,0,0.0,16.2,317,24564
2025-11-19 16:11:23,node-f,0,0.0,18.7,317,24564
