ts,cluster,queue_len,slots_total,slots_used,free,U_t,E_t,p_fair,lam_time,lam_cost,lam_fair
2025-11-23 23:32:05,clusterA,0,3,0,3,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 23:32:05,cluster_A,0,1,0,1,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 23:32:05,clusterB,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 23:32:10,clusterA,0,3,0,3,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 23:32:10,cluster_A,0,1,0,1,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 23:32:10,clusterB,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 23:32:15,clusterA,0,3,0,3,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 23:32:15,cluster_A,0,1,0,1,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 23:32:15,clusterB,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 23:32:20,clusterA,0,3,0,3,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 23:32:20,cluster_A,0,1,0,1,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 23:32:20,clusterB,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 23:32:25,clusterA,0,3,0,3,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 23:32:25,cluster_A,0,1,0,1,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 23:32:25,clusterB,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 23:32:30,clusterA,0,3,0,3,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 23:32:30,cluster_A,0,1,0,1,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 23:32:30,clusterB,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 23:32:35,clusterA,0,3,0,3,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 23:32:35,cluster_A,0,1,0,1,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 23:32:35,clusterB,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
