ts,event,job_id,cluster,world_size,note,metadata_json
2025-11-23 23:39:12,submitted,job-a227a6b4,-,0,,"{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""epochs"": 20, ""batch_size_per_gpu"": 128, ""learning_rate"": 0.001}"
2025-11-23 23:39:15,started,job-a227a6b4,clusterA,1,"started_on=clusterA, g=1","{""nodes"": [""node_a""], ""started_ts"": ""2025-11-23T23:39:15.254739""}"
2025-11-23 23:42:29,submitted,job-6747a4b5,-,0,,"{""model"": ""ResNet-50"", ""dataset"": ""CIFAR-10"", ""epochs"": 20, ""batch_size_per_gpu"": 128, ""learning_rate"": 0.001}"
2025-11-23 23:42:33,started,job-6747a4b5,cluster_A,1,"started_on=cluster_A, g=1","{""nodes"": [""node_b""], ""started_ts"": ""2025-11-23T23:42:33.561642""}"
2025-11-23 23:47:30,submitted,job-63f593f4,-,0,,"{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""learning_rate"": 0.001}"
2025-11-23 23:47:30,started,job-63f593f4,clusterA,1,"started_on=clusterA, g=1","{""nodes"": [""node_c""], ""started_ts"": ""2025-11-23T23:47:30.886880""}"
2025-11-23 23:51:19,submitted,job-52ee13ff,-,0,,"{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""learning_rate"": 0.001}"
2025-11-23 23:51:19,submitted,job-fd5407bc,-,0,,"{""model"": ""DenseNet-121"", ""dataset"": ""TinyImageNet"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""learning_rate"": 0.001}"
2025-11-23 23:51:24,started,job-52ee13ff,clusterA,1,"started_on=clusterA, g=1","{""nodes"": [""node_d""], ""started_ts"": ""2025-11-23T23:51:24.909526""}"
2025-11-23 23:51:24,started,job-fd5407bc,clusterB,1,"started_on=clusterB, g=1","{""nodes"": [""node_e""], ""started_ts"": ""2025-11-23T23:51:24.925659""}"
2025-11-23 23:51:39,failed,job-52ee13ff,clusterA,1,Done,{}
2025-11-23 23:54:34,started,job-fd5407bc,clusterA,2,"started_on=clusterA, g=2","{""nodes"": [""node_d"", ""node_f""], ""started_ts"": ""2025-11-23T23:54:34.499722""}"
2025-11-23 23:54:49,started,job-fd5407bc,clusterB,2,"started_on=clusterB, g=2","{""nodes"": [""node_g"", ""node_h""], ""started_ts"": ""2025-11-23T23:54:49.846443""}"
2025-11-23 23:57:03,submitted,job-083ebadc,-,0,,"{""model"": ""ResNet-50"", ""dataset"": ""CIFAR-10"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""learning_rate"": 0.001}"
2025-11-23 23:57:07,started,job-083ebadc,clusterA,1,"started_on=clusterA, g=1","{""nodes"": [""node_d""], ""started_ts"": ""2025-11-23T23:57:07.207986""}"
2025-11-24 00:00:39,submitted,job-44d29810,-,0,,"{""model"": ""EfficientNetV2-S"", ""dataset"": ""MNIST"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""learning_rate"": 0.001}"
