job_id,cluster,model,dataset,world_size,submitted_ts,started_ts,end_ts,queued_sec,jct_sec,status
job-a227a6b4,clusterA,ResNet-18,CIFAR-100,1,2025-11-23 23:39:12,2025-11-23 23:39:15,,2.931437,,running
job-6747a4b5,cluster_A,ResNet-50,CIFAR-10,1,2025-11-23 23:42:29,2025-11-23 23:42:33,,4.377460,,running
job-63f593f4,clusterA,DistilBERT,SST-2,1,2025-11-23 23:47:30,2025-11-23 23:47:30,,0.316070,,running
job-52ee13ff,clusterA,ResNet-18,CIFAR-100,1,2025-11-23 23:51:19,2025-11-23 23:51:24,,5.478662,,running
job-fd5407bc,clusterB,DenseNet-121,TinyImageNet,1,2025-11-23 23:51:19,2025-11-23 23:51:24,,4.986321,,running
job-52ee13ff,clusterA,ResNet-18,CIFAR-100,1,2025-11-23 23:51:19,2025-11-23 23:51:24,2025-11-23 23:51:39,5.48,20.55,FAILED
job-fd5407bc,clusterA,DenseNet-121,TinyImageNet,2,2025-11-23 23:51:19,2025-11-23 23:54:34,,194.560384,,running
job-fd5407bc,clusterB,DenseNet-121,TinyImageNet,2,2025-11-23 23:51:19,2025-11-23 23:54:49,,209.907105,,running
job-083ebadc,clusterA,ResNet-50,CIFAR-10,1,2025-11-23 23:57:03,2025-11-23 23:57:07,,4.129997,,running
job-44d29810,clusterB,EfficientNetV2-S,MNIST,1,2025-11-24 00:00:39,2025-11-24 00:00:51,,11.998242,,running
job-44d29810,clusterB,EfficientNetV2-S,MNIST,1,2025-11-24 00:00:39,2025-11-24 00:00:51,2025-11-24 00:02:07,12.00,87.58,FAILED
job-6c186806,clusterB,EfficientNetV2-S,MNIST,1,2025-11-24 00:02:07,2025-11-24 00:02:22,,14.987031,,running
job-6c186806,clusterB,EfficientNetV2-S,MNIST,1,2025-11-24 00:02:07,2025-11-24 00:02:22,2025-11-24 00:03:07,14.99,60.28,FAILED
job-a227a6b4,clusterA,ResNet-18,CIFAR-100,1,2025-11-23 23:39:12,2025-11-23 23:39:15,2025-11-24 00:03:23,2.93,1450.75,FINISHED
job-083ebadc,clusterA,ResNet-50,CIFAR-10,2,2025-11-23 23:57:03,2025-11-24 00:03:34,,391.877812,,running
job-083ebadc,clusterB,ResNet-50,CIFAR-10,2,2025-11-23 23:57:03,2025-11-24 00:03:40,,397.330964,,running
job-51a129ae,clusterB,DenseNet-121,TinyImageNet,1,2025-11-24 00:03:40,2025-11-24 00:03:45,,5.480385,,running
