ts,event,job_id,queue_len_after,note
2025-11-23 23:39:12,enqueue,job-a227a6b4,1,"g=0, batch=128"
2025-11-23 23:39:15,dequeue_start,job-a227a6b4,0,"g=1, cluster=clusterA"
2025-11-23 23:42:29,enqueue,job-6747a4b5,1,"g=0, batch=128"
2025-11-23 23:42:33,dequeue_start,job-6747a4b5,0,"g=1, cluster=cluster_A"
2025-11-23 23:47:30,enqueue,job-63f593f4,1,"g=0, batch=64"
2025-11-23 23:47:30,dequeue_start,job-63f593f4,0,"g=1, cluster=clusterA"
2025-11-23 23:51:19,enqueue,job-52ee13ff,1,"g=0, batch=32"
2025-11-23 23:51:19,enqueue,job-fd5407bc,2,"g=0, batch=64"
2025-11-23 23:51:24,dequeue_start,job-52ee13ff,0,"g=1, cluster=clusterA"
2025-11-23 23:51:24,dequeue_start,job-fd5407bc,0,"g=1, cluster=clusterB"
2025-11-23 23:54:34,dequeue_start,job-fd5407bc,1,"g=2, cluster=clusterA"
2025-11-23 23:54:49,dequeue_start,job-fd5407bc,0,"g=2, cluster=clusterB"
2025-11-23 23:57:03,enqueue,job-083ebadc,1,"g=0, batch=32"
2025-11-23 23:57:07,dequeue_start,job-083ebadc,0,"g=1, cluster=clusterA"
2025-11-24 00:00:39,enqueue,job-44d29810,1,"g=0, batch=64"
2025-11-24 00:00:51,dequeue_start,job-44d29810,0,"g=1, cluster=clusterB"
2025-11-24 00:02:07,enqueue,job-6c186806,1,"g=0, batch=64"
2025-11-24 00:02:22,dequeue_start,job-6c186806,0,"g=1, cluster=clusterB"
2025-11-24 00:03:34,dequeue_start,job-083ebadc,1,"g=2, cluster=clusterA"
2025-11-24 00:03:40,enqueue,job-51a129ae,1,"g=0, batch=32"
2025-11-24 00:03:40,dequeue_start,job-083ebadc,1,"g=2, cluster=clusterB"
2025-11-24 00:03:45,dequeue_start,job-51a129ae,0,"g=1, cluster=clusterB"
2025-11-24 00:06:56,dequeue_start,job-51a129ae,1,"g=2, cluster=clusterA"
2025-11-24 00:07:02,dequeue_start,job-51a129ae,0,"g=2, cluster=clusterB"
2025-11-24 00:13:10,enqueue,job-386aa3fa,1,"g=0, batch=16"
2025-11-24 00:13:15,dequeue_start,job-386aa3fa,0,"g=1, cluster=clusterA"
2025-11-24 00:14:42,enqueue,job-97d1eb93,1,"g=0, batch=16"
2025-11-24 00:14:48,dequeue_start,job-97d1eb93,0,"g=1, cluster=clusterA"
2025-11-24 00:15:37,enqueue,job-71da57bf,1,"g=0, batch=16"
2025-11-24 00:15:52,dequeue_start,job-71da57bf,0,"g=1, cluster=clusterB"
2025-11-24 00:26:22,enqueue,job-685886d7,1,"g=0, batch=64"
2025-11-24 00:26:37,dequeue_start,job-685886d7,0,"g=1, cluster=clusterB"
2025-11-24 00:32:56,enqueue,job-369fabfd,1,"g=0, batch=32"
2025-11-24 00:33:10,dequeue_start,job-369fabfd,0,"g=1, cluster=cluster_A"
2025-11-24 00:35:53,enqueue,job-ef1f2038,1,"g=0, batch=32"
2025-11-24 00:36:09,dequeue_start,job-ef1f2038,0,"g=1, cluster=clusterB"
2025-11-24 00:36:36,enqueue,job-e37e7615,1,"g=0, batch=64"
2025-11-24 00:37:01,dequeue_start,job-e37e7615,0,"g=1, cluster=clusterB"
2025-11-24 00:48:53,enqueue,job-aa215c03,1,"g=0, batch=8"
2025-11-24 00:50:37,enqueue,job-bc349051,2,"g=0, batch=32"
2025-11-24 00:56:59,dequeue_start,job-aa215c03,1,"g=1, cluster=clusterA"
2025-11-24 00:59:09,enqueue,job-0911a8d5,2,"g=0, batch=64"
2025-11-24 00:59:34,dequeue_start,job-bc349051,1,"g=1, cluster=cluster_A"
2025-11-24 01:05:12,enqueue,job-882cf703,2,"g=0, batch=64"
2025-11-24 01:15:12,dequeue_start,job-0911a8d5,1,"g=1, cluster=clusterA"
2025-11-24 01:27:00,enqueue,job-69e61fa6,2,"g=0, batch=64"
2025-11-24 01:27:50,enqueue,job-9d451957,3,"g=0, batch=8"
2025-11-24 01:33:55,dequeue_start,job-882cf703,3,"g=1, cluster=clusterA"
2025-11-24 01:35:27,dequeue_start,job-0911a8d5,2,"g=1, cluster=clusterA"
2025-11-24 01:40:36,enqueue,job-116ac9a9,3,"g=0, batch=32"
2025-11-24 01:41:53,enqueue,job-9650d1ec,4,"g=0, batch=8"
2025-11-24 01:44:50,enqueue,job-a6443c04,5,"g=0, batch=32"
2025-11-24 01:49:57,enqueue,job-846731a3,6,"g=0, batch=16"
2025-11-24 01:51:39,enqueue,job-ef1b32d4,7,"g=0, batch=16"
2025-11-24 02:01:31,enqueue,job-846fc9e7,8,"g=0, batch=32"
2025-11-24 02:02:44,enqueue,job-c22c8882,9,"g=0, batch=64"
2025-11-24 02:03:23,dequeue_start,job-69e61fa6,9,"g=1, cluster=clusterA"
2025-11-24 02:04:53,dequeue_start,job-0911a8d5,9,"g=2, cluster=clusterA"
2025-11-24 02:06:24,dequeue_start,job-ef1f2038,8,"g=1, cluster=clusterB"
2025-11-24 02:07:04,dequeue_start,job-9d451957,7,"g=1, cluster=clusterB"
2025-11-24 02:07:29,dequeue_start,job-116ac9a9,6,"g=1, cluster=clusterB"
2025-11-24 02:07:54,enqueue,job-ec1f7ee9,7,"g=0, batch=64"
2025-11-24 02:09:50,dequeue_start,job-0911a8d5,7,"g=1, cluster=clusterA"
2025-11-24 02:09:50,dequeue_start,job-9650d1ec,7,"g=1, cluster=clusterB"
2025-11-24 02:10:31,dequeue_start,job-69e61fa6,7,"g=2, cluster=clusterA"
2025-11-24 02:10:47,dequeue_start,job-69e61fa6,6,"g=2, cluster=clusterA"
2025-11-24 02:11:02,dequeue_start,job-a6443c04,5,"g=1, cluster=clusterA"
2025-11-24 02:11:18,dequeue_start,job-846731a3,3,"g=1, cluster=clusterA"
2025-11-24 02:11:18,dequeue_start,job-ef1b32d4,3,"g=1, cluster=clusterB"
2025-11-24 02:12:09,dequeue_start,job-846fc9e7,2,"g=1, cluster=clusterA"
2025-11-24 02:28:56,dequeue_start,job-c22c8882,1,"g=1, cluster=clusterB"
2025-11-24 02:31:01,enqueue,job-56d09d3c,2,"g=0, batch=32"
2025-11-24 02:31:25,enqueue,job-338e8937,3,"g=0, batch=128"
2025-11-24 02:39:44,enqueue,job-0c25af09,4,"g=0, batch=16"
2025-11-24 02:57:17,enqueue,job-c42e50d9,5,"g=0, batch=16"
2025-11-24 03:06:25,enqueue,job-6a89692d,6,"g=0, batch=16"
2025-11-24 03:13:25,enqueue,job-09ced85c,7,"g=0, batch=32"
2025-11-24 03:15:00,dequeue_start,job-ec1f7ee9,6,"g=1, cluster=clusterA"
2025-11-24 03:18:38,enqueue,job-34388443,7,"g=0, batch=16"
2025-11-24 03:19:24,enqueue,job-b303c0f5,8,"g=0, batch=64"
2025-11-24 03:20:34,enqueue,job-6492ebbf,9,"g=0, batch=16"
2025-11-24 03:21:00,enqueue,job-2262f01b,10,"g=0, batch=64"
2025-11-24 03:22:28,dequeue_start,job-56d09d3c,9,"g=1, cluster=cluster_A"
2025-11-24 03:26:20,dequeue_start,job-338e8937,8,"g=1, cluster=clusterB"
2025-11-24 03:29:21,enqueue,job-c02a00a3,9,"g=0, batch=64"
2025-11-24 03:29:43,enqueue,job-608c4ea3,10,"g=0, batch=64"
2025-11-24 03:34:23,enqueue,job-df156423,11,"g=0, batch=32"
2025-11-24 03:34:28,enqueue,job-5ce3f062,12,"g=0, batch=64"
2025-11-24 03:34:45,enqueue,job-8a591257,13,"g=0, batch=32"
2025-11-24 03:42:11,enqueue,job-353f8fd4,14,"g=0, batch=32"
2025-11-24 03:49:54,dequeue_start,job-0c25af09,13,"g=1, cluster=clusterB"
2025-11-24 03:56:08,dequeue_start,job-c42e50d9,12,"g=1, cluster=clusterB"
2025-11-24 03:58:17,enqueue,job-2aafeb17,13,"g=0, batch=128"
2025-11-24 04:00:08,enqueue,job-ea351091,14,"g=0, batch=64"
2025-11-24 04:06:39,enqueue,job-c77dda8f,15,"g=0, batch=64"
2025-11-24 04:07:30,enqueue,job-4a889b00,15,"g=0, batch=32"
2025-11-24 04:07:30,dequeue_start,job-6a89692d,15,"g=1, cluster=clusterA"
2025-11-24 05:20:02,dequeue_start,job-09ced85c,14,"g=1, cluster=clusterB"
2025-11-24 06:12:45,dequeue_start,job-34388443,13,"g=1, cluster=clusterB"
2025-11-24 06:16:59,dequeue_start,job-b303c0f5,12,"g=1, cluster=clusterA"
