ts,cluster,queue_len,slots_total,slots_used,free,U_t,E_t,p_fair,lam_time,lam_cost,lam_fair
2025-11-17 16:31:55,clusterA,0,4,0,4,0.0,0.0,0.0,1.0,0.0,0.0
2025-11-17 16:31:55,clusterB,0,4,0,4,0.0,0.0,0.0,1.0,0.0,0.0
2025-11-17 16:32:00,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-17 16:32:00,clusterB,0,4,0,4,0.0,0.0,0.0,1.0,0.0,0.0
2025-11-17 16:32:05,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-17 16:32:05,clusterB,0,4,0,4,0.0,0.0,0.0,1.0,0.0,0.0
2025-11-17 16:32:10,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-17 16:32:10,clusterB,0,4,0,4,0.0,0.0,0.0,1.0,0.0,0.0
2025-11-17 16:32:15,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-17 16:32:15,clusterB,0,4,0,4,0.0,0.0,0.0,1.0,0.0,0.0
2025-11-17 16:32:20,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-17 16:32:20,clusterB,0,4,0,4,0.0,0.0,0.0,1.0,0.0,0.0
2025-11-17 16:32:25,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-17 16:32:25,clusterB,0,4,0,4,0.0,0.0,0.0,1.0,0.0,0.0
2025-11-17 16:32:30,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-17 16:32:30,clusterB,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-17 16:32:35,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-17 16:32:35,clusterB,0,4,0,4,0.0,0.06,0.0,0.94,0.06,0.0
2025-11-17 16:32:40,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-17 16:32:40,clusterB,0,4,0,4,0.0,0.1,0.0,0.9,0.1,0.0
2025-11-17 16:32:45,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-17 16:32:45,clusterB,0,4,0,4,0.0,0.13,0.0,0.87,0.13,0.0
2025-11-17 16:32:50,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-17 16:32:50,clusterB,0,4,0,4,0.0,0.17,0.0,0.83,0.17,0.0
2025-11-17 16:32:55,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-17 16:32:55,clusterB,0,4,0,4,0.0,0.21,0.0,0.79,0.21,0.0
2025-11-17 16:33:00,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-17 16:33:00,clusterB,0,4,0,4,0.0,0.25,0.0,0.75,0.25,0.0
2025-11-17 16:33:05,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-17 16:33:05,clusterB,0,4,0,4,0.0,0.29,0.0,0.71,0.29,0.0
