ts,event,job_id,cluster,world_size,note,metadata_json
2025-11-17 16:37:20,submitted,job-9d14c24a1c97,-,4,"SJF g=4, T_est=1103.60s, batch=128","{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""epochs"": 20, ""batch_size_per_gpu"": 128, ""user_request"": ""Maximize GPU utilization for this run — I’m fine if it uses more energy temporarily."", ""est_runtime_sec"": 1103.6}"
2025-11-17 16:37:20,started,job-9d14c24a1c97,clusterA,4,"SJF started_on=clusterA, g=4, nodes=['node_a', 'node_b', 'node_c', 'node_d'], queued_sec=0.5, T_est=1103.60s","{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""nodes"": [""node_a"", ""node_b"", ""node_c"", ""node_d""], ""queued_sec"": 0.5437867641448975, ""started_ts"": 1763365040.8920798, ""est_runtime_sec"": 1103.6}"
2025-11-17 16:40:37,submitted,job-55fde7b0aa75,-,2,"SJF g=2, T_est=1945.60s, batch=128","{""model"": ""ResNet-50"", ""dataset"": ""CIFAR-10"", ""epochs"": 20, ""batch_size_per_gpu"": 128, ""user_request"": ""Please minimize queue waiting time. Start as soon as a slot is available."", ""est_runtime_sec"": 1945.6}"
2025-11-17 16:40:38,started,job-55fde7b0aa75,clusterB,2,"SJF started_on=clusterB, g=2, nodes=['node_e', 'node_f'], queued_sec=1.0, T_est=1945.60s","{""model"": ""ResNet-50"", ""dataset"": ""CIFAR-10"", ""nodes"": [""node_e"", ""node_f""], ""queued_sec"": 0.9552977085113525, ""started_ts"": 1763365238.1872423, ""est_runtime_sec"": 1945.6}"
2025-11-17 16:43:38,finished,job-9d14c24a1c97,clusterA,4,exit=0,"{""end_ts"": 1763365418.000818, ""jct_sec"": 377.1087381839752, ""queued_sec"": 0.5437867641448975}"
2025-11-17 16:45:38,submitted,job-f91466348c41,-,2,"SJF g=2, T_est=2868.80s, batch=64","{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""user_request"": ""This job is for testing only — minimal cost and stable runtime are more important than raw speed."", ""est_runtime_sec"": 2868.8}"
2025-11-17 16:45:39,started,job-f91466348c41,clusterA,2,"SJF started_on=clusterA, g=2, nodes=['node_a', 'node_b'], queued_sec=0.9, T_est=2868.80s","{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""nodes"": [""node_a"", ""node_b""], ""queued_sec"": 0.898784875869751, ""started_ts"": 1763365539.5465136, ""est_runtime_sec"": 2868.8}"
2025-11-17 16:49:27,submitted,job-cd5c9105b50b,-,1,"SJF g=1, T_est=1060.00s, batch=32","{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""user_request"": ""Please keep the cost reasonable while still maintaining decent speed."", ""est_runtime_sec"": 1060.0}"
2025-11-17 16:49:27,started,job-cd5c9105b50b,clusterA,1,"SJF started_on=clusterA, g=1, nodes=['node_c'], queued_sec=0.5, T_est=1060.00s","{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""nodes"": [""node_c""], ""queued_sec"": 0.4619884490966797, ""started_ts"": 1763365767.8163893, ""est_runtime_sec"": 1060.0}"
2025-11-17 16:49:27,submitted,job-f833125bc1a0,-,2,"SJF g=2, T_est=5652.00s, batch=64","{""model"": ""DenseNet-121"", ""dataset"": ""TinyImageNet"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""user_request"": ""Maximize GPU utilization for this run — I’m fine if it uses more energy temporarily."", ""est_runtime_sec"": 5652.0}"
