ts,node_id,gpu_index,gpu_util,power_w,mem_used_mb,mem_total_mb
2025-11-17 16:32:29,node-e,0,0.0,18.2,317,24564
2025-11-17 16:32:29,node-f,0,0.0,18.8,317,24564
2025-11-17 16:32:33,node-g,0,0.0,15.4,317,24564
2025-11-17 16:32:33,node-h,0,0.0,15.8,317,24564
2025-11-17 16:32:34,node-e,0,0.0,18.4,317,24564
2025-11-17 16:32:34,node-f,0,0.0,18.8,317,24564
2025-11-17 16:32:38,node-g,0,0.0,15.5,317,24564
2025-11-17 16:32:38,node-h,0,0.0,15.9,317,24564
2025-11-17 16:32:39,node-e,0,0.0,18.3,317,24564
2025-11-17 16:32:39,node-f,0,0.0,18.8,317,24564
2025-11-17 16:32:43,node-g,0,0.0,15.3,317,24564
2025-11-17 16:32:43,node-h,0,0.0,15.8,317,24564
2025-11-17 16:32:44,node-e,0,0.0,18.3,317,24564
2025-11-17 16:32:44,node-f,0,0.0,18.9,317,24564
2025-11-17 16:32:48,node-g,0,0.0,15.3,317,24564
2025-11-17 16:32:48,node-h,0,0.0,15.7,317,24564
2025-11-17 16:32:49,node-e,0,0.0,18.2,317,24564
2025-11-17 16:32:49,node-f,0,0.0,18.8,317,24564
2025-11-17 16:32:53,node-g,0,0.0,15.6,317,24564
2025-11-17 16:32:53,node-h,0,0.0,15.9,317,24564
2025-11-17 16:32:54,node-e,0,0.0,18.2,317,24564
2025-11-17 16:32:54,node-f,0,0.0,18.9,317,24564
2025-11-17 16:32:58,node-g,0,0.0,15.4,317,24564
2025-11-17 16:32:58,node-h,0,0.0,15.9,317,24564
2025-11-17 16:32:59,node-e,0,0.0,18.2,317,24564
2025-11-17 16:32:59,node-f,0,0.0,18.9,317,24564
2025-11-17 16:33:03,node-g,0,0.0,15.4,317,24564
2025-11-17 16:33:03,node-h,0,0.0,15.9,317,24564
2025-11-17 16:33:04,node-e,0,0.0,18.0,317,24564
2025-11-17 16:33:04,node-f,0,0.0,18.7,317,24564
2025-11-17 16:33:08,node-g,0,0.0,15.4,317,24564
2025-11-17 16:33:08,node-h,0,0.0,16.0,317,24564
2025-11-17 16:33:09,node-e,0,0.0,18.1,317,24564
2025-11-17 16:33:09,node-f,0,0.0,18.7,317,24564
2025-11-17 16:33:13,node-g,0,0.0,15.5,317,24564
2025-11-17 16:33:13,node-h,0,0.0,16.0,317,24564
2025-11-17 16:33:14,node-e,0,0.0,17.9,317,24564
2025-11-17 16:33:14,node-f,0,0.0,18.6,317,24564
2025-11-17 16:33:18,node-g,0,0.0,15.5,317,24564
2025-11-17 16:33:18,node-h,0,0.0,15.9,317,24564
2025-11-17 16:33:19,node-e,0,0.0,18.0,317,24564
2025-11-17 16:33:19,node-f,0,0.0,18.7,317,24564
2025-11-17 16:33:23,node-g,0,0.0,15.5,317,24564
2025-11-17 16:33:23,node-h,0,0.0,16.0,317,24564
2025-11-17 16:33:24,node-e,0,0.0,18.0,317,24564
2025-11-17 16:33:24,node-f,0,0.0,18.7,317,24564
2025-11-17 16:33:28,node-h,0,0.0,16.0,317,24564
2025-11-17 16:33:28,node-g,0,0.0,15.6,317,24564
2025-11-17 16:33:29,node-e,0,0.0,17.9,317,24564
2025-11-17 16:33:29,node-f,0,0.0,18.7,317,24564
2025-11-17 16:33:33,node-h,0,0.0,15.9,317,24564
2025-11-17 16:33:33,node-g,0,0.0,15.6,317,24564
2025-11-17 16:33:34,node-e,0,0.0,18.0,317,24564
2025-11-17 16:33:34,node-f,0,0.0,18.6,317,24564
2025-11-17 16:33:38,node-g,0,0.0,15.7,317,24564
2025-11-17 16:33:38,node-h,0,0.0,16.0,317,24564
2025-11-17 16:33:39,node-e,0,0.0,18.0,317,24564
2025-11-17 16:33:39,node-f,0,0.0,18.7,317,24564
2025-11-17 16:33:43,node-g,0,0.0,15.5,317,24564
